formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C3H9N,None,None,amines,Trimethylamine,initial,0.0,0.00029361248,0.005579699,-0.010642597,0.011229822,True,-0.00029361248,train,tensor([False]),-0.052621566
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.0674193,-1.1585349,0.21663317,-1.5831358,-0.73393387,True,0.091115594,train,tensor([False]),0.42059854
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-2.5745344,-2.5798666,0.088211074,-2.7527604,-2.406973,True,0.0053322315,train,tensor([False]),0.06044855
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,initial,-0.24069108,-0.33942962,0.22079478,-0.7721874,0.09332818,True,0.098738536,train,tensor([False]),0.44719598
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,initial,-0.8205998,-0.46330363,0.14512652,-0.7477516,-0.17885563,False,-0.35729617,train,tensor([False]),-2.4619632
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,initial,-2.5044348,-1.7995367,0.26075327,-2.3106132,-1.2884603,False,-0.7048981,train,tensor([False]),-2.7033145
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.39471167,-0.37854207,0.026287396,-0.43006536,-0.32701877,True,-0.016169608,train,tensor([False]),-0.6151088
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,initial,-1.8343639,-1.8026699,0.12667145,-2.050946,-1.5543939,True,-0.031694055,train,tensor([False]),-0.25020677
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Methoxymethane,initial,0.0,-0.00090658665,0.0033872603,-0.007545617,0.0057324436,True,0.00090658665,train,tensor([False]),0.26764598
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-2.45996,-2.2590415,0.28860754,-2.8247123,-1.6933708,True,-0.20091844,train,tensor([True]),-0.6961649
CH3Ir40NO81,IrO2,110,amides,Formamide,relaxed,-0.48171452,-0.4550383,0.120254636,-0.69073737,-0.21933922,True,-0.026676208,train,tensor([False]),-0.22183101
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-0.8117674,-0.75295174,0.19234452,-1.129947,-0.37595648,True,-0.058815658,train,tensor([False]),-0.30578285
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-1.8486065,-1.6343678,0.19967444,-2.0257297,-1.2430059,True,-0.21423864,train,tensor([False]),-1.0729398
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,initial,-0.44448346,-1.7571433,1.2245188,-4.1572,0.6429136,True,1.3126597,train,tensor([False]),1.0719801
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.3093157,-0.31901622,0.15744227,-0.62760305,-0.0104293525,True,0.009700507,train,tensor([False]),0.0616131
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.7155645,-1.6730802,0.23876502,-2.1410596,-1.2051008,True,-0.042484283,train,tensor([False]),-0.17793345
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-1.2030253,-1.1903049,0.063510135,-1.3147848,-1.065825,True,-0.012720466,train,tensor([False]),-0.20029032
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,initial,-1.8287824,-1.0419067,0.8270141,-2.6628542,0.5790409,True,-0.7868757,train,tensor([False]),-0.9514659
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,initial,-3.1938574,-3.2866516,0.27883044,-3.8331592,-2.740144,True,0.09279418,train,tensor([False]),0.33279788
