System,Material,Surface,Molecule Group,Molecule,State,Dissociation,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,tensor([False]),-0.9988272190093994,-1.023528794153492,-0.024701575144092658,0.024701575144092658
C2H6,None,None,alkanes_alkenes_alkynes,Ethane,relaxed,tensor([False]),0.0,0.04770996171828301,0.04770996171828301,0.04770996171828301
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,tensor([False]),-1.0534008741378784,-0.7170713728771716,0.3363295012607068,0.3363295012607068
C2H5N,None,None,imines,N-methylmethanimine,initial,tensor([False]),0.0,-0.048784137504299,-0.048784137504299,0.048784137504299
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,tensor([False]),-1.0197908878326416,-1.044467757221156,-0.024676869388514433,0.024676869388514433
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,tensor([False]),-0.16172492504119873,-0.2517177405707116,-0.08999281552951288,0.08999281552951288
C2H6S,None,None,thiols_thials_thioketones_thioethers,Ethanethiol,initial,tensor([False]),0.0,0.009132457135820005,0.009132457135820005,0.009132457135820005
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,tensor([False]),-0.36347976326942444,-0.2889938007783712,0.07448596249105321,0.07448596249105321
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,tensor([False]),-0.34245041012763977,-0.2745354238654727,0.06791498626216708,0.06791498626216708
C3H9N,None,None,amines,Propan-2-amine,relaxed,tensor([False]),0.0,-0.07198364327814488,-0.07198364327814488,0.07198364327814488
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,tensor([False]),-2.404695510864258,-2.151956985146171,0.25273852571808675,0.25273852571808675
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,relaxed,tensor([False]),-0.41814878582954407,-0.5690539260422156,-0.15090514021267154,0.15090514021267154
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,tensor([False]),-1.4043467044830322,-1.3855286668135705,0.018818037669461773,0.018818037669461773
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,relaxed,tensor([False]),-2.0831358432769775,-1.8769584760611906,0.20617736721578694,0.20617736721578694
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,tensor([False]),-2.492567300796509,-2.169952331998502,0.3226149687980069,0.3226149687980069
C2H5N,None,None,imines,Ethanimine,relaxed,tensor([False]),0.0,0.003934988335458911,0.003934988335458911,0.003934988335458911
