formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-0.9988272,-1.0235288,0.90517426,-2.7976704,0.75061274,True,0.024701595,train,tensor([False]),0.027289325
C2H6,None,None,alkanes_alkenes_alkynes,Ethane,relaxed,0.0,0.047709942,0.90517426,-1.7264316,1.8218515,True,-0.047709942,train,tensor([False]),-0.05270802
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.0534009,-0.7170714,0.90517426,-2.4912128,1.0570701,True,-0.33632946,train,tensor([False]),-0.37156323
C2H5N,None,None,imines,N-methylmethanimine,initial,0.0,-0.048784137,0.90517426,-1.8229257,1.7253574,True,0.048784137,train,tensor([False]),0.053894747
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.0197909,-1.0444678,0.90517426,-2.8186092,0.72967374,True,0.024676919,train,tensor([False]),0.027262064
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-0.16172493,-0.25171775,0.90517426,-2.0258594,1.5224237,True,0.08999282,train,tensor([False]),0.099420436
C2H6S,None,None,thiols_thials_thioketones_thioethers,Ethanethiol,initial,0.0,0.009132504,0.90517426,-1.765009,1.783274,True,-0.009132504,train,tensor([False]),-0.010089222
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-0.36347976,-0.28899378,0.90517426,-2.0631354,1.4851477,True,-0.07448599,train,tensor([False]),-0.082289115
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.3424504,-0.27453542,0.90517426,-2.048677,1.4996061,True,-0.06791499,train,tensor([False]),-0.075029746
C3H9N,None,None,amines,Propan-2-amine,relaxed,0.0,-0.071983635,0.90517426,-1.8461251,1.702158,True,0.071983635,train,tensor([False]),0.079524614
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-2.4046955,-2.151957,0.90517426,-3.9260986,-0.37781549,True,-0.25273848,train,tensor([False]),-0.27921528
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.4181488,-0.56905395,0.90517426,-2.3431954,1.2050877,True,0.15090516,train,tensor([False]),0.16671394
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.4043467,-1.3855287,0.90517426,-3.1596704,0.38861287,True,-0.01881802,train,tensor([False]),-0.02078939
