formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C2H2Ru48,Ru,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-3.1617897,-2.0580504,0.8892196,-3.800921,-0.31517994,True,-1.1037393,train,tensor([False]),-1.2412449
C2H6Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.5641344,-1.2796779,0.8892196,-3.0225482,0.46319258,True,-0.2844565,train,tensor([False]),-0.31989455
C2H5N,None,None,imines,Ethanimine,relaxed,0.0,-0.16011882,0.8892196,-1.9029893,1.5827516,True,0.16011882,train,tensor([False]),0.18006667
CH3NO,None,None,oximes,Formaldoxime,relaxed,0.0,0.02033168,0.8892196,-1.7225387,1.7632022,True,-0.02033168,train,tensor([False]),-0.022864634
C2H4Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-3.0178835,-1.7538078,0.8892196,-3.4966784,-0.010937333,True,-1.2640758,train,tensor([False]),-1.4215564
C3H9Ir48N,Ir,110,amines,Propan-2-amine,relaxed,-1.4969991,-1.2881799,0.8892196,-3.0310502,0.45469058,True,-0.20881927,train,tensor([False]),-0.23483431
C2H6N2,None,None,amidines,Acetimidamide,relaxed,0.0,-0.0674904,0.8892196,-1.8103609,1.67538,True,0.0674904,train,tensor([False]),0.07589846
CH4Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.1855818,-1.3955532,0.8892196,-3.1384237,0.34731722,True,0.20997143,train,tensor([False]),0.23613001
C2H6Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.26644704,-0.7628019,0.8892196,-2.5056725,0.98006856,True,0.49635485,train,tensor([False]),0.55819154
C3H4,None,None,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,0.0,-0.20009917,0.8892196,-1.9429696,1.5427713,True,0.20009917,train,tensor([False]),0.22502784
C2H6N2Ru48,Ru,110,amidines,Acetimidamide,relaxed,-1.5792005,-1.04607,0.8892196,-2.7889404,0.6968005,True,-0.5331305,train,tensor([False]),-0.5995488
CH2O3,None,None,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,0.0,0.40077466,0.8892196,-1.3420959,2.143645,True,-0.40077466,train,tensor([False]),-0.45070383
C2H5Ir48N,Ir,110,imines,N-methylmethanimine,relaxed,-1.3624316,-1.3192008,0.8892196,-3.0620713,0.4236697,True,-0.04323089,train,tensor([False]),-0.048616666
CH2O3Ru48,Ru,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.67716444,-0.16016167,0.8892196,-1.9030321,1.5827088,True,-0.51700276,train,tensor([False]),-0.5814118
C3H9Ir48N,Ir,110,amines,Trimethylamine,relaxed,-1.3505346,-1.1329262,0.8892196,-2.8757968,0.6099442,True,-0.21760833,train,tensor([False]),-0.24471833
CH4N2Ru48,Ru,110,amidines,Formimidamide,relaxed,-1.5427114,-2.1507516,0.8892196,-3.893622,-0.40788114,True,0.6080402,train,tensor([False]),0.68379086
C2H4O,None,None,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,0.0,-0.061276436,0.8892196,-1.8041469,1.681594,True,0.061276436,train,tensor([False]),0.06891035
CH4S,None,None,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,0.0,-0.20832312,0.8892196,-1.9511936,1.5345473,True,0.20832312,train,tensor([False]),0.23427635
C2H6Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.2489325,-1.2215314,0.8892196,-2.9644017,0.52133906,True,-0.02740109,train,tensor([False]),-0.030814761
CH3NO,None,None,amides,Formamide,relaxed,0.0,-0.046726584,0.8892196,-1.789597,1.6961439,True,0.046726584,train,tensor([False]),0.052547857
CH3N,None,None,imines,Methanimine,relaxed,0.0,-0.24598372,0.8892196,-1.9888542,1.4968867,True,0.24598372,train,tensor([False]),0.27662876
C2H5Ir48NO,Ir,110,amides,Acetamide,relaxed,-0.859727,-0.71777314,0.8892196,-2.4606435,1.0250974,True,-0.14195389,train,tensor([False]),-0.15963873
C2H5NORu48,Ru,110,amides,Acetamide,relaxed,-0.91635627,-0.6952804,0.8892196,-2.438151,1.04759,True,-0.22107589,train,tensor([False]),-0.24861789
C2H4Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-3.1336322,-1.7510247,0.8892196,-3.493895,-0.008154273,True,-1.3826075,train,tensor([False]),-1.554855
C2H7Ir48N,Ir,110,amines,Ethanamine,relaxed,-1.4377165,-1.2759988,0.8892196,-3.0188694,0.46687162,True,-0.16171765,train,tensor([False]),-0.1818647
C2H6ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.2226018,-0.886795,0.8892196,-2.6296654,0.85607547,True,0.66419315,train,tensor([False]),0.7469394
C3H6Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-3.02591,-1.5694144,0.8892196,-3.312285,0.17345607,True,-1.4564955,train,tensor([False]),-1.6379482
C2H5NO,None,None,amides,Acetamide,relaxed,0.0,0.014843106,0.8892196,-1.7280273,1.7577136,True,-0.014843106,train,tensor([False]),-0.016692284
CH3NRu48,Ru,110,imines,Methanimine,relaxed,-1.7770376,-2.0511138,0.8892196,-3.7939844,-0.3082434,True,0.27407622,train,tensor([False]),0.30822107
C2H5Ir48N,Ir,110,imines,Ethanimine,relaxed,-1.6094377,-1.8805597,0.8892196,-3.6234303,-0.13768923,True,0.27112198,train,tensor([False]),0.3048988
C3H8S,None,None,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,0.0,-0.038383245,0.8892196,-1.7812537,1.7044872,True,0.038383245,train,tensor([False]),0.04316509
C2H5NRu48,Ru,110,imines,Ethanimine,relaxed,-1.6277113,-1.8165512,0.8892196,-3.5594215,-0.07368076,True,0.18883991,train,tensor([False]),0.2123659
C3H6Ir48,Ir,110,alkanes_alkenes_alkynes,Propylene,relaxed,-1.1995038,-1.580744,0.8892196,-3.3236146,0.16212642,True,0.38124025,train,tensor([False]),0.42873576
C2H4,None,None,alkanes_alkenes_alkynes,Ethene,relaxed,0.0,-0.23958474,0.8892196,-1.9824553,1.5032856,True,0.23958474,train,tensor([False]),0.2694326
C3H4Ru48,Ru,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-2.7260337,-1.8647707,0.8892196,-3.6076412,-0.1219002,True,-0.86126304,train,tensor([False]),-0.9685606
C2H7NRu48,Ru,110,amines,Ethanamine,relaxed,-1.2719022,-1.2369854,0.8892196,-2.979856,0.505885,True,-0.03491676,train,tensor([False]),-0.039266746
CH4Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.3168821,-1.4389691,0.8892196,-3.1818395,0.3039013,True,0.122087,train,tensor([False]),0.1372968
C3H8ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.71359706,-0.48565754,0.8892196,-2.228528,1.2572129,True,-0.22793952,train,tensor([False]),-0.2563366
CH2O2Ru48,Ru,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-0.30379885,-0.4692767,0.8892196,-2.2121472,1.2735938,True,0.16547784,train,tensor([False]),0.18609335
C3H6Ru48,Ru,110,alkanes_alkenes_alkynes,Propylene,relaxed,-1.3349756,-1.8960876,0.8892196,-3.638958,-0.1532172,True,0.56111205,train,tensor([False]),0.6310163
C2H4Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-0.8155374,-1.4716849,0.8892196,-3.2145553,0.27118552,True,0.65614754,train,tensor([False]),0.73789144
CH3Ir48NO,Ir,110,amides,Formamide,relaxed,-0.56835675,-0.81641114,0.8892196,-2.5592816,0.9264593,True,0.24805439,train,tensor([False]),0.2789574
C3H8O,None,None,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,0.0,0.18281573,0.8892196,-1.5600548,1.9256861,True,-0.18281573,train,tensor([False]),-0.20559122
C3H9N,None,None,amines,Propan-2-amine,relaxed,0.0,-0.008432448,0.8892196,-1.751303,1.734438,True,0.008432448,train,tensor([False]),0.009482976
C2H6Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.6590899,-0.5969373,0.8892196,-2.3398077,1.1459332,True,-0.062152624,train,tensor([False]),-0.0698957
