formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-3.142078,-3.205124,1.1801034,-5.5181265,-0.8921211,True,0.06304598,train,tensor([True]),0.053424112
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,initial,-0.20548986,-0.34132254,1.1801034,-2.6543255,1.9716803,True,0.13583268,train,tensor([False]),0.11510235
CH3Ir40NO81,IrO2,110,amides,Formamide,initial,-3.6254027,-2.9884326,1.1801034,-5.3014355,-0.6754298,True,-0.63697004,train,tensor([False]),-0.5397578
C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-2.0499542,-1.8374186,1.1801034,-4.150421,0.47558427,True,-0.21253562,train,tensor([False]),-0.18009914
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,initial,-0.4181488,-1.0234848,1.1801034,-3.3364878,1.289518,True,0.60533607,train,tensor([False]),0.51295173
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,initial,-1.2620276,-0.47434032,1.1801034,-2.787343,1.8386625,True,-0.7876873,train,tensor([False]),-0.66747314
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,initial,-0.46863225,-0.5035397,1.1801034,-2.8165426,1.8094631,True,0.03490743,train,tensor([False]),0.029579975
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,initial,-1.4912084,-2.2768292,1.1801034,-4.5898323,0.036173582,True,0.7856208,train,tensor([False]),0.665722
C2H5Ir40NO81,IrO2,110,amides,Acetamide,initial,-1.9378561,-1.9809548,1.1801034,-4.2939577,0.33204806,True,0.043098688,train,tensor([False]),0.03652111
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,initial,-2.390627,-2.2434397,1.1801034,-4.5564423,0.06956315,True,-0.14718723,train,tensor([False]),-0.12472401
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,initial,-2.337632,-1.785851,1.1801034,-4.098854,0.5271518,True,-0.55178094,train,tensor([False]),-0.46756998
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,initial,-1.0918964,-1.306801,1.1801034,-3.619804,1.0062019,True,0.21490455,train,tensor([False]),0.18210654
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,initial,-1.5694237,-1.7712868,1.1801034,-4.0842896,0.541716,True,0.20186317,train,tensor([False]),0.1710555
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-2.0159335,-1.7596285,1.1801034,-4.0726314,0.5533743,True,-0.25630498,train,tensor([False]),-0.21718857
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-2.2121332,-2.1729517,1.1801034,-4.4859543,0.14005113,True,-0.03918147,train,tensor([False]),-0.033201728
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,initial,-3.1734622,-2.6681466,1.1801034,-4.9811497,-0.3551438,True,-0.50531554,train,tensor([False]),-0.42819598
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,initial,-1.5034237,-1.7764022,1.1801034,-4.089405,0.5366006,True,0.27297854,train,tensor([False]),0.23131748
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,initial,-1.3939513,-1.0316588,1.1801034,-3.3446617,1.281344,True,-0.36229253,train,tensor([False]),-0.30700067
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,initial,-0.3217309,-0.9746305,1.1801034,-3.2876334,1.3383723,True,0.65289956,train,tensor([False]),0.5532562
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-3.2388747,-3.4884095,1.1801034,-5.8014126,-1.1754067,True,0.24953485,train,tensor([True]),0.21145168
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,initial,-0.15899904,-0.8214432,1.1801034,-3.1344461,1.4915596,True,0.6624442,train,tensor([False]),0.56134415
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-2.5641005,-2.5830069,1.1801034,-4.8960094,-0.27000403,True,0.018906355,train,tensor([False]),0.016020931
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-2.08325,-2.656435,1.1801034,-4.9694376,-0.3434322,True,0.57318497,train,tensor([False]),0.4857074
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,initial,-1.2853451,-1.683458,1.1801034,-3.996461,0.62954485,True,0.3981129,train,tensor([False]),0.33735424
C2H6S,None,None,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,0.0,0.05801761,1.1801034,-2.2549853,2.3710203,True,-0.05801761,train,tensor([False]),-0.04916316
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-1.9546603,-2.43606,1.1801034,-4.7490625,-0.12305713,True,0.48139966,train,tensor([False]),0.40793005
C2H2Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Acetylene,initial,-2.5642412,-2.407202,1.1801034,-4.720205,-0.09419918,True,-0.15703917,train,tensor([False]),-0.13307238
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-1.9233979,-2.1136696,1.1801034,-4.4266725,0.19933319,True,0.19027174,train,tensor([True]),0.1612331
