formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-1.8988724,-2.0565982,0.8754304,-3.7724419,-0.3407545,True,0.15772581,train,tensor([False]),0.18016945
CH3NO82Ti40,TiO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.6124732,-1.3959562,0.8754304,-3.1117997,0.31988752,True,-0.21651709,train,tensor([False]),-0.24732645
CH3Ir40NO80,IrO2,110,imines,Methanimine,relaxed,-2.752871,-2.618228,0.8754304,-4.3340716,-0.9023843,True,-0.13464308,train,tensor([False]),-0.15380216
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.17997466,-0.33534223,0.8754304,-2.0511858,1.3805015,True,0.15536757,train,tensor([False]),0.17747563
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,relaxed,-2.2155643,-2.2693515,0.8754304,-3.9851952,-0.5535078,True,0.05378723,train,tensor([False]),0.0614409
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-0.18749672,-0.28636265,0.8754304,-2.0022063,1.429481,True,0.098865926,train,tensor([False]),0.112934075
CH3NO81Ti40,TiO2,110,oximes,Formaldoxime,relaxed,-1.4626353,-1.3263236,0.8754304,-3.0421672,0.38952005,True,-0.13631165,train,tensor([False]),-0.15570815
CH2O83Ti40,TiO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.5031088,-0.2543527,0.8754304,-1.9701964,1.461491,True,-0.24875611,train,tensor([False]),-0.28415293
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-3.3981006,-2.8676429,0.8754304,-4.5834866,-1.1517992,True,-0.53045774,train,tensor([True]),-0.6059393
CH5Ir40NO80,IrO2,110,amines,Methanamine,relaxed,-0.40447193,-0.5239503,0.8754304,-2.239794,1.1918933,True,0.119478345,train,tensor([False]),0.13647954
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,relaxed,-0.3341168,-0.16832614,0.8754304,-1.8841698,1.5475175,True,-0.16579065,train,tensor([False]),-0.18938187
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-2.2921443,-2.1557734,0.8754304,-3.871617,-0.43992972,True,-0.1363709,train,tensor([True]),-0.15577583
C2H4O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-1.0761013,-0.6366462,0.8754304,-2.35249,1.0791974,True,-0.4394551,train,tensor([False]),-0.50198746
C2H6O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.206019,-0.74244505,0.8754304,-2.4582887,0.9733986,True,-0.463574,train,tensor([False]),-0.5295384
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-2.86363,-2.435186,0.8754304,-4.1510296,-0.71934223,True,-0.42844415,train,tensor([False]),-0.48940971
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,relaxed,-2.6806328,-2.6514907,0.8754304,-4.3673344,-0.935647,True,-0.029142141,train,tensor([False]),-0.03328893
C3H8O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.5958731,-0.6669128,0.8754304,-2.3827565,1.0489309,True,0.07103968,train,tensor([False]),0.08114829
