formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C3H4Au48,Au,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.4936467,-0.53268963,0.9075908,-2.3115675,1.2461884,True,0.03904292,train,tensor([False]),0.043018196
CH3NOZn48,Zn,110,amides,Formamide,relaxed,-0.2493705,-0.2027362,0.9075908,-1.9816141,1.5761418,True,-0.0466343,train,tensor([False]),-0.05138252
CH3NO80Ti40,TiO2,110,imines,Methanimine,relaxed,-1.4499718,-1.4348371,0.9075908,-3.213715,0.34404087,True,-0.015134692,train,tensor([False]),-0.016675679
C3H6Pt48,Pt,110,alkanes_alkenes_alkynes,Propylene,relaxed,-1.1962557,-1.1658251,0.9075908,-2.944703,0.61305285,True,-0.030430555,train,tensor([False]),-0.03352894
C2H6Pt48S,Pt,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.4289074,-1.4125102,0.9075908,-3.1913881,0.36636782,True,-0.016397238,train,tensor([False]),-0.018066773
C2H5NNi48,Ni,110,imines,N-methylmethanimine,relaxed,-1.1378229,-1.2457445,0.9075908,-3.0246224,0.5331335,True,0.1079216,train,tensor([False]),0.11890998
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.3215455,-1.2877383,0.9075908,-3.0666163,0.49113965,True,-0.03380716,train,tensor([False]),-0.03724934
C2H6O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.2366495,-1.0341446,0.9075908,-2.8130226,0.74473333,True,-0.20250487,train,tensor([False]),-0.22312354
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,relaxed,-0.4372934,-0.32595515,0.9075908,-2.1048331,1.4529228,True,-0.11133826,train,tensor([False]),-0.12267451
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.48126814,-0.5530869,0.9075908,-2.331965,1.2257911,True,0.07181874,train,tensor([False]),0.079131186
CH3NNi48O,Ni,110,oximes,Formaldoxime,relaxed,-1.0404863,-1.0118706,0.9075908,-2.7907486,0.76700735,True,-0.028615713,train,tensor([False]),-0.03152931
