formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH4N2Ru48,Ru,110,amidines,Formimidamide,relaxed,-1.5427114,-1.584317,1.2856046,-4.104102,0.9354682,True,0.04160559,train,tensor([False]),0.032362666
C2H6Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.5641344,-1.2228501,1.2856046,-3.7426353,1.2969351,True,-0.34128428,train,tensor([False]),-0.26546597
C2H5NTi48,Ti,110,imines,Ethanimine,relaxed,-3.3971364,-3.646444,1.2856046,-6.1662292,-1.1266589,True,0.24930763,train,tensor([False]),0.19392247
CH3NTi48,Ti,110,imines,Methanimine,relaxed,-4.4906945,-4.5663834,1.2856046,-7.0861683,-2.0465982,True,0.07568884,train,tensor([False]),0.05887412
CH2Ir48O3,Ir,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.58314246,-0.1475079,1.2856046,-2.667293,2.3722773,True,-0.43563455,train,tensor([False]),-0.33885577
CH3NORu48,Ru,110,amides,Formamide,relaxed,-0.59760046,-1.1785676,1.2856046,-3.6983528,1.3412175,True,0.5809672,train,tensor([False]),0.4519019
C2H5Ir48NO,Ir,110,amides,Acetamide,relaxed,-0.859727,-0.9482211,1.2856046,-3.4680061,1.5715641,True,0.08849406,train,tensor([False]),0.06883459
C3H8ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.71359706,-0.517048,1.2856046,-3.0368333,2.002737,True,-0.19654906,train,tensor([False]),-0.15288453
C2H5NORu48,Ru,110,amides,Acetamide,relaxed,-0.91635627,-0.94965714,1.2856046,-3.4694424,1.570128,True,0.033300877,train,tensor([False]),0.025902892
C2H5NRu48,Ru,110,imines,N-methylmethanimine,relaxed,-1.2120625,-1.4007245,1.2856046,-3.9205098,1.1190606,True,0.18866205,train,tensor([False]),0.14674968
C3H9NTi48,Ti,110,amines,Propan-2-amine,relaxed,-2.5160306,-2.1077888,1.2856046,-4.627574,0.41199636,True,-0.40824175,train,tensor([False]),-0.31754845
C3H7NRu48,Ru,110,imines,Propan-2-imine,relaxed,-1.4004552,-1.0731256,1.2856046,-3.5929108,1.4466596,True,-0.32732964,train,tensor([False]),-0.25461143
C2H2Ti48,Ti,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-5.9615245,-5.2928104,1.2856046,-7.8125954,-2.7730253,True,-0.66871405,train,tensor([False]),-0.5201553
CH3Ir48N,Ir,110,imines,Methanimine,relaxed,-1.11077,-1.5212711,1.2856046,-4.041056,0.99851406,True,0.41050112,train,tensor([False]),0.3193059
C3H7Ir48N,Ir,110,imines,Propan-2-imine,relaxed,-1.5313413,-1.0808389,1.2856046,-3.600624,1.4389462,True,-0.4505024,train,tensor([False]),-0.35042065
C3H6ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.20011741,-0.761204,1.2856046,-3.2809892,1.7585812,True,0.5610866,train,tensor([False]),0.4364379
C3H4Ti48,Ti,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-5.787326,-4.5403214,1.2856046,-7.0601063,-2.0205362,True,-1.2470045,train,tensor([False]),-0.9699752
C3H6OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.4158722,-2.0265641,1.2856046,-4.5463495,0.49322104,True,0.6106919,train,tensor([False]),0.47502312
CH4Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.1855818,-1.497189,1.2856046,-4.0169744,1.0225961,True,0.31160724,train,tensor([False]),0.24238187
C2H2Ru48,Ru,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-3.1617897,-2.6143444,1.2856046,-5.1341295,-0.09455919,True,-0.5474453,train,tensor([False]),-0.42582712
C2H6Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.26644704,-0.5266566,1.2856046,-3.0464418,1.9931285,True,0.2602096,train,tensor([False]),0.2024025
CH4STi48,Ti,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-2.057121,-2.7746158,1.2856046,-5.294401,-0.2548306,True,0.7174947,train,tensor([False]),0.5580991
