formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C2H5NO80Ti40,TiO2,110,imines,N-methylmethanimine,relaxed,-1.4119256,-1.319877,0.7329809,-2.7565198,0.11676562,True,-0.092048526,train,tensor([False]),-0.12558107
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.39471167,-0.30669826,0.7329809,-1.743341,1.1299443,True,-0.08801341,train,tensor([False]),-0.12007599
C2H5NO80Ti40,TiO2,110,imines,Ethanimine,relaxed,-0.31294417,-0.31457746,0.7329809,-1.7512201,1.1220652,True,0.0016332865,train,tensor([False]),0.0022282796
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-0.302354,-0.32152665,0.7329809,-1.7581693,1.115116,True,0.019172639,train,tensor([False]),0.026157077
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.541222,-1.6027777,0.7329809,-3.0394204,-0.16613507,True,0.061555743,train,tensor([False]),0.08398001
C3H6O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-0.23396058,-0.25513673,0.7329809,-1.6917794,1.1815059,True,0.021176144,train,tensor([False]),0.028890444
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,relaxed,-1.9818201,-2.0188482,0.7329809,-3.4554908,-0.58220553,True,0.037028074,train,tensor([False]),0.050517105
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.722174,-1.606108,0.7329809,-3.0427506,-0.1694653,True,-0.1160661,train,tensor([False]),-0.15834805
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,-0.7889702,-1.1912024,0.7329809,-2.627845,0.24544024,True,0.40223223,train,tensor([False]),0.5487622
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.754012,-1.609072,0.7329809,-3.0457146,-0.17242932,True,-0.14494002,train,tensor([False]),-0.19774051
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.6903308,-0.9375065,0.7329809,-2.374149,0.49913615,True,0.2471757,train,tensor([False]),0.33721983
C2H2O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-0.18391438,-0.17879844,0.7329809,-1.6154411,1.2578442,True,-0.005115941,train,tensor([False]),-0.006979638
C2H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-1.378506,-1.2338712,0.7329809,-2.6705139,0.20277143,True,-0.14463472,train,tensor([False]),-0.197324
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,-1.079941,-1.2578509,0.7329809,-2.6944935,0.17879176,True,0.17790985,train,tensor([False]),0.24272099
C2H5NO81Ti40,TiO2,110,amides,Acetamide,relaxed,-1.5766103,-1.8477801,0.7329809,-3.2844229,-0.41113746,True,0.27116978,train,tensor([False]),0.36995476
C2H4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-0.6811484,-0.57266676,0.7329809,-2.0093093,0.8639759,True,-0.108481646,train,tensor([False]),-0.14800064
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.3526405,-0.44903737,0.7329809,-1.88568,0.9876053,True,0.09639686,train,tensor([False]),0.13151348
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-2.056259,-2.1516776,0.7329809,-3.5883203,-0.71503496,True,0.09541869,train,tensor([False]),0.13017896
CH2O83Ti40,TiO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.5031088,-0.27255982,0.7329809,-1.7092025,1.1640828,True,-0.23054898,train,tensor([False]),-0.31453612
CH4O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-1.3233334,-1.0077232,0.7329809,-2.444366,0.42891943,True,-0.31561017,train,tensor([False]),-0.43058443
CH2O82Ti40,TiO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-0.8877148,-0.8613435,0.7329809,-2.297986,0.57529914,True,-0.0263713,train,tensor([False]),-0.035978153
C3H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.206771,-1.1376431,0.7329809,-2.5742857,0.29899955,True,-0.06912792,train,tensor([False]),-0.09431066
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.52762645,-0.2882046,0.7329809,-1.7248473,1.148438,True,-0.23942184,train,tensor([False]),-0.32664132
CH4N2O80Ti40,TiO2,110,amidines,Formimidamide,relaxed,-1.3024957,-1.5849181,0.7329809,-3.0215607,-0.1482755,True,0.28242242,train,tensor([False]),0.38530666
C3H8O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.5102193,-0.5867032,0.7329809,-2.023346,0.84993947,True,0.076483905,train,tensor([False]),0.10434638
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,-0.3645103,-0.2044509,0.7329809,-1.6410935,1.2321918,True,-0.16005939,train,tensor([False]),-0.21836776
C3H7NO80Ti40,TiO2,110,imines,Propan-2-imine,relaxed,-0.48258457,-0.6301736,0.7329809,-2.0668163,0.806469,True,0.14758906,train,tensor([False]),0.20135458
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,-0.3384558,-0.36305445,0.7329809,-1.7996972,1.0735881,True,0.024598658,train,tensor([False]),0.033559754
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,relaxed,-0.4372934,-0.26789254,0.7329809,-1.7045352,1.16875,True,-0.16940087,train,tensor([False]),-0.23111226
CH3NO82Ti40,TiO2,110,carbamate-esters,Carbamic-acid,relaxed,-0.33944684,-0.34389335,0.7329809,-1.7805359,1.0927494,True,0.0044465065,train,tensor([False]),0.0060663335
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-2.0159335,-1.8817351,0.7329809,-3.3183777,-0.44509244,True,-0.13419843,train,tensor([False]),-0.18308584
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.309339,-1.3436531,0.7329809,-2.7802958,0.092989564,True,0.034314036,train,tensor([False]),0.046814367
C2H2Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-2.0210268,-1.9567795,0.7329809,-3.3934221,-0.52013683,True,-0.06424737,train,tensor([False]),-0.08765218
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.20337354,-0.2534489,0.7329809,-1.6900916,1.1831937,True,0.050075367,train,tensor([False]),0.06831742
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,-0.20548986,-0.23227596,0.7329809,-1.6689186,1.2043667,True,0.026786104,train,tensor([False]),0.036544066
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-0.32324103,-0.4810083,0.7329809,-1.9176509,0.95563436,True,0.15776727,train,tensor([False]),0.21524063
C2H5NO81Ti40,TiO2,110,amides,Acetamide,relaxed,-1.5894892,-1.8718619,0.7329809,-3.3085046,-0.4352193,True,0.2823727,train,tensor([False]),0.38523883
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-0.45167613,-0.365587,0.7329809,-1.8022296,1.0710557,True,-0.086089134,train,tensor([False]),-0.11745072
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-2.7508965,-2.8345041,0.7329809,-4.271147,-1.3978615,True,0.08360767,train,tensor([False]),0.11406528
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.88278973,-0.92046463,0.7329809,-2.3571072,0.516178,True,0.037674904,train,tensor([False]),0.05139957
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-1.3939513,-0.8714825,0.7329809,-2.308125,0.56516016,True,-0.5224688,train,tensor([False]),-0.7128
C3H8O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.116308,-1.1065599,0.7329809,-2.5432024,0.33008277,True,-0.009748101,train,tensor([False]),-0.013299257
C2H7NO80Ti40,TiO2,110,amines,Ethanamine,relaxed,-1.7282197,-1.5449549,0.7329809,-2.9815974,-0.10831225,True,-0.18326485,train,tensor([False]),-0.25002676
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-0.18749672,-0.19824088,0.7329809,-1.6348835,1.2384018,True,0.010744154,train,tensor([False]),0.014658164
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.8045261,-1.6569955,0.7329809,-3.0936382,-0.22035289,True,-0.14753056,train,tensor([False]),-0.20127475
C3H4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.8072869,-0.6210585,0.7329809,-2.057701,0.8155841,True,-0.1862284,train,tensor([False]),-0.25406992
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.4043467,-1.3447894,0.7329809,-2.7814322,0.09185326,True,-0.05955732,train,tensor([False]),-0.08125357
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-2.608809,-2.320604,0.7329809,-3.7572467,-0.88396144,True,-0.2882049,train,tensor([False]),-0.39319566
CH4O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.1114104,-1.1291873,0.7329809,-2.56583,0.3074553,True,0.017776966,train,tensor([False]),0.024252973
C2H4O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-1.0926896,-1.1232858,0.7329809,-2.5599284,0.31335688,True,0.030596137,train,tensor([False]),0.041742064
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.4860244,-1.6971592,0.7329809,-3.133802,-0.26051652,True,0.21113479,train,tensor([False]),0.28804952
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,-2.8022268,-2.7415333,0.7329809,-4.178176,-1.3048906,True,-0.060693502,train,tensor([False]),-0.08280366
C2H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.1325458,-1.0809947,0.7329809,-2.5176373,0.35564792,True,-0.051551104,train,tensor([False]),-0.07033076
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.6451003,-0.62246084,0.7329809,-2.0591035,0.8141818,True,-0.022639453,train,tensor([False]),-0.030886825
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-1.2023008,-1.443589,0.7329809,-2.8802316,-0.0069463253,True,0.24128819,train,tensor([False]),0.32918754
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,relaxed,-0.2523933,-0.18313074,0.7329809,-1.6197734,1.2535119,True,-0.069262564,train,tensor([False]),-0.094494365
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,relaxed,-2.7239518,-2.71537,0.7329809,-4.152013,-1.2787273,True,-0.008581877,train,tensor([False]),-0.011708186
C2H4O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-0.3698944,-0.3022496,0.7329809,-1.7388923,1.134393,True,-0.067644775,train,tensor([False]),-0.09228723
C2H4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-0.6822512,-0.63182974,0.7329809,-2.0684724,0.8048129,True,-0.050421476,train,tensor([False]),-0.068789616
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.3046093,-0.4165125,0.7329809,-1.8531551,1.0201302,True,0.11190319,train,tensor([False]),0.15266863
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.7572684,-0.5570271,0.7329809,-1.9936697,0.87961555,True,-0.20024133,train,tensor([False]),-0.27318764
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-1.2037108,-1.1278936,0.7329809,-2.564536,0.30874908,True,-0.07581723,train,tensor([False]),-0.103436835
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.18295628,-0.31352645,0.7329809,-1.750169,1.1231163,True,0.13057017,train,tensor([False]),0.17813584
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-1.2759068,-1.1455406,0.7329809,-2.5821834,0.29110205,True,-0.1303662,train,tensor([False]),-0.17785758
C3H6O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-0.8232519,-0.5025472,0.7329809,-1.9391899,0.93409544,True,-0.3207047,train,tensor([False]),-0.43753487
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,-1.7681602,-1.9592664,0.7329809,-3.395909,-0.5226238,True,0.1911062,train,tensor([False]),0.26072466
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.36396322,-1.0494858,0.7329809,-2.4861283,0.38715684,True,0.68552256,train,tensor([False]),0.93525296
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.4265436,-0.42274284,0.7329809,-1.8593855,1.0138998,True,-0.0038007498,train,tensor([False]),-0.0051853326
C3H7NO80Ti40,TiO2,110,imines,Propan-2-imine,relaxed,-0.4332713,-0.30085987,0.7329809,-1.7375026,1.1357827,True,-0.13241142,train,tensor([False]),-0.18064785
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,relaxed,-2.2366388,-2.102015,0.7329809,-3.5386577,-0.6653724,True,-0.13462377,train,tensor([False]),-0.18366612
C2H5NO81Ti40,TiO2,110,amides,Acetamide,relaxed,-0.36657616,-0.40909338,0.7329809,-1.845736,1.0275493,True,0.042517215,train,tensor([False]),0.058005895
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.87643415,-1.0983747,0.7329809,-2.5350175,0.33826792,True,0.22194058,train,tensor([False]),0.30279174
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-0.24459472,-0.7444246,0.7329809,-2.1810672,0.69221807,True,0.49982986,train,tensor([False]),0.6819139
CH5Ir40NO80,IrO2,110,amines,Methanamine,relaxed,-1.385776,-1.2023898,0.7329809,-2.6390324,0.23425281,True,-0.1833862,train,tensor([False]),-0.25019234
C2H2O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-0.30061275,-0.58637655,0.7329809,-2.0230193,0.8502661,True,0.2857638,train,tensor([False]),0.38986528
