formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-0.36347976,-0.27881706,0.9849366,-2.209293,1.6516587,True,-0.084662706,train,tensor([False]),-0.08595752
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,relaxed,-0.2523933,-0.28248453,0.9849366,-2.2129602,1.6479912,True,0.030091226,train,tensor([False]),0.030551435
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.40236807,-0.23934448,0.9849366,-2.1698203,1.6911312,True,-0.16302359,train,tensor([False]),-0.16551684
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.26015067,-0.2905929,0.9849366,-2.2210686,1.6398828,True,0.030442238,train,tensor([False]),0.030907815
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,relaxed,-0.81660837,-0.6610214,0.9849366,-2.5914972,1.2694542,True,-0.15558696,train,tensor([False]),-0.15796646
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,relaxed,-0.4174712,-0.3998996,0.9849366,-2.3303752,1.5305761,True,-0.017571598,train,tensor([False]),-0.017840335
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,relaxed,-2.6867654,-2.3656273,0.9849366,-4.296103,-0.43515158,True,-0.32113814,train,tensor([True]),-0.32604957
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.4508537,-1.6134522,0.9849366,-3.543928,0.31702352,True,0.16259849,train,tensor([False]),0.16508524
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-2.3410761,-2.5535789,0.9849366,-4.4840546,-0.62310314,True,0.21250272,train,tensor([True]),0.21575269
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,relaxed,-2.7820573,-2.7939906,0.9849366,-4.7244663,-0.8635149,True,0.011933327,train,tensor([False]),0.012115832
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,relaxed,-1.9023606,-2.0172744,0.9849366,-3.94775,-0.08679867,True,0.11491382,train,tensor([False]),0.11667129
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-0.52615136,-0.41895342,0.9849366,-2.3494291,1.5115223,True,-0.10719794,train,tensor([False]),-0.1088374
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-2.4302998,-2.4609861,0.9849366,-4.391462,-0.5305104,True,0.030686378,train,tensor([True]),0.031155689
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-0.17663084,-0.32214057,0.9849366,-2.2526164,1.6083351,True,0.14550973,train,tensor([False]),0.14773513
CH3Ir40NO80,IrO2,110,imines,Methanimine,relaxed,-2.752871,-2.6666183,0.9849366,-4.597094,-0.73614264,True,-0.08625269,train,tensor([False]),-0.08757182
CH3Ir40NO81,IrO2,110,amides,Formamide,relaxed,-3.6285455,-3.825132,0.9849366,-5.7556076,-1.8946562,True,0.19658637,train,tensor([True]),0.19959292
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,-1.079941,-1.241918,0.9849366,-3.1723938,0.68855774,True,0.16197693,train,tensor([False]),0.16445418
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.20337354,-0.3506955,0.9849366,-2.2811713,1.5797802,True,0.14732195,train,tensor([False]),0.14957507
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.6318733,-1.6197034,0.9849366,-3.550179,0.3107723,True,-0.012169838,train,tensor([False]),-0.012355961
CH3NO80Ru40,RuO2,110,imines,Methanimine,relaxed,-0.18569592,-0.31875074,0.9849366,-2.2492266,1.611725,True,0.13305482,train,tensor([False]),0.13508974
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-3.0597649,-2.8545525,0.9849366,-4.7850285,-0.9240768,True,-0.20521235,train,tensor([False]),-0.20835082
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-3.1990073,-3.4714963,0.9849366,-5.401972,-1.5410206,True,0.27248907,train,tensor([True]),0.27665645
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-1.5249938,-1.5319093,0.9849366,-3.4623852,0.39856637,True,0.0069155693,train,tensor([True]),0.0070213345
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.29978684,-0.22947586,0.9849366,-2.1599517,1.7009999,True,-0.07031098,train,tensor([False]),-0.0713863
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,-0.4818277,-0.35704434,0.9849366,-2.28752,1.5734314,True,-0.12478337,train,tensor([False]),-0.12669177
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.8681649,-1.6884087,0.9849366,-3.6188846,0.24206698,True,-0.17975616,train,tensor([False]),-0.18250531
CH3NO81Ru40,RuO2,110,amides,Formamide,relaxed,-1.6173105,-1.6855927,0.9849366,-3.6160684,0.24488306,True,0.06828213,train,tensor([False]),0.069326416
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.47293362,-0.35984063,0.9849366,-2.2903163,1.5706351,True,-0.11309299,train,tensor([False]),-0.11482261
