System,Material,Surface,Molecule Group,Molecule,State,Dissociation,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,relaxed,tensor([False]),-0.2653897702693939,-0.3800003538759036,-0.11461058360650966,0.11461058360650966
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,tensor([False]),-0.7372099161148071,-0.46932844013888086,0.26788147597592626,0.26788147597592626
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,relaxed,tensor([False]),-0.7329444289207458,-0.9898334323102178,-0.25688900338947196,0.25688900338947196
CH3NNi48O,Ni,110,amides,Formamide,relaxed,tensor([False]),-0.5078735947608948,-0.5543822003095258,-0.04650860554863101,0.04650860554863101
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,tensor([False]),-2.4917662143707275,-2.215871001226162,0.27589521314456533,0.27589521314456533
CH2Au48S,Au,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,tensor([False]),-1.4506289958953857,-1.409086019507118,0.04154297638826776,0.04154297638826776
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,tensor([False]),-0.33643868565559387,-0.3667038141077228,-0.03026512845212892,0.03026512845212892
CH2Ag48O,Ag,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,tensor([False]),-0.17068040370941162,-0.2789404662112034,-0.10826006250179177,0.10826006250179177
CH3NRh48,Rh,110,imines,Methanimine,relaxed,tensor([False]),-1.2900363206863403,-1.2965851382142777,-0.006548817527937345,0.006548817527937345
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,tensor([False]),-1.1850062608718872,-1.1718601850223713,0.013146075849515881,0.013146075849515881
CH3NO,None,None,oximes,Formaldoxime,relaxed,tensor([False]),0.0,0.07596076249006245,0.07596076249006245,0.07596076249006245
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,tensor([False]),-2.52251935005188,-2.6285135683657046,-0.10599421831382472,0.10599421831382472
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,tensor([False]),0.0,-0.041003689492399076,-0.041003689492399076,0.041003689492399076
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,tensor([False]),-0.3041229546070099,-1.0146284427189016,-0.7105054881118917,0.7105054881118917
C3H6,None,None,alkanes_alkenes_alkynes,Propylene,relaxed,tensor([False]),0.0,0.007376600441276082,0.007376600441276082,0.007376600441276082
C2H6Fe48O,Fe,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,tensor([False]),-0.25250443816185,-0.23632735015288375,0.016177088008966223,0.016177088008966223
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,tensor([False]),-1.0090974569320679,-1.0994442221493905,-0.09034676521732266,0.09034676521732266
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,tensor([False]),-0.8827897310256958,-0.8799984616683769,0.002791269357318882,0.002791269357318882
CH3Ir48N,Ir,110,imines,Methanimine,relaxed,tensor([False]),-1.1107699871063232,-1.0373043718176929,0.07346561528863038,0.07346561528863038
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,relaxed,tensor([False]),-2.7376527786254883,-2.7451187856118224,-0.0074660069863341505,0.0074660069863341505
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,tensor([True]),-3.1369130611419678,-3.1732083373237288,-0.03629527618176098,0.03629527618176098
CH4Ag48S,Ag,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,tensor([False]),-0.5232124328613281,-0.5515013406322211,-0.02828890777089299,0.02828890777089299
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,tensor([False]),-0.6890608072280884,-0.7211244449860423,-0.032063637757953956,0.032063637757953956
C3H9N,None,None,amines,Trimethylamine,relaxed,tensor([False]),0.0,-0.1547057926165678,-0.1547057926165678,0.1547057926165678
CH2ORh48,Rh,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,tensor([False]),-0.8884345293045044,-0.7923827131032493,0.09605181620125514,0.09605181620125514
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,tensor([False]),-1.1907885074615479,-1.1425469768987933,0.0482415305627546,0.0482415305627546
C2H5NPd48,Pd,110,imines,Ethanimine,relaxed,tensor([False]),-1.1872860193252563,-1.3799537787455964,-0.1926677594203401,0.1926677594203401
