formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH5Ir40NO80,IrO2,110,amines,Methanamine,relaxed,-2.7799482,-2.6713443,0.8670028,-4.37067,-0.97201884,True,-0.108603954,train,tensor([False]),-0.12526368
CH4N2O80Ti40,TiO2,110,amidines,Formimidamide,relaxed,-1.8757738,-1.9406117,0.8670028,-3.6399372,-0.24128628,True,0.06483793,train,tensor([False]),0.074783996
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-3.477344,-3.325959,0.8670028,-5.0252843,-1.6266335,True,-0.15138507,train,tensor([True]),-0.17460737
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,relaxed,-2.854844,-2.6604075,0.8670028,-4.359733,-0.9610821,True,-0.19443655,train,tensor([False]),-0.2242629
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,relaxed,-1.93214,-1.89418,0.8670028,-3.5935054,-0.19485462,True,-0.037959933,train,tensor([False]),-0.043782942
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-2.4140553,-2.6223016,0.8670028,-4.321627,-0.92297614,True,0.20824623,train,tensor([True]),0.24019095
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-3.233587,-2.4101236,0.8670028,-4.109449,-0.71079814,True,-0.82346344,train,tensor([False]),-0.9497818
C2H4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-0.71425194,-0.688427,0.8670028,-2.3877525,1.0108985,True,-0.025824964,train,tensor([False]),-0.029786482
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-3.2388747,-3.4009428,0.8670028,-5.1002684,-1.7016174,True,0.16206813,train,tensor([True]),0.1869292
C2H5NO80Ti40,TiO2,110,imines,N-methylmethanimine,relaxed,-1.4316818,-1.290381,0.8670028,-2.9897065,0.4089445,True,-0.1413008,train,tensor([False]),-0.16297618
C3H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.2279189,-1.1099408,0.8670028,-2.809266,0.5893847,True,-0.117978096,train,tensor([False]),-0.1360758
C3H4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.8072869,-0.8871491,0.8670028,-2.5864744,0.81217635,True,0.07986218,train,tensor([False]),0.09211294
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-1.3763677,-1.4172206,0.8670028,-3.1165462,0.28210485,True,0.040852904,train,tensor([False]),0.047119692
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-2.188802,-2.1283107,0.8670028,-3.8276362,-0.42898524,True,-0.060491323,train,tensor([False]),-0.06977062
C3H9NO80Ti40,TiO2,110,amines,Trimethylamine,relaxed,-1.3460042,-1.4305484,0.8670028,-3.1298738,0.268777,True,0.08454418,train,tensor([False]),0.09751316
C3H9NO80Ti40,TiO2,110,amines,Propan-2-amine,relaxed,-1.7632371,-1.7458196,0.8670028,-3.4451451,-0.046494126,True,-0.01741755,train,tensor([False]),-0.020089382
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.1271307,-1.0717378,0.8670028,-2.7710633,0.6275877,True,-0.05539298,train,tensor([False]),-0.0638902
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.6999273,-1.9485215,0.8670028,-3.647847,-0.24919605,True,0.24859416,train,tensor([False]),0.28672823
C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-2.3703399,-2.6774564,0.8670028,-4.376782,-0.97813094,True,0.3071165,train,tensor([False]),0.3542278
C3H8O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.65638244,-0.86546385,0.8670028,-2.5647893,0.8338616,True,0.20908141,train,tensor([False]),0.24115425
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,-1.6991528,-1.7874476,0.8670028,-3.486773,-0.08812213,True,0.088294744,train,tensor([False]),0.10183906
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-1.5249938,-2.1114464,0.8670028,-3.810772,-0.41212094,True,0.5864526,train,tensor([True]),0.6764138
C2H6O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.2643787,-1.3831866,0.8670028,-3.082512,0.31613886,True,0.11880791,train,tensor([False]),0.13703291
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-2.3837023,-2.1711605,0.8670028,-3.8704858,-0.47183502,True,-0.21254182,train,tensor([False]),-0.24514548
CH3NO80Ru40,RuO2,110,imines,Methanimine,relaxed,-1.9954523,-1.7647417,0.8670028,-3.464067,-0.06541622,True,-0.23071063,train,tensor([False]),-0.26610136
CH4O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.1755507,-1.3685465,0.8670028,-3.067872,0.33077896,True,0.19299579,train,tensor([False]),0.22260112
CH2O82Ti40,TiO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-1.3456436,-1.3550603,0.8670028,-3.0543857,0.3442651,True,0.009416699,train,tensor([False]),0.0108612105
CH3Ir40NO81,IrO2,110,amides,Formamide,relaxed,-3.6285455,-3.7515464,0.8670028,-5.450872,-2.0522208,True,0.12300086,train,tensor([True]),0.14186905
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,relaxed,-4.369982,-4.149042,0.8670028,-5.8483677,-2.4497166,True,-0.22093964,train,tensor([True]),-0.25483152
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-3.3252745,-3.3841443,0.8670028,-5.08347,-1.6848189,True,0.05886984,train,tensor([True]),0.067900404
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,relaxed,-2.357088,-2.5906923,0.8670028,-4.2900176,-0.89136684,True,0.2336042,train,tensor([False]),0.2694388
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.9644679,-2.2788649,0.8670028,-3.9781904,-0.5795394,True,0.31439698,train,tensor([False]),0.3626251
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-2.2121332,-1.9476031,0.8670028,-3.6469285,-0.24827766,True,-0.26453006,train,tensor([False]),-0.30510867
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,-2.2565641,-2.2847404,0.8670028,-3.984066,-0.585415,True,0.028176308,train,tensor([True]),0.03249852
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-3.1734622,-3.154531,0.8670028,-4.8538566,-1.4552056,True,-0.01893115,train,tensor([False]),-0.021835167
CH3Ir40NO80,IrO2,110,imines,Methanimine,relaxed,-2.765001,-2.5127358,0.8670028,-4.2120614,-0.8134104,True,-0.25226521,train,tensor([False]),-0.2909624
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,relaxed,-3.4695706,-3.8446074,0.8670028,-5.543933,-2.1452818,True,0.37503672,train,tensor([True]),0.4325669
CH4O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-1.3233334,-0.86131847,0.8670028,-2.560644,0.838007,True,-0.4620149,train,tensor([False]),-0.53288746
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-2.45996,-2.7944922,0.8670028,-4.493818,-1.0951668,True,0.33453226,train,tensor([True]),0.38584912
C3H8O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.4845147,-1.1436424,0.8670028,-2.842968,0.555683,True,-0.3408723,train,tensor([False]),-0.39316168
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-2.5044348,-2.2698493,0.8670028,-3.9691749,-0.57052386,True,-0.23458552,train,tensor([True]),-0.27057067
