formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C3H6Co48S,Co,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-2.555417,-2.4739165,0.78290564,-4.0084114,-0.9394214,True,-0.08150053,train,tensor([False]),-0.10410007
C2H6Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.2489325,-1.3195753,0.78290564,-2.8540704,0.2149198,True,0.07064283,train,tensor([False]),0.0902316
CH2O3Ru48,Ru,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.67716444,-0.48585603,0.78290564,-2.0203512,1.048639,True,-0.19130841,train,tensor([False]),-0.24435692
CH3NO2,None,None,carbamate-esters,Carbamic-acid,relaxed,0.0,0.07259649,0.78290564,-1.4618986,1.6070917,True,-0.07259649,train,tensor([False]),-0.092727
CH3NOZn48,Zn,110,oximes,Formaldoxime,relaxed,-0.47596738,-0.51469207,0.78290564,-2.0491872,1.019803,True,0.03872469,train,tensor([False]),0.04946278
CH3Au48NO,Au,110,amides,Formamide,relaxed,-0.2756794,-0.29420227,0.78290564,-1.8286974,1.2402928,True,0.018522859,train,tensor([False]),0.02365912
C2H6OPd48,Pd,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.5996727,-0.60311335,0.78290564,-2.1376085,0.93138176,True,0.0034406781,train,tensor([False]),0.004394755
C2H5NPd48,Pd,110,imines,N-methylmethanimine,relaxed,-1.1982799,-1.2015108,0.78290564,-2.7360058,0.33298433,True,0.0032309294,train,tensor([False]),0.004126844
CH2OZn48,Zn,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-0.14568275,-0.16586548,0.78290564,-1.7003605,1.3686297,True,0.020182729,train,tensor([False]),0.02577926
C3H9Au48N,Au,110,amines,Trimethylamine,relaxed,-0.8428937,-0.7157369,0.78290564,-2.250232,0.8187582,True,-0.1271568,train,tensor([False]),-0.1624165
