formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.32321647,-0.29298532,0.973014,-2.2000928,1.6141222,True,-0.030231148,train,tensor([False]),-0.031069592
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-1.9024816,-1.8605628,0.973014,-3.7676702,0.04654467,True,-0.041918755,train,tensor([False]),-0.043081347
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-2.1359258,-1.9956656,0.973014,-3.902773,-0.08855808,True,-0.14026022,train,tensor([False]),-0.14415026
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-2.3130302,-2.4355075,0.973014,-4.342615,-0.52840006,True,0.12247729,train,tensor([True]),0.12587413
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.50492525,-0.67742395,0.973014,-2.5845313,1.2296835,True,0.1724987,train,tensor([False]),0.17728285
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.6127804,-0.8102776,0.973014,-2.717385,1.0968299,True,0.19749719,train,tensor([False]),0.20297466
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,relaxed,-3.0559773,-3.1088412,0.973014,-5.015949,-1.2017337,True,0.052863836,train,tensor([True]),0.054329984
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,relaxed,-3.3017733,-3.1090944,0.973014,-5.016202,-1.2019869,True,-0.19267893,train,tensor([True]),-0.19802277
C2H5Ir40NO81,IrO2,110,amides,Acetamide,relaxed,-0.42302877,-0.60138106,0.973014,-2.5084887,1.3057264,True,0.1783523,train,tensor([False]),0.1832988
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.2960935,-1.4254504,0.973014,-3.332558,0.48165703,True,0.12935698,train,tensor([False]),0.13294463
CH3Ir40NO81,IrO2,110,amides,Formamide,relaxed,-1.8881103,-1.8626701,0.973014,-3.7697775,0.04443741,True,-0.025440216,train,tensor([False]),-0.026145786
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,-0.48138058,-0.6129743,0.973014,-2.5200818,1.2941332,True,0.1315937,train,tensor([True]),0.13524339
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,relaxed,-2.8086011,-2.6789122,0.973014,-4.5860195,-0.7718047,True,-0.12968898,train,tensor([False]),-0.13328584
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-1.9952747,-1.8255801,0.973014,-3.7326875,0.08152735,True,-0.16969454,train,tensor([False]),-0.17440093
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-0.8572229,-1.876893,0.973014,-3.7840004,0.030214429,True,1.0196701,train,tensor([False]),1.0479501
