formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C2H5NRu48,Ru,110,imines,N-methylmethanimine,relaxed,-1.2120625,-1.3027239,0.6885006,-2.652185,0.046737313,True,0.09066141,train,tensor([False]),0.13167949
CH2O2Ti48,Ti,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-1.8650283,-2.9667754,0.9450083,-4.8189917,-1.1145592,True,1.1017472,train,tensor([False]),1.1658598
C2H5NORu48,Ru,110,amides,Acetamide,relaxed,-0.91635627,-1.1943069,0.66190004,-2.491631,0.10301721,True,0.27795058,train,tensor([False]),0.41992834
C2H5NRu48,Ru,110,imines,Ethanimine,relaxed,-1.6277113,-1.5792046,0.7407289,-3.0310333,-0.12737584,True,-0.048506737,train,tensor([False]),-0.06548514
C3H8Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.3738537,-1.1681197,0.67014915,-2.481612,0.14537263,True,-0.20573401,train,tensor([False]),-0.30699736
CH3NOTi48,Ti,110,oximes,Formaldoxime,relaxed,-1.8891956,-3.0245736,0.9395888,-4.8661675,-1.1829795,True,1.135378,train,tensor([False]),1.2083776
C3H8Ru48,Ru,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.3313474,-1.0161947,0.6031671,-2.1984024,0.16601288,True,0.6848473,train,tensor([False]),1.1354188
C2H6N2Ti48,Ti,110,amidines,Acetimidamide,relaxed,-2.905591,-2.6496587,0.8018237,-4.2212334,-1.0780842,True,-0.25593233,train,tensor([False]),-0.3191878
CH3Ir48N,Ir,110,imines,Methanimine,relaxed,-1.11077,-1.9261142,0.9153996,-3.7202973,-0.13193095,True,0.8153442,train,tensor([False]),0.8906976
C2H6ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.2226018,-1.4479814,0.73244464,-2.883573,-0.012389779,True,1.2253796,train,tensor([False]),1.6729996
C2H2Ru48,Ru,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-3.1617897,-2.0307784,0.883718,-3.7628658,-0.29869103,True,-1.1310112,train,tensor([False]),-1.2798327
C2H6OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-2.2113526,-2.7216296,0.8317205,-4.351802,-1.0914575,True,0.51027703,train,tensor([False]),0.61351985
C2H5NOTi48,Ti,110,amides,Acetamide,relaxed,-2.633501,-2.604064,0.80392927,-4.179765,-1.0283626,True,-0.029437065,train,tensor([False]),-0.036616486
C3H9NTi48,Ti,110,amines,Propan-2-amine,relaxed,-2.5160306,-2.2891612,0.6894325,-3.640449,-0.9378735,True,-0.22686934,train,tensor([False]),-0.32906678
C2H7Ir48N,Ir,110,amines,Ethanamine,relaxed,-1.4377165,-1.2476522,0.7010916,-2.6217918,0.12648737,True,-0.19006431,train,tensor([False]),-0.2710977
C3H9Ir48N,Ir,110,amines,Propan-2-amine,relaxed,-1.4969991,-1.1103475,0.6534652,-2.3911395,0.17044437,True,-0.38665164,train,tensor([False]),-0.5916943
C2H5Ir48N,Ir,110,imines,N-methylmethanimine,relaxed,-1.3624316,-1.3775618,0.7557738,-2.8588786,0.10375488,True,0.015130162,train,tensor([False]),0.020019433
C2H6Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.6590899,-1.2772377,0.72787803,-2.7038786,0.14940333,True,0.61814773,train,tensor([False]),0.8492463
C2H7NRu48,Ru,110,amines,Ethanamine,relaxed,-1.2719022,-1.1683297,0.6374069,-2.4176474,0.08098781,True,-0.10357249,train,tensor([False]),-0.16249038
C2H6Ir48,Ir,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.22837415,-1.3708321,0.75405115,-2.8487725,0.107108235,True,1.142458,train,tensor([False]),1.5150934
C3H8STi48,Ti,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-2.7720149,-2.7247407,0.75838536,-4.211176,-1.2383054,True,-0.047274113,train,tensor([False]),-0.06233521
C2H6Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.3869818,-1.3164775,0.72896993,-2.7452588,0.112303615,True,-0.07050431,train,tensor([False]),-0.096717715
C3H7NRu48,Ru,110,imines,Propan-2-imine,relaxed,-1.4004552,-1.0503592,0.60556084,-2.2372584,0.13654006,True,-0.350096,train,tensor([False]),-0.57813513
C2H4STi48,Ti,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-4.519425,-3.3116245,0.9552397,-5.183894,-1.4393547,True,-1.2078004,train,tensor([False]),-1.2643951
C2H4O2Ti48,Ti,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-2.1802778,-3.0040636,0.8953683,-4.7589855,-1.2491417,True,0.8237858,train,tensor([False]),0.92005247
C2H6OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.450871,-2.7238388,0.842726,-4.3755817,-1.0720959,True,1.2729678,train,tensor([False]),1.5105358
C2H5NTi48,Ti,110,imines,Ethanimine,relaxed,-3.3971364,-3.2917404,0.9425813,-5.1391997,-1.444281,True,-0.10539603,train,tensor([False]),-0.111816384
CH2STi48,Ti,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-5.100363,-3.7008643,1.0819176,-5.821423,-1.5803056,True,-1.3994985,train,tensor([False]),-1.2935351
C3H4Ti48,Ti,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-5.787326,-3.5542068,1.0253885,-5.5639687,-1.5444453,False,-2.233119,train,tensor([False]),-2.1778274
C3H6Ru48,Ru,110,alkanes_alkenes_alkynes,Propylene,relaxed,-1.3349756,-1.6371186,0.7545744,-3.1160846,-0.1581527,True,0.30214298,train,tensor([False]),0.4004151
C2H4Ir48O2,Ir,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-0.15231729,-1.3348899,0.76184654,-2.8281093,0.15832937,True,1.1825726,train,tensor([False]),1.5522451
CH4Ir48N2,Ir,110,amidines,Formimidamide,relaxed,-0.81339145,-1.9507235,0.9056261,-3.725751,-0.17569625,True,1.1373321,train,tensor([False]),1.2558516
C3H4Ru48,Ru,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-2.7260337,-1.6838453,0.77835727,-3.2094254,-0.158265,True,-1.0421884,train,tensor([False]),-1.338959
C3H6Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-3.02591,-1.3760216,0.7412253,-2.828823,0.07677996,False,-1.6498883,train,tensor([False]),-2.225893
C3H4Ir48,Ir,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-2.8505545,-1.7588859,0.86254686,-3.4494777,-0.06829393,True,-1.0916686,train,tensor([False]),-1.265634
C3H8Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.5975736,-1.1037545,0.60365045,-2.2869096,0.07940042,True,-0.49381912,train,tensor([False]),-0.81805474
C2H6STi48,Ti,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-2.788663,-2.9525425,0.8519257,-4.622317,-1.2827682,True,0.16387963,train,tensor([False]),0.19236377
CH2Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-3.2076404,-1.9268001,0.8606829,-3.6137385,-0.23986161,True,-1.2808403,train,tensor([False]),-1.4881674
CH2O2Ru48,Ru,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-0.30379885,-1.5346305,0.7884536,-3.0799994,0.010738492,True,1.2308316,train,tensor([False]),1.5610704
CH4N2Ru48,Ru,110,amidines,Formimidamide,relaxed,-1.5427114,-1.8719149,0.8145194,-3.4683728,-0.2754568,True,0.3292035,train,tensor([False]),0.404169
C2H6STi48,Ti,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-2.6862884,-3.0141993,0.8553554,-4.690696,-1.3377026,True,0.3279109,train,tensor([False]),0.38336217
C3H9Ir48N,Ir,110,amines,Trimethylamine,relaxed,-1.3505346,-0.9437622,0.61514986,-2.149456,0.26193154,True,-0.40677238,train,tensor([False]),-0.6612574
CH3NOTi48,Ti,110,amides,Formamide,relaxed,-3.8677008,-3.6432724,1.0562203,-5.7134643,-1.5730805,True,-0.22442842,train,tensor([False]),-0.21248259
C2H4Ti48,Ti,110,alkanes_alkenes_alkynes,Ethene,relaxed,-3.4490347,-3.7809606,1.0878344,-5.913116,-1.6488051,True,0.33192587,train,tensor([False]),0.3051254
C2H6Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.2489325,-1.2407503,0.6643703,-2.5429163,0.061415553,True,-0.008182168,val,tensor([False]),-0.012315674
C3H6OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.4158722,-2.638307,0.8049735,-4.216055,-1.060559,True,1.2224349,val,tensor([False]),1.5186026
C2H5Ir48NO,Ir,110,amides,Acetamide,relaxed,-0.859727,-1.2710505,0.7263954,-2.6947856,0.15268457,True,0.41132343,val,tensor([False]),0.56625277
C2H4O2Ru48,Ru,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-0.36139834,-1.4161017,0.72477365,-2.836658,0.004454732,True,1.0547034,val,tensor([False]),1.4552176
C2H4Ru48,Ru,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.2128929,-1.7176471,0.7888752,-3.2638426,-0.17145157,True,0.5047542,val,tensor([False]),0.6398403
CH4STi48,Ti,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-2.057121,-2.9418504,0.9109031,-4.7272205,-1.1564803,True,0.8847294,val,tensor([False]),0.9712662
C3H6Ti48,Ti,110,alkanes_alkenes_alkynes,Propylene,relaxed,-2.6520338,-3.3235073,0.9435565,-5.1728783,-1.4741366,True,0.6714735,val,tensor([False]),0.711641
C2H6ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.68941617,-1.20292,0.66403335,-2.5044255,0.09858549,True,0.5135038,val,tensor([False]),0.77331024
C2H6Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.3950748,-1.2045095,0.66179776,-2.5016332,0.092614174,True,-0.19056535,val,tensor([False]),-0.28795102
CH3NO2Ti48,Ti,110,carbamate-esters,Carbamic-acid,relaxed,-2.1627026,-2.792637,0.8819679,-4.521294,-1.06398,True,0.62993455,val,tensor([False]),0.7142375
C2H4Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-3.1336322,-1.6826878,0.8411162,-3.3312755,-0.034099936,True,-1.4509444,test,tensor([False]),-1.7250226
C3H8Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.6821611,-1.0095983,0.64031637,-2.2646184,0.24542189,True,0.32743716,test,tensor([False]),0.5113678
C3H8Ti48,Ti,110,alkanes_alkenes_alkynes,Propane,relaxed,-1.4060918,-2.4381108,0.74054766,-3.8895843,-0.98663735,True,1.032019,test,tensor([False]),1.3935889
C3H8Ir48,Ir,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.37916887,-1.0979941,0.6632995,-2.3980613,0.20207298,True,0.7188252,test,tensor([False]),1.0837114
CH2O3Ru48,Ru,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.67716444,-1.4318494,0.7662033,-2.9336078,0.069909096,True,0.7546849,test,tensor([False]),0.984967
CH2OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-4.834045,-3.7148557,1.0973302,-5.865623,-1.5640883,True,-1.1191893,test,tensor([False]),-1.0199202
C3H8OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-2.232678,-2.4304538,0.7370427,-3.8750577,-0.98585,True,0.19777584,test,tensor([False]),0.268337
C3H6Ir48,Ir,110,alkanes_alkenes_alkynes,Propylene,relaxed,-1.1995038,-1.4763966,0.761511,-2.9689584,0.016165137,True,0.27689278,test,tensor([False]),0.36360967
C2H5NTi48,Ti,110,imines,N-methylmethanimine,relaxed,-2.2779424,-2.7149565,0.8359722,-4.353462,-1.076451,True,0.4370141,test,tensor([False]),0.5227615
CH3Ir48NO2,Ir,110,carbamate-esters,Carbamic-acid,relaxed,-0.3807109,-1.4410568,0.80062926,-3.0102901,0.12817657,True,1.0603459,test,tensor([False]),1.3243906
