formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH2Ag48O3,Ag,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.31383047,-0.1882621,0.10519812,-0.39445043,0.017926216,True,-0.12556836,train,tensor([False]),-1.1936369
C2H6OZn48,Zn,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.1957121,-0.19841063,0.018583212,-0.23483372,-0.16198754,True,0.0026985258,train,tensor([False]),0.1452131
CH2Os48S,Os,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-3.4029267,-3.4711642,0.114997864,-3.6965601,-3.2457683,True,0.06823754,train,tensor([False]),0.593381
C2H6Ag48S,Ag,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-0.5870662,-0.5913956,0.023506494,-0.63746834,-0.5453229,True,0.004329443,train,tensor([False]),0.18418072
CH4N2Os48,Os,110,amidines,Formimidamide,relaxed,-1.5103519,-1.4472804,0.083910584,-1.6117451,-1.2828157,True,-0.06307149,train,tensor([False]),-0.75165117
C2H6S,None,None,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,0.0,0.00018143654,0.010372325,-0.02014832,0.020511193,True,-0.00018143654,train,tensor([False]),-0.017492369
C2H4O2Pt48,Pt,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-0.15538228,-0.2292093,0.09120719,-0.4079754,-0.050443202,True,0.07382703,train,tensor([False]),0.80944306
CH5Cu48N,Cu,110,amines,Methanamine,relaxed,-0.86326474,-0.83356774,0.026296128,-0.8851082,-0.7820273,True,-0.029697001,train,tensor([False]),-1.1293298
C2H5NNi48,Ni,110,imines,N-methylmethanimine,relaxed,-1.1378229,-1.1206181,0.036357574,-1.1918789,-1.0493573,True,-0.017204762,train,tensor([False]),-0.47320983
C3H6SZn48,Zn,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-0.99081004,-1.0783156,0.09234369,-1.2593093,-0.897322,True,0.08750558,train,tensor([False]),0.9476076
C2H6OPd48,Pd,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.5996727,-0.6227381,0.046825215,-0.71451557,-0.5309607,True,0.023065448,train,tensor([False]),0.49258605
CH2Ag48O2,Ag,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-0.07689838,-0.1307103,0.07296292,-0.27371764,0.012297019,True,0.053811923,train,tensor([False]),0.7375243
CH4N2Zn48,Zn,110,amidines,Formimidamide,relaxed,-0.6906694,-0.6391692,0.047599707,-0.7324647,-0.54587376,True,-0.0515002,train,tensor([False]),-1.0819436
C3H9NOs48,Os,110,amines,Trimethylamine,relaxed,-1.4211539,-1.4457736,0.019086424,-1.483183,-1.4083642,True,0.024619699,train,tensor([False]),1.2899063
CH3Ir48NO2,Ir,110,carbamate-esters,Carbamic-acid,relaxed,-0.3807109,-0.38712722,0.13107221,-0.6440288,-0.13022569,True,0.006416321,train,tensor([False]),0.048952565
C3H8Ag48,Ag,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.2990384,-0.28939903,0.026312962,-0.34097242,-0.23782562,True,-0.009639382,train,tensor([False]),-0.3663359
C3H6Cu48S,Cu,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-1.6472975,-1.6909099,0.05077062,-1.7904203,-1.5913994,True,0.04361236,train,tensor([False]),0.85900784
C2H6Cu48O,Cu,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.49365816,-0.49837708,0.02986391,-0.55691034,-0.43984383,True,0.0047189295,train,tensor([False]),0.15801445
CH2O3Pd48,Pd,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.54986,-0.39041066,0.17889543,-0.7410457,-0.03977561,True,-0.15944934,train,tensor([False]),-0.8912991
CH4STi48,Ti,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-2.057121,-2.3964462,0.18374151,-2.7565796,-2.0363128,True,0.3393252,train,tensor([False]),1.846753
C3H4Au48,Au,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.4936467,-0.41241425,0.061002232,-0.5319786,-0.29284987,True,-0.08123246,train,tensor([False]),-1.331631
C2H5NRu48,Ru,110,imines,Ethanimine,relaxed,-1.6277113,-1.4645138,0.10115206,-1.6627718,-1.2662557,True,-0.16319752,train,tensor([False]),-1.613388
C2H6N2Pt48,Pt,110,amidines,Acetimidamide,relaxed,-1.7006757,-1.7070799,0.03777406,-1.7811171,-1.6330427,True,0.0064041615,train,tensor([False]),0.1695386
C2H6Pt48S,Pt,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.4289074,-1.39644,0.033777077,-1.4626431,-1.3302369,True,-0.032467365,train,tensor([False]),-0.96122485
CH5Cd48N,Cd,110,amines,Methanamine,relaxed,-0.46376586,-0.4430561,0.06501844,-0.57049227,-0.31561995,True,-0.020709753,train,tensor([False]),-0.31852123
C3H9NZn48,Zn,110,amines,Trimethylamine,relaxed,-0.7479316,-0.7473624,0.018915296,-0.78443635,-0.7102884,True,-0.00056922436,train,tensor([False]),-0.030093336
C2H6Rh48S,Rh,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.3299817,-1.3140745,0.03418598,-1.3810791,-1.24707,True,-0.015907168,train,tensor([False]),-0.46531263
C2H4Rh48S,Rh,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-3.0640886,-3.038735,0.089729466,-3.2146046,-2.8628652,True,-0.02535367,train,tensor([False]),-0.2825568
C2H4Ir48,Ir,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.2180877,-1.209321,0.11319717,-1.4311875,-0.98745453,True,-0.008766651,train,tensor([False]),-0.07744585
C3H6Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.25421512,-0.2602958,0.09905322,-0.45444012,-0.0661515,True,0.006080687,train,tensor([False]),0.061388083
C2H4ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-1.0088577,-1.0458719,0.1218253,-1.2846495,-0.8070943,True,0.037014127,train,tensor([False]),0.30382955
C2H4STi48,Ti,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-4.519425,-4.798685,0.40410626,-5.5907335,-4.0066366,True,0.27926016,train,tensor([False]),0.69105625
C3H8Pt48,Pt,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.3970214,-0.38782442,0.047322106,-0.48057574,-0.2950731,True,-0.009196997,train,tensor([False]),-0.19434884
CH3Cd48NO,Cd,110,amides,Formamide,relaxed,-0.31176308,-0.19567639,0.07547494,-0.34360728,-0.047745496,True,-0.11608669,train,tensor([False]),-1.5380826
C2H6ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.68941617,-0.6063103,0.057536755,-0.71908236,-0.49353826,True,-0.08310586,train,tensor([False]),-1.444396
C3H6OZn48,Zn,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.17849092,-0.18411595,0.03441072,-0.25156096,-0.11667094,True,0.0056250244,train,tensor([False]),0.16346721
CH2O3,None,None,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,0.0,-0.025700927,0.07598198,-0.17462562,0.12322377,True,0.025700927,train,tensor([False]),0.33825028
C2H7NZn48,Zn,110,amines,Ethanamine,relaxed,-0.64158756,-0.62577415,0.034550007,-0.6934922,-0.5580561,True,-0.01581341,train,tensor([False]),-0.4576963
