System,Material,Surface,Molecule Group,Molecule,State,Dissociation,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH3Cu48NO,Cu,110,amides,Formamide,relaxed,tensor([False]),-0.5363852977752686,-0.41072005459531624,0.1256652431799523,0.1256652431799523
C2H5N,None,None,imines,N-methylmethanimine,relaxed,tensor([False]),0.0,0.01600862415742199,0.01600862415742199,0.01600862415742199
CH4N2Pd48,Pd,110,amidines,Formimidamide,relaxed,tensor([False]),-1.106374740600586,-1.2117496028151749,-0.10537486221458892,0.10537486221458892
C3H9NRu48,Ru,110,amines,Propan-2-amine,relaxed,tensor([False]),-1.3362622261047363,-1.3486592596466949,-0.012397033541958535,0.012397033541958535
C2H4Ir48,Ir,110,alkanes_alkenes_alkynes,Ethene,relaxed,tensor([False]),-1.2180876731872559,-1.2760851382234364,-0.05799746503618053,0.05799746503618053
C3H6Cd48O,Cd,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,tensor([False]),-0.21389557421207428,-0.18729192619812807,0.026603648013946213,0.026603648013946213
CH2Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,tensor([False]),-0.9446554183959961,-0.7495616733125061,0.19509374508348998,0.19509374508348998
C3H9NOs48,Os,110,amines,Propan-2-amine,relaxed,tensor([False]),-1.581524133682251,-1.5349709600697707,0.046553173612480236,0.046553173612480236
CH3Fe48NO,Fe,110,oximes,Formaldoxime,relaxed,tensor([False]),-0.9699686765670776,-0.9273493716760903,0.04261930489098731,0.04261930489098731
C2H2Ag48,Ag,110,alkanes_alkenes_alkynes,Acetylene,relaxed,tensor([False]),-0.20744183659553528,-0.16398424698171254,0.043457589613822734,0.043457589613822734
CH2SZn48,Zn,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,tensor([False]),-1.371023178100586,-1.3142009814083622,0.05682219669222377,0.05682219669222377
CH4Rh48S,Rh,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,tensor([False]),-1.2465133666992188,-1.2557621770416034,-0.009248810342384672,0.009248810342384672
C2H6Fe48S,Fe,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,tensor([False]),-1.4361509084701538,-1.4845001432742606,-0.0483492348041068,0.0483492348041068
C2H7NRu48,Ru,110,amines,Ethanamine,relaxed,tensor([False]),-1.2719022035598755,-1.2930288031898698,-0.021126599629994303,0.021126599629994303
C2H6Pt48,Pt,110,alkanes_alkenes_alkynes,Ethane,relaxed,tensor([False]),-0.2513057589530945,-0.2849138593828684,-0.03360810042977391,0.03360810042977391
C3H7Cu48N,Cu,110,imines,Propan-2-imine,relaxed,tensor([False]),-0.9377639889717102,-0.9185092956656185,0.019254693306091752,0.019254693306091752
C3H6S,None,None,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,tensor([False]),0.0,0.006718093084259635,0.006718093084259635,0.006718093084259635
CH3NORh48,Rh,110,oximes,Formaldoxime,relaxed,tensor([False]),-0.9886886477470398,-1.0818266946010056,-0.09313804685396576,0.09313804685396576
C2H6Cu48,Cu,110,alkanes_alkenes_alkynes,Ethane,relaxed,tensor([False]),-0.20580598711967468,-0.23375183347206985,-0.027945846352395165,0.027945846352395165
C3H9Co48N,Co,110,amines,Trimethylamine,relaxed,tensor([False]),-1.0393414497375488,-1.0475365932257326,-0.008195143488183732,0.008195143488183732
C2H7N,None,None,amines,Ethanamine,relaxed,tensor([False]),0.0,-0.005904131935551504,-0.005904131935551504,0.005904131935551504
C3H8Cu48,Cu,110,alkanes_alkenes_alkynes,Propane,relaxed,tensor([False]),-0.3203618824481964,-0.33361786033032104,-0.013255977882124625,0.013255977882124625
CH2Cd48S,Cd,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,tensor([False]),-1.106809139251709,-1.114073884645137,-0.007264745393428029,0.007264745393428029
C3H7NRu48,Ru,110,imines,Propan-2-imine,relaxed,tensor([False]),-1.4004552364349365,-1.3817332601908277,0.018721976244108873,0.018721976244108873
CH2O2Ru48,Ru,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,tensor([False]),-0.3037988543510437,-0.1726601323542667,0.131138721996777,0.131138721996777
CH3Au48N,Au,110,imines,Methanimine,relaxed,tensor([False]),-0.5052606463432312,-0.573130674473262,-0.06787002813003085,0.06787002813003085
C3H8Ag48,Ag,110,alkanes_alkenes_alkynes,Propane,relaxed,tensor([False]),-0.2990384101867676,-0.2691429116369193,0.0298954985498483,0.0298954985498483
