formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH3Cu48NO,Cu,110,amides,Formamide,relaxed,-0.5363853,-0.41072005,0.052122038,-0.51287925,-0.30856085,False,-0.12566525,train,tensor([False]),-2.4109812
C2H5N,None,None,imines,N-methylmethanimine,relaxed,0.0,0.016008615,0.036018785,-0.054588206,0.08660544,True,-0.016008615,train,tensor([False]),-0.44445184
CH4N2Pd48,Pd,110,amidines,Formimidamide,relaxed,-1.1063747,-1.2117496,0.09879103,-1.40538,-1.0181191,True,0.10537481,train,tensor([False]),1.0666435
C3H9NRu48,Ru,110,amines,Propan-2-amine,relaxed,-1.3362622,-1.3486593,0.030089976,-1.4076357,-1.2896829,True,0.012397051,train,tensor([False]),0.41199934
C2H4Ir48,Ir,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.2180877,-1.2760851,0.12802453,-1.5270133,-1.025157,True,0.057997465,train,tensor([False]),0.45301837
C3H6Cd48O,Cd,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.21389557,-0.18729192,0.08946829,-0.3626498,-0.011934057,True,-0.026603654,train,tensor([False]),-0.29735288
CH2Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-0.9446554,-0.74956167,0.19471762,-1.1312082,-0.36791512,True,-0.19509375,train,tensor([False]),-1.0019317
C3H9NOs48,Os,110,amines,Propan-2-amine,relaxed,-1.5815241,-1.534971,0.0407268,-1.6147956,-1.4551464,True,-0.046553135,train,tensor([False]),-1.143059
CH3Fe48NO,Fe,110,oximes,Formaldoxime,relaxed,-0.9699687,-0.9273494,0.08724087,-1.0983415,-0.7563573,True,-0.042619288,train,tensor([False]),-0.48852435
C2H2Ag48,Ag,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-0.20744184,-0.16398424,0.097327635,-0.3547464,0.026777923,True,-0.043457597,train,tensor([False]),-0.44650832
CH2SZn48,Zn,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-1.3710232,-1.314201,0.13381976,-1.5764878,-1.0519142,True,-0.05682218,train,tensor([False]),-0.42461726
CH4Rh48S,Rh,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.2465134,-1.2557622,0.047195632,-1.3482656,-1.1632588,True,0.009248853,train,tensor([False]),0.1959684
C2H6Fe48S,Fe,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.4361509,-1.4845002,0.06718027,-1.6161735,-1.3528268,True,0.04834926,train,tensor([False]),0.7196944
C2H7NRu48,Ru,110,amines,Ethanamine,relaxed,-1.2719022,-1.2930288,0.033831604,-1.3593388,-1.2267189,True,0.021126628,train,tensor([False]),0.6244643
C2H6Pt48,Pt,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.25130576,-0.28491384,0.075068414,-0.43204793,-0.13777974,True,0.03360808,train,tensor([False]),0.44769934
C3H7Cu48N,Cu,110,imines,Propan-2-imine,relaxed,-0.937764,-0.9185093,0.028382292,-0.9741386,-0.86288,True,-0.019254684,train,tensor([False]),-0.67840487
