formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-2.6509638,-2.7251816,0.17742364,-3.072932,-2.3774312,True,0.0742178,train,tensor([True]),0.41830838
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.18160242,-0.2243644,0.055825774,-0.3337829,-0.11494588,True,0.04276198,train,tensor([False]),0.76598996
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-1.2852226,-1.3634394,0.10626669,-1.5717221,-1.1551567,True,0.07821679,train,tensor([False]),0.7360424
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.3526405,-0.3965453,0.09688929,-0.5864483,-0.20664228,True,0.04390478,train,tensor([False]),0.4531438
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-2.0997453,-2.4842007,0.22710186,-2.9293203,-2.039081,True,0.38445544,train,tensor([True]),1.6928767
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-0.48786825,-0.4616102,0.07333318,-0.6053432,-0.31787717,True,-0.026258051,train,tensor([False]),-0.35806507
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,-1.6991528,-1.7357036,0.107267834,-1.9459486,-1.5254586,True,0.03655076,train,tensor([False]),0.34074298
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,-0.3645103,-0.46387655,0.045350235,-0.552763,-0.37499008,False,0.09936625,train,tensor([False]),2.1910856
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-2.4917662,-2.417764,0.29836628,-3.0025618,-1.8329661,True,-0.074002266,train,tensor([False]),-0.2480249
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,relaxed,-0.48908833,-0.43944716,0.049537756,-0.53654116,-0.34235317,True,-0.049641162,train,tensor([False]),-1.0020875
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.18295628,-0.2337389,0.06077522,-0.35285833,-0.11461946,True,0.05078262,train,tensor([False]),0.835581
C2H5Ir40NO81,IrO2,110,amides,Acetamide,relaxed,-2.6686866,-2.9325619,0.16232108,-3.2507112,-2.6144125,True,0.26387525,train,tensor([False]),1.6256377
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,relaxed,-3.1683762,-3.1807408,0.2590366,-3.6884527,-2.673029,True,0.012364626,train,tensor([True]),0.047733124
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-1.6320947,-1.3207887,0.30555615,-1.9196788,-0.7218987,True,-0.311306,train,tensor([False]),-1.0188177
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-1.5120214,-1.4289736,0.17815071,-1.7781489,-1.0797982,True,-0.08304787,train,tensor([False]),-0.46616635
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.23423661,-0.20675933,0.064004995,-0.3322091,-0.08130954,True,-0.02747728,train,tensor([False]),-0.429299
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,relaxed,-0.52469885,-0.45604932,0.059598938,-0.5728632,-0.3392354,True,-0.06864953,train,tensor([False]),-1.1518583
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.5394167,-0.59372944,0.0830331,-0.7564743,-0.43098456,True,0.054312766,train,tensor([False]),0.65410984
CH5NO80Ru40,RuO2,110,amines,Methanamine,relaxed,-2.015036,-1.8968679,0.09711582,-2.087215,-1.7065208,True,-0.118168235,train,tensor([False]),-1.2167764
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-0.48616594,-0.5257608,0.24163572,-0.9993669,-0.05215481,True,0.03959489,train,tensor([False]),0.1638619
CH3Ir40NO81,IrO2,110,amides,Formamide,relaxed,-0.48171452,-0.40605223,0.13451026,-0.6696924,-0.1424121,True,-0.075662285,train,tensor([False]),-0.56250197
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-1.2458549,-1.064655,0.23378246,-1.5228686,-0.6064413,True,-0.18119991,train,tensor([False]),-0.77507913
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.8478002,-0.77410513,0.07621919,-0.92349476,-0.6247155,True,-0.07369506,train,tensor([False]),-0.9668833
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-2.1278255,-2.2469301,0.2907844,-2.8168676,-1.6769927,True,0.119104624,train,tensor([False]),0.40959772
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-0.3849923,-0.437007,0.098335385,-0.62974435,-0.24426965,True,0.05201471,train,tensor([False]),0.5289521
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-0.28641677,-0.23540807,0.059165295,-0.35137206,-0.11944409,True,-0.0510087,train,tensor([False]),-0.86213887
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-1.8413459,-1.6917815,0.08428847,-1.8569869,-1.5265762,True,-0.14956439,train,tensor([True]),-1.7744347
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.0674193,-1.207585,0.16500755,-1.5309998,-0.8841702,True,0.14016569,train,tensor([False]),0.8494502
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-2.188802,-2.1067777,0.06528275,-2.234732,-1.9788234,True,-0.082024336,train,tensor([False]),-1.2564473
