formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-2.523143,-2.0898597,0.39286134,-2.859868,-1.3198515,True,-0.43328333,train,tensor([True]),-1.1028912
CH2O82Ti40,TiO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-0.95045495,-1.0063097,0.108640194,-1.2192445,-0.79337496,True,0.055854797,train,tensor([False]),0.5141265
C2H4O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-1.0719074,-1.0931056,0.08750053,-1.2646066,-0.9216045,True,0.021198153,train,tensor([False]),0.24226315
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-1.2037108,-1.3166552,0.12268268,-1.5571132,-1.0761971,True,0.112944365,train,tensor([False]),0.9206219
C2H4O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-1.0428098,-1.0340146,0.094710566,-1.2196473,-0.8483819,True,-0.008795261,train,tensor([False]),-0.092864625
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.40652263,-0.8999294,0.5999096,-2.0757523,0.27589345,True,0.49340677,train,tensor([False]),0.8224685
CH3NO80Ti40,TiO2,110,imines,Methanimine,relaxed,-0.26596695,-0.2804457,0.04153361,-0.36185157,-0.19903982,True,0.014478743,train,tensor([False]),0.34860304
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.08462805,-0.40598726,0.17451626,-0.7480391,-0.0639354,True,0.32135922,train,tensor([False]),1.8414285
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-1.2030253,-1.213329,0.08216715,-1.3743765,-1.0522814,True,0.0103036165,train,tensor([False]),0.12539825
CH4O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-0.37366915,-0.5218007,0.38393646,-1.2743162,0.2307148,True,0.14813155,train,tensor([False]),0.38582307
C3H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.18151999,-0.27598983,0.0368423,-0.34820074,-0.20377892,False,0.094469845,train,tensor([False]),2.564168
CH2O82Ti40,TiO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-1.3456436,-0.59108114,0.58981496,-1.7471185,0.5649562,True,-0.7545625,train,tensor([False]),-1.2793207
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-2.1250196,-1.4842972,0.37451577,-2.218348,-0.7502462,True,-0.6407224,train,tensor([False]),-1.7108022
C2H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.1325458,-1.1019,0.06756416,-1.2343258,-0.9694742,True,-0.030645847,train,tensor([False]),-0.45358142
C2H4O82Ti40,TiO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.1267836,-1.1622365,0.07339827,-1.306097,-1.0183759,True,0.035452843,train,tensor([False]),0.48302016
CH3NO81Ti40,TiO2,110,oximes,Formaldoxime,relaxed,-1.3063111,-1.3904582,0.06580871,-1.5194433,-1.2614732,True,0.084147096,train,tensor([False]),1.278662
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-0.38859606,-0.4038195,0.057356067,-0.5162374,-0.29140162,True,0.0152234435,train,tensor([False]),0.26541993
C3H4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.20909803,-0.2659065,0.047873985,-0.35973954,-0.1720735,True,0.056808487,train,tensor([False]),1.1866254
C3H4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.7562987,-0.7350687,0.101606004,-0.93421644,-0.5359209,True,-0.021230042,train,tensor([False]),-0.20894475
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-1.7424982,-1.4176146,0.21606548,-1.841103,-0.9941262,True,-0.32488358,train,tensor([False]),-1.5036348
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.17997466,-0.27565408,0.058901444,-0.3911009,-0.16020724,True,0.09567942,train,tensor([False]),1.6243985
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,relaxed,-1.9818201,-2.0316737,0.04553377,-2.12092,-1.9424275,True,0.049853563,train,tensor([False]),1.0948701
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.7382373,-1.8009272,0.23452647,-2.2605991,-1.3412553,True,0.0626899,train,tensor([True]),0.26730415
C3H8O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.4506189,-1.4180789,0.061191868,-1.538015,-1.2981428,True,-0.032539964,train,tensor([False]),-0.5317694
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,relaxed,-0.64916146,-0.5061852,0.08888536,-0.6804005,-0.33196986,True,-0.14297628,train,tensor([False]),-1.6085471
C3H8O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.3605477,-1.4031245,0.06020474,-1.5211258,-1.2851231,True,0.04257679,train,tensor([False]),0.70719993
CH4N2O80Ti40,TiO2,110,amidines,Formimidamide,relaxed,-1.747565,-1.7758449,0.041243203,-1.8566816,-1.6950083,True,0.0282799,train,tensor([False]),0.68568635
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.86253,-1.878583,0.37391102,-2.6114485,-1.1457174,True,0.016052961,train,tensor([True]),0.04293257
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.72903347,-0.597551,0.0786092,-0.751625,-0.44347697,True,-0.13148248,train,tensor([False]),-1.6726093
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-1.2170694,-0.7938843,0.49056584,-1.7553933,0.16762477,True,-0.4231851,train,tensor([False]),-0.86264694
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-1.2023008,-1.24615,0.0897453,-1.4220508,-1.0702492,True,0.04384923,train,tensor([False]),0.4885964
CH4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.17295738,-0.1798709,0.027091596,-0.23297043,-0.12677138,True,0.006913528,train,tensor([False]),0.25519085
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.3714074,-0.40378034,0.09447051,-0.5889425,-0.21861814,True,0.03237295,train,tensor([False]),0.34267786
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-2.4805303,-2.1190045,0.20301789,-2.5169196,-1.7210894,True,-0.36152577,train,tensor([True]),-1.7807583
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-0.32324103,-0.5254315,0.12362444,-0.7677354,-0.2831276,True,0.20219049,train,tensor([False]),1.635522
CH5NO80Ti40,TiO2,110,amines,Methanamine,relaxed,-1.6124705,-1.6125395,0.04376687,-1.6983227,-1.5267564,True,6.902218e-05,train,tensor([False]),0.0015770417
C2H2O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-0.79840255,-0.768592,0.0916612,-0.94824797,-0.58893603,True,-0.029810548,train,tensor([False]),-0.32522538
C2H4O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-0.3503372,-0.42775404,0.1072444,-0.63795304,-0.21755502,True,0.07741684,train,tensor([False]),0.721873
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.8146092,-1.7278247,0.084397934,-1.8932446,-1.5624048,True,-0.08678448,train,tensor([False]),-1.0282773
CH5NO80Ru40,RuO2,110,amines,Methanamine,relaxed,-2.015036,-2.0007646,0.053442296,-2.1055114,-1.8960177,True,-0.014271498,train,tensor([False]),-0.267045
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,-1.9807585,-1.9147952,0.052210145,-2.017127,-1.8124633,True,-0.06596339,train,tensor([False]),-1.2634209
C3H9NO80Ti40,TiO2,110,amines,Trimethylamine,relaxed,-0.34656584,-0.3975615,0.047407683,-0.49048054,-0.30464244,True,0.050995648,train,tensor([False]),1.0756832
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,relaxed,-1.9109449,-1.8929384,0.064889535,-2.0201218,-1.7657549,True,-0.018006563,train,tensor([False]),-0.27749565
C3H6O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-0.8248295,-0.84754544,0.16595873,-1.1728246,-0.5222663,True,0.022715926,train,tensor([False]),0.13687696
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,relaxed,-1.93214,-1.9317098,0.051866952,-2.033369,-1.8300506,True,-0.00043022633,train,tensor([False]),-0.008294807
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-0.31283516,-0.50319856,0.10912209,-0.71707785,-0.28931928,True,0.1903634,train,tensor([False]),1.7444993
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,relaxed,-0.28224644,-0.33497888,0.0648283,-0.46204233,-0.20791541,True,0.052732438,train,tensor([False]),0.81341696
C2H6O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.2643787,-1.1800218,0.11796024,-1.4112239,-0.9488197,True,-0.084356904,train,tensor([False]),-0.71513
C3H4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.35887247,-0.3207006,0.05660927,-0.43165475,-0.20974642,True,-0.038171887,train,tensor([False]),-0.67430454
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.7572684,-0.6109804,0.12177562,-0.84966063,-0.37230018,True,-0.14628804,train,tensor([False]),-1.2012917
C2H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.1299181,-1.0502329,0.08897724,-1.2246283,-0.8758375,True,-0.07968521,train,tensor([False]),-0.8955685
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.0869702,-1.1271327,0.07455775,-1.2732658,-0.98099947,True,0.040162444,train,tensor([False]),0.5386756
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,relaxed,-1.511021,-1.577161,0.25046605,-2.0680745,-1.0862474,True,0.06613994,train,tensor([False]),0.26406747
CH3NO81Ti40,TiO2,110,oximes,Formaldoxime,relaxed,-1.0520295,-1.0293941,0.08375785,-1.1935595,-0.8652288,True,-0.02263534,train,tensor([False]),-0.2702474
C2H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.25991914,-0.31501698,0.07052701,-0.45324993,-0.17678404,True,0.05509785,train,tensor([False]),0.78123045
C3H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.23324086,-0.2778657,0.040337417,-0.35692704,-0.19880438,True,0.04462485,train,tensor([False]),1.1062893
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-0.20609812,-0.19101113,0.04029068,-0.26998085,-0.1120414,True,-0.015086994,train,tensor([False]),-0.3744537
C3H6O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-0.93726534,-0.78816605,0.10173113,-0.9875591,-0.588773,True,-0.14909929,train,tensor([False]),-1.4656211
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.8045261,-1.6633732,0.20506166,-2.065294,-1.2614524,True,-0.14115286,train,tensor([False]),-0.68834347
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.4870595,-0.3589154,0.09460565,-0.54434246,-0.17348832,True,-0.12814412,train,tensor([False]),-1.354508
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.4639634,-1.422902,0.15919004,-1.7349145,-1.1108894,True,-0.0410614,train,tensor([False]),-0.25793952
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.34276518,-0.3558581,0.046984117,-0.44794697,-0.2637692,True,0.013092905,train,tensor([False]),0.27866662
CH3NO82Ti40,TiO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.6124732,-1.3686029,0.15968043,-1.6815765,-1.0556293,True,-0.24387038,train,tensor([False]),-1.5272403
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-1.626952,-1.7129323,0.06100356,-1.8324993,-1.5933654,True,0.085980296,train,tensor([False]),1.4094309
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,relaxed,-2.1033635,-2.0684783,0.054662824,-2.1756175,-1.9613392,True,-0.034885168,train,tensor([False]),-0.6381882
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.6890608,-0.79521614,0.13778266,-1.0652702,-0.5251621,True,0.106155336,train,tensor([False]),0.77045494
C2H4O82Ti40,TiO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.4203017,-1.0499036,0.22172768,-1.4844899,-0.61531734,True,-0.37039804,train,tensor([False]),-1.6705087
C2H7NO80Ti40,TiO2,110,amines,Ethanamine,relaxed,-1.6834934,-1.6572466,0.050881825,-1.7569749,-1.5575182,True,-0.026246786,train,tensor([False]),-0.51583815
C2H6O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.19475372,-0.22032219,0.0437936,-0.30615765,-0.13448673,True,0.02556847,train,tensor([False]),0.5838403
CH3NO80Ti40,TiO2,110,imines,Methanimine,relaxed,-1.4617107,-1.4653684,0.04786411,-1.559182,-1.3715547,True,0.0036576986,train,tensor([False]),0.0764184
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.2417115,-1.2419156,0.14983904,-1.5356002,-0.94823104,True,0.0002040863,train,tensor([False]),0.0013620369
C2H6O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.2581941,-1.1447532,0.10768057,-1.3558071,-0.9336993,True,-0.11344087,train,tensor([False]),-1.0534943
C3H8O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.34887022,-0.41609716,0.065010585,-0.54351795,-0.2886764,True,0.06722695,train,tensor([False]),1.0340923
C3H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.0794227,-1.113851,0.08318019,-1.2768841,-0.95081776,True,0.03442824,train,tensor([False]),0.4138995
CH2O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-0.9824067,-0.9158726,0.10393732,-1.1195897,-0.7121554,True,-0.0665341,train,tensor([False]),-0.6401368
C3H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.0793568,-1.1092386,0.0755493,-1.2573153,-0.961162,True,0.029881835,train,tensor([False]),0.39552763
C2H7NO80Ti40,TiO2,110,amines,Ethanamine,relaxed,-1.7282197,-1.6097336,0.10294721,-1.8115101,-1.4079571,True,-0.118486166,train,tensor([False]),-1.150941
CH4O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.1265445,-1.0539567,0.12501413,-1.2989844,-0.8089291,True,-0.07258773,train,tensor([False]),-0.5806362
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.52762645,-0.4256013,0.117509134,-0.6559192,-0.1952834,True,-0.10202515,train,tensor([False]),-0.86823165
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-0.3718498,-0.33393395,0.10768329,-0.5449932,-0.12287469,True,-0.037915856,train,tensor([False]),-0.35210526
C2H4O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-1.0587217,-0.97526306,0.14543743,-1.2603204,-0.6902057,True,-0.0834586,train,tensor([False]),-0.5738454
CH4N2O80Ti40,TiO2,110,amidines,Formimidamide,relaxed,-0.38485372,-0.45801067,0.06408835,-0.5836238,-0.33239752,True,0.07315695,train,tensor([False]),1.1415015
C3H9NO80Ti40,TiO2,110,amines,Propan-2-amine,relaxed,-1.7632371,-1.5485568,0.15906823,-1.8603306,-1.236783,True,-0.21468031,train,tensor([False]),-1.3496115
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-0.2685277,-0.3832091,0.12268898,-0.6236795,-0.1427387,True,0.11468142,train,tensor([False]),0.93473285
C2H5NO80Ti40,TiO2,110,imines,Ethanimine,relaxed,-1.4886532,-1.4706898,0.051879525,-1.5723736,-1.3690059,True,-0.01796341,train,tensor([False]),-0.34625238
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-1.2053969,-1.2908324,0.11912242,-1.5243124,-1.0573524,True,0.08543551,train,tensor([False]),0.7172076
C2H5NO80Ti40,TiO2,110,imines,N-methylmethanimine,relaxed,-1.4119256,-1.3954134,0.052841946,-1.4989836,-1.2918432,True,-0.016512156,train,tensor([False]),-0.31248197
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-1.9952747,-1.9923992,0.083514504,-2.1560876,-1.8287108,True,-0.0028754473,train,tensor([False]),-0.034430515
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.6625017,-1.7422779,0.19318101,-2.1209126,-1.363643,True,0.07977617,train,tensor([False]),0.4129607
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,-1.6991528,-1.7287666,0.08706819,-1.8994203,-1.5581129,True,0.029613733,train,tensor([False]),0.34012115
CH3NO80Ru40,RuO2,110,imines,Methanimine,relaxed,-1.9954523,-1.9364754,0.06054826,-2.05515,-1.8178008,True,-0.05897689,train,tensor([False]),-0.9740476
C2H6N2O80Ti40,TiO2,110,amidines,Acetimidamide,relaxed,-0.51959443,-0.4764136,0.056814875,-0.58777076,-0.36505646,True,-0.043180823,train,tensor([False]),-0.7600267
C3H8O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.501314,-0.586969,0.08670158,-0.7569041,-0.4170339,True,0.08565503,train,tensor([False]),0.98792934
C2H5NO81Ti40,TiO2,110,amides,Acetamide,relaxed,-1.5525005,-1.4375687,0.16858205,-1.7679895,-1.1071478,True,-0.11493182,train,tensor([False]),-0.68175596
