formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.7326229,-0.5860173,0.9460437,-2.440263,1.2682285,True,-0.14660561,train,tensor([False]),-0.15496705
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-2.5520663,-2.3096743,0.9460437,-4.16392,-0.45542848,True,-0.24239206,train,tensor([False]),-0.25621656
CH2Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-3.3062916,-2.9102829,0.9460437,-4.7645288,-1.0560371,True,-0.39600873,train,tensor([False]),-0.41859454
C2H6Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.5641344,-1.445708,0.9460437,-3.299954,0.40853775,True,-0.11842632,train,tensor([False]),-0.1251806
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,-2.7892,-2.8504896,0.9460437,-4.7047353,-0.99624383,True,0.06128955,train,tensor([False]),0.064785115
C3H7NRu48,Ru,110,imines,Propan-2-imine,relaxed,-1.4004552,-1.3495315,0.9460437,-3.2037773,0.50471425,True,-0.050923705,train,tensor([False]),-0.053828068
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-1.2781136,-1.3852907,0.9460437,-3.2395365,0.46895504,True,0.10717714,train,tensor([False]),0.11328983
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-0.35462096,-0.3490237,0.9460437,-2.2032695,1.5052221,True,-0.0055972636,train,tensor([False]),-0.005916496
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-3.1990073,-3.483437,0.9460437,-5.3376827,-1.6291913,True,0.2844298,train,tensor([True]),0.30065185
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-2.4215274,-2.428781,0.9460437,-4.2830267,-0.57453525,True,0.007253647,train,tensor([True]),0.0076673483
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.50492525,-0.6308444,0.9460437,-2.4850903,1.2234013,True,0.12591916,train,tensor([False]),0.13310078
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-2.4706726,-2.2725837,0.9460437,-4.1268296,-0.41833794,True,-0.19808888,train,tensor([False]),-0.2093866
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.2317934,-1.3219616,0.9460437,-3.1762075,0.53228414,True,0.09016824,train,tensor([False]),0.09531086
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-3.3377254,-3.2081175,0.9460437,-5.062363,-1.3538717,True,-0.12960792,train,tensor([True]),-0.13699992
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-1.1714629,-1.3239653,0.9460437,-3.1782112,0.5302805,True,0.15250242,train,tensor([False]),0.16120018
C3H6Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-3.02591,-3.163347,0.9460437,-5.017593,-1.3091012,True,0.1374371,train,tensor([False]),0.14527564
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.7155645,-1.6115488,0.9460437,-3.4657946,0.242697,True,-0.10401571,train,tensor([False]),-0.1099481
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-0.8205998,-0.8321747,0.9460437,-2.6864204,1.0220711,True,0.011574924,train,tensor([False]),0.012235084
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-0.30412295,-0.63665205,0.9460437,-2.490898,1.2175937,True,0.3325291,train,tensor([False]),0.35149443
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.6709398,-0.67984647,0.9460437,-2.5340922,1.1743994,True,0.008906662,train,tensor([False]),0.009414641
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.5034237,-1.7207943,0.9460437,-3.57504,0.13345146,True,0.21737063,train,tensor([False]),0.22976805
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-1.5249938,-1.753788,0.9460437,-3.6080337,0.10045779,True,0.22879422,train,tensor([True]),0.24184318
CH3NO81Ru40,RuO2,110,amides,Formamide,relaxed,-1.6173105,-1.7459409,0.9460437,-3.6001868,0.10830486,True,0.1286304,train,tensor([False]),0.13596666
C2H4Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-0.8155374,-1.219625,0.9460437,-3.0738707,0.6346208,True,0.4040876,train,tensor([False]),0.42713416
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.63318497,-0.58984077,0.9460437,-2.4440866,1.264405,True,-0.0433442,train,tensor([False]),-0.045816276
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,-1.2038884,-1.0997984,0.9460437,-2.9540443,0.75444734,True,-0.104089975,train,tensor([False]),-0.1100266
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.58533233,-0.3060912,0.9460437,-2.160337,1.5481546,True,-0.27924114,train,tensor([False]),-0.29516727
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-3.136913,-3.2800298,0.9460437,-5.1342754,-1.425784,True,0.14311671,train,tensor([True]),0.15127917
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,relaxed,-1.9023606,-2.0940144,0.9460437,-3.9482603,-0.23976862,True,0.19165385,train,tensor([False]),0.20258455
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-1.8287824,-1.3807203,0.9460437,-3.234966,0.47352552,True,-0.44806218,train,tensor([False]),-0.47361678
C2H6Ru48,Ru,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.19796436,-0.46603477,0.9460437,-2.3202806,1.388211,True,0.2680704,train,tensor([False]),0.2833594
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.9463277,-2.0537088,0.9460437,-3.9079547,-0.19946301,True,0.107381105,train,tensor([False]),0.11350544
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.6305579,-1.6919498,0.9460437,-3.5461955,0.16229594,True,0.06139195,train,tensor([False]),0.06489335
C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-2.3703399,-2.2212148,0.9460437,-4.0754604,-0.366969,True,-0.1491251,train,tensor([False]),-0.15763023
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.8146092,-1.6234641,0.9460437,-3.4777098,0.23078167,True,-0.19114506,train,tensor([False]),-0.20204675
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-2.368375,-2.2011824,0.9460437,-4.055428,-0.34693658,True,-0.1671927,train,tensor([False]),-0.1767283
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-2.8161914,-2.8004336,0.9460437,-4.6546793,-0.94618785,True,-0.0157578,train,tensor([False]),-0.016656524
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.4265436,-0.49416578,0.9460437,-2.3484116,1.36008,True,0.067622185,train,tensor([False]),0.07147892
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-2.523143,-2.212229,0.9460437,-4.066475,-0.35798323,True,-0.31091404,train,tensor([True]),-0.32864657
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.47293362,-0.47490817,0.9460437,-2.329154,1.3793375,True,0.0019745529,train,tensor([False]),0.0020871686
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,-0.3645103,-0.34128582,0.9460437,-2.1955316,1.51296,True,-0.023224473,train,tensor([False]),-0.024549048
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-3.2388747,-3.2849646,0.9460437,-5.13921,-1.4307188,True,0.046089888,train,tensor([True]),0.04871856
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,relaxed,-3.237052,-3.1463647,0.9460437,-5.0006104,-1.2921189,True,-0.090687275,train,tensor([False]),-0.0958595
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,relaxed,-0.79394776,-0.87239414,0.9460437,-2.72664,0.98185164,True,0.07844639,train,tensor([False]),0.08292047
CH3NO81Ru40,RuO2,110,amides,Formamide,relaxed,-2.5132828,-2.7476141,0.9460437,-4.60186,-0.89336836,True,0.23433137,train,tensor([True]),0.24769613
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.52762645,-0.35777998,0.9460437,-2.2120256,1.4964658,True,-0.16984648,train,tensor([False]),-0.17953342
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-1.626952,-1.7142602,0.9460437,-3.568506,0.13998556,True,0.08730817,train,tensor([False]),0.09228767
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.29978684,-0.17934132,0.9460437,-2.033587,1.6749045,True,-0.12044552,train,tensor([False]),-0.12731495
CH3NORu48,Ru,110,oximes,Formaldoxime,relaxed,-1.3249899,-1.4596622,0.9460437,-3.313908,0.39458358,True,0.13467228,train,tensor([False]),0.14235313
C2H4Ir48O2,Ir,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-0.15231729,-0.4858241,0.9460437,-2.3400698,1.3684217,True,0.33350682,train,tensor([False]),0.35252792
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.7450719,-1.5717574,0.9460437,-3.4260032,0.28248835,True,-0.17331445,train,tensor([False]),-0.1831992
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,relaxed,-2.8304207,-2.885492,0.9460437,-4.739738,-1.0312463,True,0.055071354,train,tensor([False]),0.05821227
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,relaxed,-0.52469885,-0.33522475,0.9460437,-2.1894705,1.519021,True,-0.1894741,train,tensor([False]),-0.20028049
CH5NRu48,Ru,110,amines,Methanamine,relaxed,-1.261062,-1.3231841,0.9460437,-3.17743,0.53106165,True,0.062122107,train,tensor([False]),0.065665156
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-2.4917662,-2.158073,0.9460437,-4.0123186,-0.30382717,True,-0.33369327,train,tensor([False]),-0.352725
C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.9162964,-1.8950971,0.9460437,-3.749343,-0.040851355,True,-0.021199226,train,tensor([False]),-0.022408294
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.338841,-1.3596319,0.9460437,-3.2138777,0.4946139,True,0.020790935,train,tensor([False]),0.021976717
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,relaxed,-3.3017733,-3.3056898,0.9460437,-5.1599355,-1.451444,True,0.003916502,train,tensor([True]),0.004139874
