formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-2.681627,-2.8409534,0.973014,-4.7480607,-0.9338459,True,0.15932631,train,tensor([False]),0.16374514
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-0.834536,-0.9496243,0.973014,-2.856732,0.9574832,True,0.115088284,train,tensor([False]),0.118280195
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-0.48786825,-0.43332362,0.973014,-2.3404312,1.4737839,True,-0.054544628,train,tensor([False]),-0.056057394
CH3Ir40NO80,IrO2,110,imines,Methanimine,relaxed,-0.5223362,-0.65617704,0.973014,-2.5632844,1.2509304,True,0.13384086,train,tensor([False]),0.13755286
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-2.390627,-2.1828063,0.973014,-4.089914,-0.27569878,True,-0.20782065,train,tensor([False]),-0.21358444
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.8681649,-1.7614012,0.973014,-3.6685085,0.1457063,True,-0.10676372,train,tensor([False]),-0.10972475
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.7551279,-1.6180327,0.973014,-3.5251403,0.28907478,True,-0.13709521,train,tensor([False]),-0.14089747
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.2417115,-1.118571,0.973014,-3.0256786,0.7885364,True,-0.123140454,train,tensor([False]),-0.12655568
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-0.7372099,-0.6271634,0.973014,-2.5342708,1.2799441,True,-0.110046506,train,tensor([False]),-0.113098584
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.9778366,-0.8283976,0.973014,-2.735505,1.0787098,True,-0.14943904,train,tensor([False]),-0.15358365
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-3.3825548,-3.5147648,0.973014,-5.421872,-1.6076573,True,0.13221002,train,tensor([True]),0.13587679
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,-2.2565641,-2.5140808,0.973014,-4.4211884,-0.6069733,True,0.25751662,train,tensor([True]),0.2646587
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-1.6591384,-1.4596951,0.973014,-3.3668027,0.44741237,True,-0.19944334,train,tensor([False]),-0.20497479
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.1924462,-0.2668401,0.973014,-2.1739476,1.6402674,True,0.0743939,train,tensor([False]),0.07645717
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.1878296,-1.3277397,0.973014,-3.234847,0.57936776,True,0.1399101,train,tensor([False]),0.14379042
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-0.5592134,-0.63971996,0.973014,-2.5468273,1.2673875,True,0.08050656,train,tensor([False]),0.08273937
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,relaxed,-2.0180874,-2.0456305,0.973014,-3.9527378,-0.13852298,True,0.027543068,train,tensor([False]),0.02830696
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.7412271,-0.63084126,0.973014,-2.5379486,1.2762662,True,-0.110385835,train,tensor([False]),-0.11344732
C2H5Ir40NO81,IrO2,110,amides,Acetamide,relaxed,-0.42302877,-0.66602254,0.973014,-2.5731301,1.2410849,True,0.24299377,train,tensor([False]),0.24973308
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,-0.4818277,-0.41969097,0.973014,-2.3267984,1.4874165,True,-0.06213674,train,tensor([False]),-0.063860066
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-2.0159335,-1.9200615,0.973014,-3.827169,-0.012953997,True,-0.095872045,train,tensor([False]),-0.098531
CH5Ir40NO80,IrO2,110,amines,Methanamine,relaxed,-0.40447193,-0.33737493,0.973014,-2.2444825,1.5697325,True,-0.06709701,train,tensor([False]),-0.06895791
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-2.5225194,-2.3368673,0.973014,-4.2439747,-0.42975986,True,-0.18565202,train,tensor([False]),-0.19080098
CH3NO81Ru40,RuO2,110,amides,Formamide,relaxed,-1.6291783,-1.568176,0.973014,-3.4752836,0.33893144,True,-0.061002254,train,tensor([False]),-0.06269412
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.9644679,-2.1237202,0.973014,-4.0308275,-0.2166127,True,0.15925229,train,tensor([False]),0.16366906
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-0.9667833,-0.51338005,0.973014,-2.4204874,1.3937274,True,-0.45340323,train,tensor([False]),-0.46597812
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,relaxed,-0.4372934,-0.29798794,0.973014,-2.2050953,1.6091195,True,-0.13930547,train,tensor([False]),-0.14316903
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,relaxed,-2.4104888,-2.4901948,0.973014,-4.397302,-0.5830873,True,0.07970595,train,tensor([False]),0.081916556
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,relaxed,-4.367753,-4.0954585,0.973014,-6.002566,-2.1883512,True,-0.27229452,train,tensor([True]),-0.27984646
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.6318733,-1.7021976,0.973014,-3.609305,0.20490992,True,0.0703243,train,tensor([False]),0.07227471
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-2.3588436,-2.5823054,0.973014,-4.489413,-0.67519796,True,0.22346187,train,tensor([True]),0.22965945
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.41116026,-0.45086646,0.973014,-2.357974,1.456241,True,0.0397062,train,tensor([False]),0.04080743
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.5394167,-0.68623865,0.973014,-2.593346,1.2208688,True,0.14682198,train,tensor([False]),0.150894
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.82214534,-0.82839745,0.973014,-2.7355049,1.0787101,True,0.00625211,train,tensor([False]),0.0064255088
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.6451003,-0.7068627,0.973014,-2.6139703,1.2002448,True,0.061762393,train,tensor([False]),0.06347534
CH3Ir40NO80,IrO2,110,imines,Methanimine,relaxed,-2.752871,-2.8180687,0.973014,-4.7251763,-0.9109613,True,0.065197706,train,tensor([False]),0.067005925
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,relaxed,-1.0374961,-1.0847594,0.973014,-2.9918668,0.8223481,True,0.047263265,train,tensor([False]),0.048574086
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-2.3410761,-2.5298452,0.973014,-4.4369526,-0.62273777,True,0.1887691,train,tensor([True]),0.1940045
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.19689174,-0.16230714,0.973014,-2.0694146,1.7448003,True,-0.034584597,train,tensor([False]),-0.03554378
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-1.2258381,-1.4300919,0.973014,-3.3371992,0.4770156,True,0.2042538,train,tensor([False]),0.20991866
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-1.2759068,-1.3059,0.973014,-3.2130075,0.6012075,True,0.029993176,train,tensor([False]),0.03082502
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.2960935,-1.3761874,0.973014,-3.283295,0.53092,True,0.08009398,train,tensor([False]),0.08231534
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-1.0235742,-1.0806787,0.973014,-2.9877863,0.8264288,True,0.05710447,train,tensor([False]),0.05868823
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-1.2184308,-1.366074,0.973014,-3.2731814,0.5410335,True,0.14764321,train,tensor([False]),0.15173802
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.4860244,-1.694823,0.973014,-3.6019306,0.21228445,True,0.20879865,train,tensor([False]),0.21458957
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,-0.37686828,-0.2974547,0.973014,-2.2045622,1.6096528,True,-0.07941356,train,tensor([False]),-0.08161605
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,-0.48138058,-0.5324494,0.973014,-2.4395568,1.3746581,True,0.051068842,train,tensor([True]),0.05248521
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-1.7018833,-1.8051682,0.973014,-3.7122755,0.10193932,True,0.103284836,train,tensor([False]),0.10614938
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.1545284,-0.18066871,0.973014,-2.0877762,1.7264388,True,0.026140317,train,tensor([False]),0.026865305
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.0898432,-0.8597976,0.973014,-2.766905,1.0473099,True,-0.23004556,train,tensor([False]),-0.23642574
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.24033412,-0.37663138,0.973014,-2.2837389,1.5304761,True,0.13629726,train,tensor([False]),0.14007738
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.0918964,-1.2563986,0.973014,-3.163506,0.6507089,True,0.16450214,train,tensor([False]),0.16906452
CH3NO80Ru40,RuO2,110,imines,Methanimine,relaxed,-1.9954523,-2.0076861,0.973014,-3.9147935,-0.100578666,True,0.012233853,train,tensor([False]),0.012573153
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-0.24459472,-0.31139982,0.973014,-2.2185073,1.5957077,True,0.066805094,train,tensor([False]),0.0686579
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.0584401,-1.2839146,0.973014,-3.191022,0.6231929,True,0.22547448,train,tensor([False]),0.23172788
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,relaxed,-3.2869053,-2.9649873,0.973014,-4.8720946,-1.0578798,True,-0.321918,train,tensor([False]),-0.33084622
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.3093157,-0.41361368,0.973014,-2.3207211,1.4934938,True,0.104297966,train,tensor([False]),0.10719061
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,relaxed,-2.7239518,-2.9002042,0.973014,-4.8073115,-0.9930967,True,0.17625237,train,tensor([False]),0.18114063
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.1271307,-1.112549,0.973014,-3.0196564,0.7945585,True,-0.0145817995,train,tensor([False]),-0.014986218
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-1.8748815,-2.0968244,0.973014,-4.003932,-0.18971694,True,0.2219429,train,tensor([False]),0.22809836
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-2.1629596,-2.2556598,0.973014,-4.1627674,-0.34855235,True,0.09270024,train,tensor([False]),0.09527123
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,relaxed,-2.2155643,-2.14866,0.973014,-4.0557675,-0.24155247,True,-0.06690431,train,tensor([False]),-0.06875986
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-2.961699,-2.9331045,0.973014,-4.840212,-1.025997,True,-0.028594494,train,tensor([False]),-0.029387547
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.23268577,-0.18926764,0.973014,-2.096375,1.7178398,True,-0.04341814,train,tensor([False]),-0.044622317
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-0.6126781,-0.60765225,0.973014,-2.5147598,1.2994552,True,-0.0050258636,train,tensor([False]),-0.0051652533
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.4163716,-1.4714357,0.973014,-3.3785431,0.4356718,True,0.055064082,train,tensor([False]),0.056591254
CH5Ir40NO80,IrO2,110,amines,Methanamine,relaxed,-0.1974054,-0.25677156,0.973014,-2.163879,1.6503359,True,0.059366167,train,tensor([False]),0.061012655
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-0.528532,-0.33903968,0.973014,-2.2461472,1.5680678,True,-0.18949234,train,tensor([False]),-0.1947478
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.7750492,-0.681362,0.973014,-2.5884695,1.2257454,True,-0.09368724,train,tensor([False]),-0.0962856
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,relaxed,-2.2366388,-2.1739426,0.973014,-4.08105,-0.2668351,True,-0.06269622,train,tensor([False]),-0.064435065
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.7410262,-1.7210081,0.973014,-3.6281157,0.18609941,True,-0.0200181,train,tensor([False]),-0.020573292
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.4639634,-1.4986106,0.973014,-3.405718,0.40849686,True,0.034647226,train,tensor([False]),0.035608146
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-2.7508965,-2.8167713,0.973014,-4.723879,-0.9096638,True,0.065874815,train,tensor([False]),0.06770182
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.9989017,-2.1683404,0.973014,-4.075448,-0.26123297,True,0.16943872,train,tensor([False]),0.17413801
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.20337354,-0.34069574,0.973014,-2.2478032,1.5664117,True,0.1373222,train,tensor([False]),0.14113076
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.7572684,-0.7273508,0.973014,-2.6344583,1.1797566,True,-0.029917657,train,tensor([False]),-0.030747406
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-0.16172493,-0.198843,0.973014,-2.1059504,1.7082645,True,0.037118077,train,tensor([False]),0.038147528
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.9043457,-0.73593163,0.973014,-2.6430392,1.1711758,True,-0.16841406,train,tensor([False]),-0.17308493
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.65939784,-0.7962616,0.973014,-2.7033691,1.1108458,True,0.13686377,train,tensor([False]),0.14065962
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.27693567,-0.40311897,0.973014,-2.3102264,1.5039885,True,0.1261833,train,tensor([False]),0.12968293
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.6849369,-1.7459955,0.973014,-3.6531029,0.16111195,True,0.06105864,train,tensor([False]),0.06275207
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-1.2852226,-1.4917743,0.973014,-3.398882,0.41533315,True,0.20655167,train,tensor([False]),0.21228027
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.86253,-1.8246324,0.973014,-3.73174,0.082475066,True,-0.037897587,train,tensor([True]),-0.038948655
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.4249491,-0.6283224,0.973014,-2.53543,1.278785,True,0.20337331,train,tensor([False]),0.20901376
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-2.3898268,-2.5229976,0.973014,-4.430105,-0.61589015,True,0.13317084,train,tensor([True]),0.13686426
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-1.3393352,-1.2611198,0.973014,-3.1682272,0.64598763,True,-0.07821536,train,tensor([False]),-0.08038462
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,-1.7681602,-1.7899778,0.973014,-3.6970854,0.11712968,True,0.021817565,train,tensor([False]),0.022422664
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.88278973,-0.8655927,0.973014,-2.7727003,1.0415148,True,-0.017197013,train,tensor([False]),-0.017673962
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,relaxed,-0.39442882,-0.35691142,0.973014,-2.264019,1.550196,True,-0.0375174,train,tensor([False]),-0.038557924
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,relaxed,-2.7819788,-2.8927884,0.973014,-4.799896,-0.98568094,True,0.110809565,train,tensor([False]),0.11388281
