formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.3411883,-1.319133,1.0418389,-3.3611374,0.7228713,True,-0.022055268,train,tensor([False]),-0.021169558
C2H4O2Ti48,Ti,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-2.1802778,-2.2916276,1.0418389,-4.333632,-0.2496233,True,0.11134982,train,tensor([False]),0.10687816
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.50492525,-0.69109726,1.0418389,-2.7331016,1.3509071,True,0.18617201,train,tensor([False]),0.17869559
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,relaxed,-2.6806328,-2.518423,1.0418389,-4.5604277,-0.47641873,True,-0.16220975,train,tensor([False]),-0.15569562
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-0.13535583,-0.1934067,1.0418389,-2.2354112,1.8485976,True,0.05805087,train,tensor([False]),0.055719625
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-2.3588436,-2.4907515,1.0418389,-4.532756,-0.44874716,True,0.13190794,train,tensor([True]),0.1266107
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.1271307,-1.1898743,1.0418389,-3.2318788,0.85213006,True,0.062743545,train,tensor([False]),0.060223848
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-0.3217309,-0.45890546,1.0418389,-2.5009098,1.5830989,True,0.13717455,train,tensor([False]),0.1316658
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-0.36213627,-0.5467529,1.0418389,-2.5887573,1.4952514,True,0.18461666,train,tensor([False]),0.17720269
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.722174,-1.6458234,1.0418389,-3.6878276,0.396181,True,-0.07635069,train,tensor([False]),-0.073284544
