formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.32321647,-0.27309072,0.0553724,-0.38162062,-0.16456082,True,-0.050125748,train,tensor([False]),-0.9052479
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-1.9024816,-2.0115626,0.09412674,-2.1960511,-1.8270742,True,0.10908103,train,tensor([False]),1.158874
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-2.1359258,-2.0701313,0.08837593,-2.2433481,-1.8969145,True,-0.06579447,train,tensor([False]),-0.744484
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-2.3130302,-2.3628404,0.10034795,-2.5595224,-2.1661584,True,0.04981017,train,tensor([True]),0.49637458
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.50492525,-0.41847706,0.12925282,-0.6718126,-0.16514152,True,-0.08644819,train,tensor([False]),-0.6688302
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.6127804,-0.6339496,0.23201756,-1.088704,-0.17919514,True,0.021169186,train,tensor([False]),0.09123959
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,relaxed,-3.0559773,-3.137494,0.25315943,-3.6336865,-2.6413016,True,0.08151674,train,tensor([True]),0.32199764
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,relaxed,-3.3017733,-3.1743956,0.22536932,-3.6161194,-2.7326717,True,-0.12737775,train,tensor([True]),-0.5651956
C2H5Ir40NO81,IrO2,110,amides,Acetamide,relaxed,-0.42302877,-0.6151666,0.19861294,-1.0044479,-0.22588524,True,0.19213784,train,tensor([False]),0.96739835
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.2960935,-1.3327432,0.089705385,-1.5085657,-1.1569207,True,0.036649704,train,tensor([False]),0.40855634
CH3Ir40NO81,IrO2,110,amides,Formamide,relaxed,-1.8881103,-1.8855364,0.24693467,-2.3695283,-1.4015445,True,-0.0025738478,train,tensor([False]),-0.010423194
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,-0.48138058,-0.5378336,0.2634695,-1.0542338,-0.021433353,True,0.05645299,train,tensor([True]),0.21426766
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,relaxed,-2.8086011,-2.6476898,0.1851339,-3.0105524,-2.2848272,True,-0.16091132,train,tensor([False]),-0.86916184
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-1.9952747,-1.9892516,0.0969629,-2.1792989,-1.7992043,True,-0.0060230494,train,tensor([False]),-0.06211705
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-0.8572229,-1.858155,0.2995265,-2.445227,-1.2710831,False,1.0009321,train,tensor([False]),3.3417146
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-0.48616594,-0.3511399,0.16395785,-0.6724973,-0.029782504,True,-0.13502604,train,tensor([False]),-0.82354116
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-1.8369945,-1.8205504,0.09391834,-2.0046303,-1.6364706,True,-0.016444087,train,tensor([True]),-0.17508921
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-2.3898268,-2.3339524,0.18515523,-2.6968567,-1.9710481,True,-0.055874348,train,tensor([True]),-0.3017703
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.07488867,-0.14735699,0.07615407,-0.29661897,0.0019049942,True,0.07246832,train,tensor([False]),0.9516014
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,relaxed,-2.4582784,-2.5079656,0.20916094,-2.917921,-2.09801,True,0.049687147,train,tensor([False]),0.23755462
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-0.834536,-0.8567163,0.15226206,-1.1551499,-0.5582826,True,0.02218026,train,tensor([False]),0.1456716
CH3NO81Ru40,RuO2,110,amides,Formamide,relaxed,-0.37608618,-0.34269822,0.06013135,-0.46055567,-0.22484076,True,-0.03338796,train,tensor([False]),-0.55525047
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-1.8185169,-1.6578099,0.22794783,-2.1045876,-1.2110322,True,-0.160707,train,tensor([False]),-0.70501655
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,relaxed,-0.31749567,-0.3527056,0.05011401,-0.45092905,-0.25448215,True,0.035209924,train,tensor([False]),0.7025964
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.2853451,-1.3488256,0.2311953,-1.8019683,-0.8956828,True,0.0634805,train,tensor([False]),0.2745752
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-2.185714,-1.8736632,0.22325252,-2.311238,-1.4360882,True,-0.31205082,train,tensor([True]),-1.3977482
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,relaxed,-2.0180874,-1.969345,0.097174786,-2.1598077,-1.7788824,True,-0.048742414,train,tensor([False]),-0.50159526
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,relaxed,-0.10763506,-0.5024478,0.20354186,-0.90138984,-0.10350573,True,0.39481273,train,tensor([False]),1.9397128
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.6849369,-1.6660291,0.13389371,-1.9284608,-1.4035974,True,-0.018907785,train,tensor([False]),-0.14121489
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-1.0852201,-0.9749421,0.13371655,-1.2370266,-0.7128576,True,-0.11027801,train,tensor([False]),-0.8247147
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.5323403,-0.53068864,0.10500708,-0.7365025,-0.32487476,True,-0.0016516447,train,tensor([False]),-0.015728889
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-1.2258381,-1.2264886,0.18127139,-1.5817806,-0.8711966,True,0.0006505251,train,tensor([False]),0.0035886804
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,relaxed,-2.0904624,-2.2863607,0.27828425,-2.8317978,-1.7409236,True,0.1958983,train,tensor([False]),0.70395035
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.9644679,-2.0539646,0.11236088,-2.2741919,-1.8337373,True,0.08949673,train,tensor([False]),0.7965115
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-2.3588436,-2.4998074,0.08796719,-2.672223,-2.3273916,True,0.1409638,train,tensor([True]),1.6024588
