formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH3NO81Ti40,TiO2,110,amides,Formamide,relaxed,-1.3846625,-1.2691518,0.953658,-3.1383214,0.6000179,True,-0.1155107,train,tensor([False]),-0.12112382
C2H4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-0.20216787,-0.22362697,0.953658,-2.0927968,1.6455427,True,0.021459103,train,tensor([False]),0.022501886
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-1.0213536,-1.1766062,0.953658,-3.045776,0.69256353,True,0.15525258,train,tensor([False]),0.16279691
C2H2O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-0.30061275,-0.53943944,0.953658,-2.4086092,1.3297303,True,0.23882669,train,tensor([False]),0.25043222
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,-1.7681602,-1.814364,0.953658,-3.6835337,0.054805756,True,0.046203732,train,tensor([False]),0.048448954
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.8519329,-1.8042991,0.953658,-3.6734688,0.064870596,True,-0.047633767,train,tensor([False]),-0.04994848
CH4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.17295738,-0.08740294,0.953658,-1.9565727,1.7817668,True,-0.085554436,train,tensor([False]),-0.08971187
CH4O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-1.3233334,-1.3004519,0.953658,-3.1696215,0.56871784,True,-0.022881508,train,tensor([False]),-0.02399341
C3H9NO80Ti40,TiO2,110,amines,Propan-2-amine,relaxed,-1.7524786,-1.630301,0.953658,-3.4994707,0.23886871,True,-0.1221776,train,tensor([False]),-0.1281147
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.9579217,-0.92655385,0.953658,-2.7957234,0.94261587,True,-0.03136784,train,tensor([False]),-0.032892127
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-2.1278255,-2.139318,0.953658,-4.0084877,-0.27014828,True,0.011492491,train,tensor([False]),0.0120509565
CH3NO82Ti40,TiO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.6124732,-1.351841,0.953658,-3.2210107,0.51732874,True,-0.26063228,train,tensor([False]),-0.27329743
C2H5NO81Ti40,TiO2,110,amides,Acetamide,relaxed,-1.5930817,-1.5294011,0.953658,-3.3985708,0.33976865,True,-0.06368065,train,tensor([False]),-0.06677514
C3H7Ir48N,Ir,110,imines,Propan-2-imine,relaxed,-1.5313413,-1.5300697,0.953658,-3.3992395,0.3391,True,-0.0012716055,train,tensor([False]),-0.0013333978
CH4Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.3168821,-1.2764482,0.953658,-3.145618,0.59272146,True,-0.040433884,train,tensor([False]),-0.042398725
C3H9NRu48,Ru,110,amines,Propan-2-amine,relaxed,-1.3362622,-1.2492387,0.953658,-3.1184084,0.619931,True,-0.0870235,train,tensor([False]),-0.09125231
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.2221738,-0.93535924,0.953658,-2.804529,0.9338105,True,-0.28681457,train,tensor([False]),-0.300752
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.47293362,-0.37857556,0.953658,-2.2477453,1.4905941,True,-0.09435806,train,tensor([False]),-0.098943286
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.82214534,-0.91126335,0.953658,-2.7804332,0.95790637,True,0.089118004,train,tensor([False]),0.0934486
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,-0.27665544,-0.27233398,0.953658,-2.1415038,1.5968357,True,-0.004321456,train,tensor([False]),-0.0045314524
C2H5Ir40NO81,IrO2,110,amides,Acetamide,relaxed,-2.1335754,-2.2484617,0.953658,-4.1176314,-0.379292,True,0.114886284,train,tensor([False]),0.12046906
C3H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.0582725,-1.1236125,0.953658,-2.992782,0.7455572,True,0.06534004,train,tensor([False]),0.068515174
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.8146092,-1.629369,0.953658,-3.4985387,0.23980069,True,-0.18524015,train,tensor([False]),-0.1942417
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.6977403,-1.7973365,0.953658,-3.6665063,0.07183325,True,0.09959614,train,tensor([False]),0.10443591
C3H6O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-1.0978463,-0.89084935,0.953658,-2.760019,0.97832036,True,-0.20699692,train,tensor([False]),-0.21705572
C3H8ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.71359706,-0.6695741,0.953658,-2.5387437,1.1995957,True,-0.044022977,train,tensor([False]),-0.04616223
C2H7Ir48N,Ir,110,amines,Ethanamine,relaxed,-1.4377165,-1.4860404,0.953658,-3.35521,0.38312936,True,0.04832387,train,tensor([False]),0.050672118
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,relaxed,-1.511021,-1.5306658,0.953658,-3.3998356,0.33850396,True,0.019644737,train,tensor([False]),0.020599352
