formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH4N2Ru48,Ru,110,amidines,Formimidamide,relaxed,-1.5427114,-1.5383687,1.2856046,-4.058154,0.98141646,True,-0.004342675,train,tensor([False]),-0.0033779244
C2H6Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.5641344,-1.2823501,1.2856046,-3.8021352,1.2374351,True,-0.2817843,train,tensor([False]),-0.21918426
C2H5NTi48,Ti,110,imines,Ethanimine,relaxed,-3.3971364,-3.4921863,1.2856046,-6.0119715,-0.97240114,True,0.09504986,train,tensor([False]),0.073933974
CH3NTi48,Ti,110,imines,Methanimine,relaxed,-4.4906945,-4.4776425,1.2856046,-6.997428,-1.9578574,True,-0.013051987,train,tensor([False]),-0.010152412
CH2Ir48O3,Ir,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.58314246,-0.38961148,1.2856046,-2.9093966,2.1301737,True,-0.19353098,train,tensor([False]),-0.15053694
CH3NORu48,Ru,110,amides,Formamide,relaxed,-0.59760046,-0.95715225,1.2856046,-3.4769373,1.5626329,True,0.3595518,train,tensor([False]),0.27967525
C2H5Ir48NO,Ir,110,amides,Acetamide,relaxed,-0.859727,-0.9927675,1.2856046,-3.5125527,1.5270176,True,0.13304049,train,tensor([False]),0.103484765
C3H8ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.71359706,-0.6272036,1.2856046,-3.1469889,1.8925816,True,-0.086393476,train,tensor([False]),-0.06720066
C2H5NORu48,Ru,110,amides,Acetamide,relaxed,-0.91635627,-0.98230577,1.2856046,-3.502091,1.5374794,True,0.0659495,train,tensor([False]),0.051298432
C2H5NRu48,Ru,110,imines,N-methylmethanimine,relaxed,-1.2120625,-1.393648,1.2856046,-3.913433,1.1261371,True,0.18158555,train,tensor([False]),0.14124526
C3H9NTi48,Ti,110,amines,Propan-2-amine,relaxed,-2.5160306,-2.339562,1.2856046,-4.8593473,0.18022323,True,-0.17646861,train,tensor([False]),-0.13726507
C3H7NRu48,Ru,110,imines,Propan-2-imine,relaxed,-1.4004552,-1.2058349,1.2856046,-3.72562,1.3139503,True,-0.19462037,train,tensor([False]),-0.15138431
C2H2Ti48,Ti,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-5.9615245,-6.0306306,1.2856046,-8.550416,-3.5108454,True,0.0691061,train,tensor([False]),0.053753775
CH3Ir48N,Ir,110,imines,Methanimine,relaxed,-1.11077,-1.2947962,1.2856046,-3.8145814,1.2249889,True,0.18402624,train,tensor([False]),0.14314373
C3H7Ir48N,Ir,110,imines,Propan-2-imine,relaxed,-1.5313413,-1.2346721,1.2856046,-3.7544572,1.2851131,True,-0.29666924,train,tensor([False]),-0.23076244
C3H6ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.20011741,-0.6422026,1.2856046,-3.1619878,1.8775826,True,0.4420852,train,tensor([False]),0.34387338
C3H4Ti48,Ti,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-5.787326,-5.1064014,1.2856046,-7.6261864,-2.5866163,True,-0.6809244,train,tensor([False]),-0.5296531
C3H6OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.4158722,-1.8457521,1.2856046,-4.365537,0.67403305,True,0.4298799,train,tensor([False]),0.33437955
CH4Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.1855818,-1.2926345,1.2856046,-3.8124197,1.2271507,True,0.107052684,train,tensor([False]),0.083270304
C2H2Ru48,Ru,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-3.1617897,-2.7767484,1.2856046,-5.2965336,-0.25696325,True,-0.38504124,train,tensor([False]),-0.29950207
C2H6Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.26644704,-0.33892453,1.2856046,-2.8587098,2.1808605,True,0.07247749,train,tensor([False]),0.05637619
CH4STi48,Ti,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-2.057121,-2.38508,1.2856046,-4.9048653,0.13470507,True,0.32795906,train,tensor([False]),0.25510103
C2H5NRu48,Ru,110,imines,Ethanimine,relaxed,-1.6277113,-1.295013,1.2856046,-3.814798,1.2247722,True,-0.33269835,train,tensor([False]),-0.25878745
C2H7NTi48,Ti,110,amines,Ethanamine,relaxed,-2.4840844,-2.4198232,1.2856046,-4.9396086,0.099961996,True,-0.0642612,train,tensor([False]),-0.049985196
C3H8Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.5975736,-1.4516746,1.2856046,-3.9714599,1.0681106,True,-0.14589906,train,tensor([False]),-0.11348673
CH2Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-3.2076404,-3.473744,1.2856046,-5.9935293,-0.95395875,True,0.2661035,train,tensor([False]),0.20698705
CH4Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.3168821,-1.2017328,1.2856046,-3.721518,1.3180524,True,-0.11514938,train,tensor([False]),-0.08956827
C3H9Ir48N,Ir,110,amines,Trimethylamine,relaxed,-1.3505346,-1.2944089,1.2856046,-3.8141942,1.2253762,True,-0.05612564,train,tensor([False]),-0.043657
C2H6Ti48,Ti,110,alkanes_alkenes_alkynes,Ethane,relaxed,-1.4568344,-2.1738143,1.2856046,-4.6935997,0.34597087,True,0.71697986,train,tensor([False]),0.5576986
C3H9NTi48,Ti,110,amines,Trimethylamine,relaxed,-2.389497,-2.4430492,1.2856046,-4.9628344,0.07673597,True,0.05355215,train,tensor([False]),0.041655228
C2H5Ir48N,Ir,110,imines,Ethanimine,relaxed,-1.6094377,-1.287521,1.2856046,-3.8073063,1.2322642,True,-0.3219167,train,tensor([False]),-0.25040102
C2H6Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.2489325,-1.1016748,1.2856046,-3.62146,1.4181104,True,-0.14725769,train,tensor([False]),-0.11454353
C3H8Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.3738537,-1.3436253,1.2856046,-3.8634105,1.1761599,True,-0.030228376,train,tensor([False]),-0.023512965
C2H4ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-1.0088577,-1.1089282,1.2856046,-3.6287134,1.410857,True,0.10007048,train,tensor([False]),0.07783923
C2H5NOTi48,Ti,110,amides,Acetamide,relaxed,-2.633501,-2.2302155,1.2856046,-4.750001,0.28956962,True,-0.4032855,train,tensor([False]),-0.31369326
C3H9NRu48,Ru,110,amines,Trimethylamine,relaxed,-1.2025337,-1.2564827,1.2856046,-3.776268,1.2633024,True,0.053949,train,tensor([False]),0.041963913
CH5NTi48,Ti,110,amines,Methanamine,relaxed,-2.4686227,-2.4894853,1.2856046,-5.0092707,0.030299902,True,0.02086258,train,tensor([False]),0.016227836
C3H8OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-2.232678,-1.8883736,1.2856046,-4.408159,0.63141155,True,-0.34430432,train,tensor([False]),-0.2678151
CH3NOTi48,Ti,110,amides,Formamide,relaxed,-3.8677008,-4.0613165,1.2856046,-6.5811014,-1.5415313,True,0.19361567,train,tensor([False]),0.15060282
C3H6Ru48,Ru,110,alkanes_alkenes_alkynes,Propylene,relaxed,-1.3349756,-1.6023058,1.2856046,-4.122091,0.9174794,True,0.26733017,train,tensor([False]),0.2079412
C2H4Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-0.8155374,-0.9611437,1.2856046,-3.480929,1.5586414,True,0.14560628,train,tensor([False]),0.11325899
CH3Ir48NO,Ir,110,oximes,Formaldoxime,relaxed,-1.1592082,-0.8219938,1.2856046,-3.341779,1.6977913,True,-0.33721435,train,tensor([False]),-0.2623002
C3H8STi48,Ti,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-2.7720149,-2.83214,1.2856046,-5.351925,-0.3123548,True,0.060125113,train,tensor([False]),0.046767965
C2H4OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-4.5454845,-4.0832567,1.2856046,-6.6030416,-1.5634716,True,-0.46222782,train,tensor([False]),-0.3595412
C2H5Ir48N,Ir,110,imines,N-methylmethanimine,relaxed,-1.3624316,-1.3414202,1.2856046,-3.8612053,1.178365,True,-0.021011472,train,tensor([False]),-0.01634365
C2H6Ir48N2,Ir,110,amidines,Acetimidamide,relaxed,-1.727026,-1.369758,1.2856046,-3.889543,1.1500272,True,-0.35726798,train,tensor([False]),-0.2778988
C2H4Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-3.1336322,-2.8593714,1.2856046,-5.3791566,-0.33958626,True,-0.27426076,train,tensor([False]),-0.21333213
CH2ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-1.2672572,-1.4683031,1.2856046,-3.9880881,1.0514821,True,0.20104587,train,tensor([False]),0.15638235
CH3Ir48NO,Ir,110,amides,Formamide,relaxed,-0.56835675,-0.9847263,1.2856046,-3.5045114,1.5350589,True,0.41636956,train,tensor([False]),0.32387063
C2H6Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.3950748,-1.3128941,1.2856046,-3.8326793,1.2068911,True,-0.08218074,train,tensor([False]),-0.063923806
C3H6Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-2.9218967,-2.5288439,1.2856046,-5.048629,-0.009058714,True,-0.39305282,train,tensor([False]),-0.30573383
C3H9NRu48,Ru,110,amines,Propan-2-amine,relaxed,-1.3362622,-1.0560718,1.2856046,-3.575857,1.4637134,True,-0.28019047,train,tensor([False]),-0.21794452
C3H4Ru48,Ru,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-2.7260337,-2.6040974,1.2856046,-5.1238823,-0.0843122,True,-0.12193632,train,tensor([False]),-0.094847456
CH2O3Ti48,Ti,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-2.3812034,-1.682153,1.2856046,-4.201938,0.8376322,True,-0.6990504,train,tensor([False]),-0.54375225
C2H6Ir48,Ir,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.22837415,-0.9603539,1.2856046,-3.480139,1.5594313,True,0.7319797,train,tensor([False]),0.56936616
CH3NRu48,Ru,110,imines,Methanimine,relaxed,-1.7770376,-1.8522874,1.2856046,-4.3720727,0.66749775,True,0.07524979,train,tensor([False]),0.05853261
C2H6STi48,Ti,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-2.6862884,-2.925972,1.2856046,-5.445757,-0.40618682,True,0.23968363,train,tensor([False]),0.1864365
C2H4Ti48,Ti,110,alkanes_alkenes_alkynes,Ethene,relaxed,-3.4490347,-4.094041,1.2856046,-6.613826,-1.5742557,True,0.6450062,train,tensor([False]),0.5017143
CH3NO2Ru48,Ru,110,carbamate-esters,Carbamic-acid,relaxed,-0.46577042,-0.6401807,1.2856046,-3.159966,1.8796045,True,0.17441028,train,tensor([False]),0.13566402
CH5NRu48,Ru,110,amines,Methanamine,relaxed,-1.261062,-1.3377101,1.2856046,-3.8574953,1.182075,True,0.076648116,train,tensor([False]),0.059620287
CH2O2Ru48,Ru,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-0.30379885,-0.43741655,1.2856046,-2.9572017,2.0823686,True,0.1336177,train,tensor([False]),0.103933744
C2H7Ir48N,Ir,110,amines,Ethanamine,relaxed,-1.4377165,-1.2183759,1.2856046,-3.738161,1.3014092,True,-0.21934056,train,tensor([False]),-0.17061277
C2H6OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-2.2113526,-1.8863295,1.2856046,-4.4061146,0.63345563,True,-0.32502306,train,tensor([False]),-0.25281727
C2H6OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-1.450871,-1.53224,1.2856046,-4.0520253,0.98754513,True,0.08136904,train,tensor([False]),0.06329244
C3H8Ir48,Ir,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.37916887,-0.9282605,1.2856046,-3.4480457,1.5915246,True,0.54909164,train,tensor([False]),0.42710772
CH2Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-3.3062916,-3.2582183,1.2856046,-5.7780037,-0.7384331,True,-0.04807329,train,tensor([False]),-0.03739353
C2H4Ru48S,Ru,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-3.0178835,-3.0819502,1.2856046,-5.601735,-0.562165,True,0.06406665,train,tensor([False]),0.049833868
CH2O2Ti48,Ti,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-1.8650283,-1.7443105,1.2856046,-4.264096,0.77547467,True,-0.120717764,train,tensor([False]),-0.09389961
C2H4Ir48,Ir,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.2180877,-0.9311583,1.2856046,-3.4509435,1.5886269,True,-0.28692937,train,tensor([False]),-0.22318633
CH2Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-0.9446554,-0.92676306,1.2856046,-3.4465482,1.5930221,True,-0.01789236,train,tensor([False]),-0.013917468
CH4N2Ti48,Ti,110,amidines,Formimidamide,relaxed,-4.4142056,-4.494894,1.2856046,-7.014679,-1.9751089,True,0.08068848,train,tensor([False]),0.06276306
CH3Ir48NO2,Ir,110,carbamate-esters,Carbamic-acid,relaxed,-0.3807109,-0.6907779,1.2856046,-3.2105632,1.8290073,True,0.310067,train,tensor([False]),0.2411838
CH2OTi48,Ti,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-4.834045,-4.4085,1.2856046,-6.9282856,-1.888715,True,-0.42554474,train,tensor([False]),-0.33100748
C3H8Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.6821611,-0.68619645,1.2856046,-3.2059817,1.8335887,True,0.0040353537,train,tensor([False]),0.0031388763
C2H6N2Ti48,Ti,110,amidines,Acetimidamide,relaxed,-2.905591,-2.6613586,1.2856046,-5.1811438,-0.14157343,True,-0.24423242,train,tensor([False]),-0.18997476
C3H6Ti48,Ti,110,alkanes_alkenes_alkynes,Propylene,relaxed,-2.6520338,-3.2662823,1.2856046,-5.7860675,-0.74649715,True,0.6142485,train,tensor([False]),0.4777896
C2H6ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.68941617,-0.55737674,1.2856046,-3.0771618,1.9624084,True,-0.13203943,train,tensor([False]),-0.1027061
C2H6Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.6590899,-0.6163789,1.2856046,-3.1361642,1.9034063,True,-0.04271102,train,tensor([False]),-0.033222515
C2H4Ru48,Ru,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.2128929,-0.88575757,1.2856046,-3.4055429,1.6340276,True,-0.32713532,train,tensor([False]),-0.2544603
CH3NO2Ti48,Ti,110,carbamate-esters,Carbamic-acid,relaxed,-2.1627026,-1.9299154,1.2856046,-4.4497004,0.58986974,True,-0.23278713,train,tensor([False]),-0.1810721
CH2Ir48O2,Ir,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-0.24098322,-0.48698902,1.2856046,-3.0067742,2.0327961,True,0.2460058,train,tensor([False]),0.19135417
C2H2Ir48,Ir,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-1.1731006,-1.4735754,1.2856046,-3.9933605,1.0462098,True,0.30047476,train,tensor([False]),0.23372254
C3H9Ir48N,Ir,110,amines,Propan-2-amine,relaxed,-1.4969991,-1.0995264,1.2856046,-3.6193116,1.4202588,True,-0.39747274,train,tensor([False]),-0.30917186
C2H6ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.2226018,-0.23644912,1.2856046,-2.7562342,2.2833362,True,0.013847321,train,tensor([False]),0.010771058
C3H6Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.25421512,-0.40515792,1.2856046,-2.924943,2.1146274,True,0.1509428,train,tensor([False]),0.117409974
C2H4STi48,Ti,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-4.519425,-4.4690294,1.2856046,-6.9888144,-1.9492443,True,-0.05039549,train,tensor([False]),-0.039199837
C3H8Ti48,Ti,110,alkanes_alkenes_alkynes,Propane,relaxed,-1.4060918,-2.1483612,1.2856046,-4.668146,0.37142396,True,0.7422694,train,tensor([False]),0.5773699
CH2STi48,Ti,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-5.100363,-5.0007334,1.2856046,-7.5205183,-2.4809482,True,-0.0996294,val,tensor([False]),-0.07749615
