formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-2.368375,-2.1047163,1.0522364,-4.1671,-0.042332888,True,-0.26365876,train,tensor([False]),-0.25056988
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-3.1487274,-3.185023,1.0522364,-5.2474065,-1.1226397,True,0.036295652,train,tensor([True]),0.03449382
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,relaxed,-0.46863225,-0.8287844,1.0522364,-2.8911679,1.233599,True,0.36015216,train,tensor([False]),0.34227303
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,relaxed,-0.39442882,-0.004780531,1.0522364,-2.067164,2.057603,True,-0.3896483,train,tensor([False]),-0.37030488
CH3Ir40NO81,IrO2,110,amides,Formamide,relaxed,-3.6285455,-3.735504,1.0522364,-5.7978873,-1.6731205,True,0.10695839,train,tensor([True]),0.10164863
CH5NRu48,Ru,110,amines,Methanamine,relaxed,-1.261062,-1.1562183,1.0522364,-3.2186017,0.9061651,True,-0.104843736,train,tensor([False]),-0.099638954
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-0.7456896,-0.60302603,1.0522364,-2.6654096,1.4593574,True,-0.14266354,train,tensor([False]),-0.13558125
C2H5Ir40NO81,IrO2,110,amides,Acetamide,relaxed,-1.9378561,-2.0324845,1.0522364,-4.0948677,0.029898882,True,0.09462845,train,tensor([False]),0.08993079
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-2.502474,-2.4726999,1.0522364,-4.5350833,-0.41031647,True,-0.029774189,train,tensor([False]),-0.028296102
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-3.233587,-2.668518,1.0522364,-4.7309017,-0.60613465,True,-0.56506896,train,tensor([False]),-0.5370171
C2H4Ru48,Ru,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.2128929,-1.1901822,1.0522364,-3.2525656,0.8722012,True,-0.022710681,train,tensor([False]),-0.02158325
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-0.47413638,-0.05240512,1.0522364,-2.1147885,2.0099783,True,-0.42173126,train,tensor([False]),-0.40079516
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-2.405078,-2.3943129,1.0522364,-4.4566965,-0.33192945,True,-0.010765076,train,tensor([True]),-0.010230662
C3H9Ir48N,Ir,110,amines,Trimethylamine,relaxed,-1.3505346,-1.4081452,1.0522364,-3.4705286,0.6542382,True,0.05761063,train,tensor([False]),0.05475065
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-1.4896246,-1.295239,1.0522364,-3.3576224,0.76714444,True,-0.19438565,train,tensor([False]),-0.18473572
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-0.16172493,-0.4726652,1.0522364,-2.5350485,1.5897182,True,0.31094027,train,tensor([False]),0.29550418
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,-2.711072,-2.5538716,1.0522364,-4.616255,-0.49148822,True,-0.15720034,train,tensor([False]),-0.1493964
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,relaxed,-3.0559773,-2.8640616,1.0522364,-4.926445,-0.8016782,True,-0.19191575,train,tensor([True]),-0.18238842
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-2.9085112,-2.783956,1.0522364,-4.846339,-0.72157264,True,-0.12455511,train,tensor([False]),-0.11837179
CH4Ir48N2,Ir,110,amidines,Formimidamide,relaxed,-0.81339145,-1.6038004,1.0522364,-3.666184,0.458583,True,0.79040897,train,tensor([False]),0.7511705
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,-1.079941,-1.1465259,1.0522364,-3.2089093,0.91585755,True,0.066584826,train,tensor([False]),0.06327934
C2H5Ir40NO81,IrO2,110,amides,Acetamide,relaxed,-3.7250907,-3.6661522,1.0522364,-5.7285357,-1.6037688,True,-0.058938503,train,tensor([True]),-0.056012604
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-2.8780565,-2.8251781,1.0522364,-4.887562,-0.76279473,True,-0.05287838,train,tensor([False]),-0.050253324
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,relaxed,-2.998858,-2.6566901,1.0522364,-4.7190733,-0.5943067,True,-0.34216785,train,tensor([False]),-0.32518154
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.6451003,-0.59255767,1.0522364,-2.654941,1.4698257,True,-0.052542627,train,tensor([False]),-0.04993424
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.0674193,-1.1833742,1.0522364,-3.2457576,0.87900925,True,0.115954876,train,tensor([False]),0.1101985
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.1545284,-0.3820603,1.0522364,-2.4444437,1.6803231,True,0.2275319,train,tensor([False]),0.21623647
