formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.7551279,-1.6907109,0.8174602,-3.292933,-0.08848894,True,-0.064417005,train,tensor([False]),-0.0788014
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.6405176,-1.742672,0.8174602,-3.344894,-0.14045,True,0.102154374,train,tensor([False]),0.12496556
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-1.7018833,-1.6480961,0.8174602,-3.250318,-0.04587412,True,-0.05378723,train,tensor([False]),-0.065797985
C3H8O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.4845147,-1.473303,0.8174602,-3.0755248,0.128919,True,-0.011211753,train,tensor([False]),-0.01371535
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.6903308,-0.8190193,0.8174602,-2.4212413,0.78320265,True,0.12868851,train,tensor([False]),0.15742481
C2H6Ru48,Ru,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.19796436,-0.23219961,0.8174602,-1.8344216,1.3700223,True,0.034235254,train,tensor([False]),0.041880026
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.1878296,-1.2327464,0.8174602,-2.8349683,0.3694756,True,0.04491675,train,tensor([False]),0.054946713
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.65939784,-0.63859975,0.8174602,-2.2408218,0.9636222,True,-0.020798087,train,tensor([False]),-0.025442325
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.4639634,-1.3806436,0.8174602,-2.9828656,0.22157836,True,-0.08331978,train,tensor([False]),-0.10192519
C3H4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.3166767,-0.2931111,0.8174602,-1.895333,1.3091109,True,-0.02356562,train,tensor([False]),-0.028827852
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,relaxed,-2.0831358,-1.9508216,0.8174602,-3.5530436,-0.34859967,True,-0.1323142,train,tensor([False]),-0.16186012
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,relaxed,-0.64916146,-0.60650474,0.8174602,-2.2087266,0.9957172,True,-0.04265672,train,tensor([False]),-0.052182015
CH4O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.16402842,-0.108017445,0.8174602,-1.7102394,1.4942045,True,-0.056010976,train,tensor([False]),-0.068518296
C3H6O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-1.04476,-0.92124426,0.8174602,-2.523466,0.6809777,True,-0.123515725,train,tensor([False]),-0.15109693
C3H6Ir48O,Ir,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.25421512,-0.23452926,0.8174602,-1.8367512,1.3676927,True,-0.019685864,train,tensor([False]),-0.02408174
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-1.216687,-1.1995242,0.8174602,-2.8017461,0.4026978,True,-0.0171628,train,tensor([False]),-0.020995272
C3H8O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.27220386,-0.25168133,0.8174602,-1.8539033,1.3505406,True,-0.020522535,train,tensor([False]),-0.025105242
CH5NO80Ti40,TiO2,110,amines,Methanamine,relaxed,-1.6412272,-1.4605026,0.8174602,-3.0627246,0.14171934,True,-0.18072462,train,tensor([False]),-0.22108065
C2H5NO80Ti40,TiO2,110,imines,N-methylmethanimine,relaxed,-1.4119256,-1.4409351,0.8174602,-3.043157,0.16128683,True,0.02900958,train,tensor([False]),0.035487454
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-0.38210133,-0.51064014,0.8174602,-2.112862,1.0915818,True,0.12853882,train,tensor([False]),0.15724169
C2H6O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.23364024,-0.33242548,0.8174602,-1.9346474,1.2697965,True,0.09878524,train,tensor([False]),0.120844096
C2H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.2691496,-0.3524323,0.8174602,-1.9546542,1.2497897,True,0.08328271,train,tensor([False]),0.101879835
C3H8O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-0.34739208,-0.37469882,0.8174602,-1.9769208,1.2275231,True,0.027306736,train,tensor([False]),0.03340436
