formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-2.1267092,-2.0986185,0.9731022,-4.005899,-0.19133818,True,-0.028090715,train,tensor([False]),-0.02886718
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,relaxed,-2.2025943,-2.1578183,0.9731022,-4.065099,-0.250538,True,-0.044775963,train,tensor([False]),-0.046013627
C2H5Ir40NO81,IrO2,110,amides,Acetamide,relaxed,-2.6905153,-2.8239045,0.9731022,-4.731185,-0.9166242,True,0.13338923,train,tensor([False]),0.13707629
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-0.18968032,-0.4118774,0.9731022,-2.3191576,1.4954029,True,0.22219707,train,tensor([False]),0.22833888
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-1.4896246,-1.2659515,0.9731022,-3.1732318,0.6413288,True,-0.2236731,train,tensor([False]),-0.22985572
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-1.9233979,-2.0944405,0.9731022,-4.001721,-0.18716013,True,0.17104256,train,tensor([True]),0.1757704
CH5Ir40NO80,IrO2,110,amines,Methanamine,relaxed,-1.385776,-1.2883134,0.9731022,-3.1955938,0.61896694,True,-0.097462654,train,tensor([False]),-0.10015665
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-0.38897124,-0.5280251,0.9731022,-2.4353054,1.3792553,True,0.13905385,train,tensor([False]),0.14289747
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,relaxed,-1.1271307,-1.1297413,0.9731022,-3.0370216,0.777539,True,0.0026105642,train,tensor([False]),0.0026827236
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.18295628,-0.25230384,0.9731022,-2.159584,1.6549765,True,0.06934756,train,tensor([False]),0.071264416
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-2.4760804,-2.742844,0.9731022,-4.6501245,-0.8355638,True,0.2667637,train,tensor([True]),0.27413738
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,relaxed,-2.4112225,-2.3457086,0.9731022,-4.252989,-0.43842828,True,-0.06551385,train,tensor([False]),-0.067324735
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-2.390627,-2.147225,0.9731022,-4.0545053,-0.23994458,True,-0.243402,train,tensor([False]),-0.25012994
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-1.9985453,-2.046339,0.9731022,-3.9536195,-0.13905871,True,0.047793746,train,tensor([False]),0.049114827
