System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-1.0412264204437633,-0.2066904044563671,0.2066904044563671
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.4307074217749687,-0.019484963889226492,0.019484963889226492
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.8306490380509786,-0.7081800896867207,0.7081800896867207
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.7703669506263395,0.10606719673160114,0.10606719673160114
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.7845566053692892,-0.09961972430392052,0.09961972430392052
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.4308122885827288,-0.2478560102586016,0.2478560102586016
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-2.0156238405234035,-0.16285696907107194,0.16285696907107194
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.3614485423083806,0.41881547765774485,0.41881547765774485
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.5224647478562474,0.0006783051985621569,0.0006783051985621569
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.0985475736542867,-0.4649776774331258,0.4649776774331258
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-2.11070876039048,0.017674399246971007,0.017674399246971007
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.4566979722931137,0.02512973380544281,0.02512973380544281
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.5747159917929139,0.013799647512200863,0.013799647512200863
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.8575388118570118,0.20222605020353512,0.20222605020353512
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-2.010018377914548,-0.14185348094952133,0.14185348094952133
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.145012429662529,-0.01830320686894993,0.01830320686894993
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.5541726569281309,0.031159677113464568,0.031159677113464568
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.4431189131719293,-0.38714156865898985,0.38714156865898985
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.5855782984144753,0.039824390565627255,0.039824390565627255
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.849775631482771,-0.37910302406089613,0.37910302406089613
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.9458439549784998,-0.4579757055621485,0.4579757055621485
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.63055876137787,0.08051320670074347,0.08051320670074347
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.3881172670326123,0.0837143229045978,0.0837143229045978
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.4076696324739686,0.008701951464630042,0.008701951464630042
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.428862614963691,0.34852881875212915,0.34852881875212915
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-0.7316574613769262,-0.24256913468434504,0.24256913468434504
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-0.949206889082916,1.39186924655246,1.39186924655246
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.39385547426536505,-0.07061444905593817,0.07061444905593817
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-2.7947674162605836,0.03634520695413812,0.03634520695413812
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-0.641076277971024,0.6381919867994839,0.6381919867994839
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.9233978986740112,-2.342852896097611,-0.4194549974235997,0.4194549974235997
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.1561923027038574,-2.6217548342292503,-0.46556253152539284,0.46556253152539284
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-1.0186160280527474,-0.5968962385477425,0.5968962385477425
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-1.9135647362445525,-1.53146340906369,1.53146340906369
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742330551147,-0.963685874864268,0.0598883581908467,0.0598883581908467
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-2.0178627967834473,-1.03986444734619,0.9779983494372573,0.9779983494372573
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.5634293556213379,-0.7871470039053747,-0.22371764828403684,0.22371764828403684
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.25239330530166626,-0.49825318571538446,-0.2458598804137182,0.2458598804137182
