formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.8973095,0.106411934,0.050067898,-2.9954426,-2.7991765,False,2.1253526
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.2377529,-0.8958225,0.37501532,-1.972783,-0.50272286,False,-2.3887625
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-2.363892,-0.3773873,0.9195232,-4.1661577,-0.56162655,True,-0.41041628
C2H5N,None,None,imines,Ethanimine,0.0,0.013183236,-0.013183236,0.014979593,-0.016176768,0.04254324,True,-0.8800797
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.1455779,-0.9339018,1.355475,-3.8023088,1.511153,True,-0.68898493
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.57835984,0.39086312,0.25523123,-1.078613,-0.07810664,True,1.5314078
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.6963077,0.86759233,0.5638974,-3.8015466,-1.5910687,True,1.5385642
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.8645089,0.5551698,0.1372542,-2.133527,-1.5954907,False,4.0448294
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.94584394,-1.2398701,1.1129707,-3.1272666,1.2355788,True,-1.1140186
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.7361277,-1.6015977,0.32025176,-2.3638213,-1.1084342,False,-5.001058
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.7306715,0.20597267,0.48902076,-1.6891522,0.22780919,True,0.42119414
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.6187263,0.23013026,0.39449385,-1.3919343,0.15448165,True,0.5833557
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.787147,0.71225834,1.083355,-2.9105227,1.3362286,True,0.6574561
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-0.9584428,0.118961036,0.1333142,-1.2197387,-0.69714695,True,0.8923358
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.8661018,0.6081326,1.5582328,-3.920238,2.1880345,True,0.3902707
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.9134159,-0.19412875,0.49412662,-2.8819041,-0.9449277,True,-0.39287248
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.3299627,0.14213312,0.13471174,-1.5939977,-1.0659277,True,1.0550908
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-1.0769496,0.05715871,0.22054334,-1.5092145,-0.6446847,True,0.25917223
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.5760655,0.0015311241,0.03562072,-2.6458821,-2.506249,True,0.042984087
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.29348993,0.10378285,0.074804805,-0.44010735,-0.1468725,True,1.3873821
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.3275377,-0.048830032,0.036720164,-1.3995092,-1.2555661,True,-1.329788
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.983233,-0.23263288,0.10090875,-3.181014,-2.785452,False,-2.3053787
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.3424469,-0.3547355,0.49715364,-2.316868,-0.36802578,True,-0.7135329
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.40892524,0.29465288,0.20549065,-0.8116869,-0.0061635673,True,1.4338992
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-1.1509918,1.015636,0.10145102,-1.3498358,-0.9521478,False,10.011097
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.7432977,-0.03985405,0.4094736,-2.545866,-0.94072944,True,-0.09732996
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.4181488,-0.5209549,0.10280612,0.313135,-1.1346996,0.09278971,True,0.32831246
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9872928,-1.9128525,-0.07444024,0.49344665,-2.880008,-0.94569707,True,-0.15085773
C2H2,None,None,alkanes_alkenes_alkynes,Acetylene,0.0,-0.0013223886,0.0013223886,0.01697435,-0.034592114,0.031947337,True,0.07790511
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-0.6898271,0.4244373,0.8132124,-2.2837234,0.9040692,True,0.52192676
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.79394776,-0.6747514,-0.119196355,0.23532522,-1.1359888,-0.21351397,True,-0.5065176
