System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.5412219762802124,-1.6200048466101884,-0.078782870329976,0.078782870329976
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-0.7505096011802088,-0.01329968506540169,0.01329968506540169
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-1.0799410343170166,-1.5455800980293564,-0.46563906371233976,0.46563906371233976
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.389265775680542,-2.548987640233385,0.8402781354471571,0.8402781354471571
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-3.382554769515991,-2.3168805234618297,1.0656742460541615,1.0656742460541615
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-2.296303406764629,-1.7109710727230336,1.7109710727230336
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.171462893486023,-1.2725964804098666,-0.10113358692384367,0.10113358692384367
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-1.7424981594085693,-1.7894822311884546,-0.046984071779885284,0.046984071779885284
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.6491614580154419,-0.6914825451018771,-0.04232108708643523,0.04232108708643523
CH5Ir40NO80,IrO2,110,amines,Methanamine,-0.4044719338417053,-1.8094067897449602,-1.4049348559032548,1.4049348559032548
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.814609169960022,-1.7703612370908086,0.04424793286921336,0.04424793286921336
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.46182873845100403,-0.4207368744378428,0.04109186401316123,0.04109186401316123
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.430299758911133,-1.4017024852588413,1.0285972736522915,1.0285972736522915
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1353410482406616,-1.177179769381052,-0.041838721140390334,0.041838721140390334
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.33643868565559387,-0.6064051102246708,-0.26996642456907693,0.26996642456907693
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2516264915466309,-1.2725964804098666,-0.020969988863235756,0.020969988863235756
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.1002957820892334,-2.3685286171570183,-0.26823283506778495,0.26823283506778495
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-2.8115540068344984,0.8138486821456041,0.8138486821456041
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.559349536895752,-1.2143302733117167,0.34501926358403523,0.34501926358403523
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.144754648208618,-1.865728595900972,0.2790260523076462,0.2790260523076462
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.8651270866394043,-2.572456245247473,0.29267084139193145,0.29267084139193145
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-1.0213536024093628,-0.9285184928037751,0.09283510960558772,0.09283510960558772
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.18571400642395,-1.8041274679336254,0.38158653849032476,0.38158653849032476
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-2.1278254985809326,-2.3725141570371235,-0.24468865845619092,0.24468865845619092
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444289207458,-0.6183324517363786,0.11461197718436722,0.11461197718436722
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.0852200984954834,-1.0708871075484439,0.014332990947039548,0.014332990947039548
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-0.43442288041114807,-0.9313483113311136,-0.49692543091996555,0.49692543091996555
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.18571400642395,-2.39875959590551,-0.21304558948155972,0.21304558948155972
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1888020038604736,-1.8858775199672841,0.3029244838931895,0.3029244838931895
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-0.4940979778766632,-0.9651510578996287,-0.47105308002296553,0.47105308002296553
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.404695510864258,-2.5389888861969645,-0.1342933753327067,0.1342933753327067
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-0.3210182785987854,-0.7150611615917413,-0.39404288299295587,0.39404288299295587
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.6491614580154419,-0.6915929935646474,-0.042431535549205535,0.042431535549205535
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-4.457948684692383,-4.34392581151711,0.11402287317527282,0.11402287317527282
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-0.6818129420280457,-0.5964847407303253,0.08532820129772034,0.08532820129772034
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.459267497062683,-1.31802685003548,0.14124064702720318,0.14124064702720318
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-2.0178627967834473,-1.3727089717427088,0.6451538250407385,0.6451538250407385
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.5049252510070801,-1.1097309907047972,-0.6048057396977171,0.6048057396977171
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.0852200984954834,-1.0708871075484439,0.014332990947039548,0.014332990947039548
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-1.8671473834242143,-1.4850460562433518,1.4850460562433518
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.222173810005188,-1.4318397302970887,-0.20966592029190068,0.20966592029190068
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.908511161804199,-2.845944227793268,0.06256693401093116,0.06256693401093116
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.5285320281982422,-0.567207376849808,-0.038675348651565855,0.038675348651565855
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.9579216837882996,-0.7161445615969768,0.24177712219132275,0.24177712219132275
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-2.018087387084961,-1.7491950346138125,0.2688923524711484,0.2688923524711484
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.42494910955429077,-0.4016354081964977,0.023313701357793093,0.023313701357793093
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-0.3174956738948822,-0.36225741768654984,-0.04476174379166764,0.04476174379166764
CH3NO80Ru40,RuO2,110,imines,Methanimine,-1.9711624383926392,-1.9743147293489791,-0.0031522909563399537,0.0031522909563399537
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.058440089225769,-1.2206503069612964,-0.16221021773552735,0.16221021773552735
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.502474069595337,-2.5548012059567498,-0.05232713636141284,0.05232713636141284
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.7939477562904358,-0.6540218350287432,0.13992592126169257,0.13992592126169257
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.7076367139816284,-1.0455152056813546,0.6621215083002738,0.6621215083002738
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.135925769805908,-1.665902350211602,0.47002341959430627,0.47002341959430627
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.48705950379371643,-0.614015457221214,-0.12695595342749755,0.12695595342749755
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.608808994293213,-2.2369584972714307,0.3718504970217822,0.3718504970217822
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,-2.737873077392578,-2.6810773376550117,0.056795739737566464,0.056795739737566464
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-1.7693181037902832,-1.789624156370647,-0.020306052580363776,0.020306052580363776
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-1.1124134063720703,-0.9050195718169682,0.20739383455510207,0.20739383455510207
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.8748815059661865,-1.5808527493575462,0.29402875660864036,0.29402875660864036
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,-1.9834661483764648,-1.8217459914986502,0.1617201568778146,0.1617201568778146
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.8205997943878174,-0.8907614509252362,-0.07016165653741879,0.07016165653741879
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075446605682373,-1.8657174527326212,0.24182720783561606,0.24182720783561606
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1898257732391357,-1.3651436617182497,-0.175317888479114,0.175317888479114
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.6890608072280884,-0.7427179592044695,-0.0536571519763811,0.0536571519763811
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.32315343618392944,-0.549018339452239,-0.22586490326830955,0.22586490326830955
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8221453428268433,-0.8746422024254379,-0.052496859598594625,0.052496859598594625
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-1.498257040977478,-1.647848701968098,-0.14959166099062005,0.14959166099062005
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.4043467044830322,-1.4728582928856513,-0.06851158840261906,0.06851158840261906
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.3232164680957794,-0.4891350619822532,-0.1659185938864738,0.1659185938864738
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.4896246194839478,-1.5532412311081254,-0.06361661162417764,0.06361661162417764
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.539618194103241,-0.4308582579494953,0.10875993615374568,0.10875993615374568
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.2417114973068237,-1.3481673724761833,-0.10645587516935962,0.10645587516935962
CH3NO81Ru40,RuO2,110,amides,Formamide,-0.40854349732398987,-0.3924160750875103,0.01612742223647956,0.01612742223647956
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-1.5110210180282593,-1.6469999895834253,-0.13597897155516603,0.13597897155516603
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976078033447,-2.8099941817588956,-0.019096573955550866,0.019096573955550866
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.6593978404998779,-0.6240009377776872,0.03539690272219076,0.03539690272219076
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824169158936,-1.3657366530693054,0.3314457638465882,0.3314457638465882
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-3.238874673843384,-3.2557995734463816,-0.01692489960299781,0.01692489960299781
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-1.4860243797302246,-1.1249056918167497,0.3611186879134749,0.3611186879134749
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.959524154663086,-1.0213014285954998,0.9382227260675862,0.9382227260675862
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-3.2335870265960693,-2.4428993790672884,0.790687647528781,0.790687647528781
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-0.37184980511665344,-0.48971341426900494,-0.1178636091523515,0.1178636091523515
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.6417942047119141,-0.632429542920768,0.009364661791146034,0.009364661791146034
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-1.3276252746582031,-1.0124417357826943,0.3151835388755089,0.3151835388755089
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7892000675201416,-2.315310101451619,0.47388996606852274,0.47388996606852274
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.8148880004882812,-1.0213014285954998,0.7935865718927815,0.7935865718927815
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2516264915466309,-1.1238262246944615,0.1278002668521694,0.1278002668521694
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-3.725090742111206,-1.3170876011149382,2.408003140996268,2.408003140996268
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.6331849694252014,-0.5592561799978313,0.07392878942737013,0.07392878942737013
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.492567300796509,-2.2369584972714307,0.2556088035250781,0.2556088035250781
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.392246961593628,-2.535577984214161,-0.14333102262053288,0.14333102262053288
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.5694236755371094,-1.402792003081995,0.16663167245511445,0.16663167245511445
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.474990557708999,-0.15174953249957213,0.15174953249957213
C2H2Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Acetylene,-2.0215625762939453,-1.2749379386595603,0.746624637634385,0.746624637634385
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-1.9548649298499257,0.17184429294365344,0.17184429294365344
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.502474069595337,-2.5548012059567498,-0.05232713636141284,0.05232713636141284
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.103363513946533,-2.0241686636929543,0.07919485025357886,0.07919485025357886
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.539618194103241,-0.6714150098632246,-0.1317968157599836,0.1317968157599836
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.36396321654319763,-2.3172928753141804,-1.9533296587709827,1.9533296587709827
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.217069387435913,-1.3626815404347976,-0.14561215299888453,0.14561215299888453
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5276264548301697,-0.48883758308598857,0.03878887174418111,0.03878887174418111
C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,-1.916296362876892,-1.4317305927953008,0.4845657700815913,0.4845657700815913
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-2.4104888439178467,-2.3983859720255154,0.01210287189233128,0.01210287189233128
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.6325106620788574,-2.6512278485524092,-0.018717186473551806,0.018717186473551806
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-1.1907885074615479,-1.1020342295301617,0.08875427793138613,0.08875427793138613
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.701883316040039,-1.9181799263147745,-0.21629661027473546,0.21629661027473546
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-1.9818201065063477,-2.0069863350831483,-0.02516622857680062,0.02516622857680062
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.1660232543945312,-3.1478576680744936,0.01816558632003762,0.01816558632003762
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.2366387844085693,-1.2112632254699314,1.025375558938638,1.025375558938638
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.0700387954711914,-3.3275978475454906,-0.2575590520742992,0.2575590520742992
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.681627035140991,-2.521413214669053,0.1602138204719381,0.1602138204719381
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.9579795273390115,-0.08981463037398463,0.08981463037398463
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.9465513229370117,-2.153175854857878,-0.20662453192086616,0.20662453192086616
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.987292766571045,-1.8670126548715817,0.12028011169946318,0.12028011169946318
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.6126781105995178,-0.649568063584411,-0.03688995298489317,0.03688995298489317
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.199007272720337,-3.3525522083396737,-0.1535449356193368,0.1535449356193368
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-1.332061767578125,-1.1545307880978584,0.17753097948026664,0.17753097948026664
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.2853450775146484,-1.1931351204463585,0.09220995706828994,0.09220995706828994
