formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,-2.0499542,-1.4902055,-0.55974865,0.28216514,-2.0432491,-0.93716186,False,-1.9837626
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.5034237,-1.932757,0.42933333,0.3080259,-2.5364878,-1.3290262,True,1.3938222
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8161914,-2.7898455,-0.026345968,0.08531736,-2.9570675,-2.6226234,True,-0.30879962
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.4508537,-1.6364383,0.18558455,0.19057329,-2.0099618,-1.2629147,True,0.9738224
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-1.2761489,-2.1081655,0.8320166,0.2246564,-2.548492,-1.6678389,False,3.7035072
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.45996,-1.841245,-0.6187149,1.7566339,-5.2842474,1.6017574,True,-0.3522162
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-2.4760804,-2.0695457,-0.40653467,0.075461164,-2.2174497,-1.9216418,False,-5.3873363
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-3.2658553,-2.7884307,-0.47742462,0.23332517,-3.245748,-2.3311133,False,-2.0461771
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.8117674,-0.88159215,0.069824755,0.021223344,-0.9231899,-0.83999443,False,3.2899978
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.2960935,-1.1110817,-0.18501174,0.057319876,-1.2234287,-0.9987348,False,-3.2277067
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-4.4579487,-4.2950783,-0.1628704,0.005849977,-4.3065443,-4.2836123,False,-27.841204
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-1.8234478,-1.8777132,0.05426538,0.066155456,-2.0073779,-1.7480485,True,0.82027066
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-0.68181294,-1.2415843,0.55977136,0.21812601,-1.6691113,-0.81405735,False,2.5662751
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-2.4066012,-1.3664914,-1.0401098,0.8232172,-2.9799972,0.24701428,True,-1.2634693
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.9528359,-2.2215483,0.2687124,0.33636367,-2.8808212,-1.5622755,True,0.7988746
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-3.00132,-1.7035433,-1.2977766,0.32154942,-2.3337803,-1.0733064,False,-4.03601
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-3.3981006,-2.5737867,-0.8243139,0.873497,-4.285841,-0.8617326,True,-0.943694
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.87643415,-1.1574056,0.28097147,0.16002797,-1.4710604,-0.84375083,True,1.7557648
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.0597649,-2.7697945,-0.2899704,0.053134847,-2.8739388,-2.6656501,False,-5.457255
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.3130302,-1.7478504,-0.5651798,0.29338163,-2.3228784,-1.1728225,True,-1.9264323
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1898258,-1.2586224,0.068796635,0.13523799,-1.5236889,-0.9935559,True,0.5087079
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.2620276,-0.7039628,-0.5580648,0.016919643,-0.7371253,-0.6708003,False,-32.98325
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.8304207,-2.790235,-0.04018569,0.03835123,-2.8654034,-2.7150667,True,-1.0478331
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3747121,-1.1059306,-0.26878154,0.36024654,-1.8120139,-0.39984733,True,-0.7461044
