formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-2.5745344,-2.478914,0.29634354,-3.0597472,-1.8980807,True,-0.095620394,train,tensor([False]),-0.3226674
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,-2.711072,-2.5122273,0.2782136,-3.0575259,-1.9669287,True,-0.19884467,train,tensor([False]),-0.7147195
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.23423661,-0.1950121,0.0762039,-0.34437174,-0.04565245,True,-0.03922452,train,tensor([False]),-0.51473117
CH5NO80Ru40,RuO2,110,amines,Methanamine,relaxed,-2.015036,-1.9132046,0.09993631,-2.1090798,-1.7173294,True,-0.101831555,train,tensor([False]),-1.0189645
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-3.2388747,-3.3756692,0.25511375,-3.8756921,-2.8756464,True,0.13679457,train,tensor([True]),0.53621006
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-1.8486065,-1.2413683,0.22935653,-1.6909071,-0.79182947,False,-0.6072382,train,tensor([False]),-2.647573
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-2.387635,-2.2982605,0.38589245,-3.0546098,-1.5419112,True,-0.08937454,train,tensor([True]),-0.2316048
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-0.38859606,-0.4073615,0.06709637,-0.5388704,-0.27585262,True,0.01876545,train,tensor([False]),0.27967906
CH3NO81Ru40,RuO2,110,amides,Formamide,relaxed,-1.3570019,-1.3033383,0.1320186,-1.5620947,-1.0445819,True,-0.05366361,train,tensor([False]),-0.40648526
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,relaxed,-2.0319412,-1.9818997,0.09044496,-2.1591718,-1.8046277,True,-0.050041437,train,tensor([False]),-0.55328053
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-2.3898268,-2.5299158,0.42216396,-3.3573573,-1.7024744,True,0.14008904,train,tensor([True]),0.3318356
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.9463277,-1.6530247,0.3704829,-2.3791711,-0.9268782,True,-0.293303,train,tensor([False]),-0.7916776
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.7329444,-0.8726164,0.31936964,-1.4985809,-0.24665189,True,0.13967198,train,tensor([False]),0.43733644
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-1.1348468,-0.9487078,0.2953288,-1.5275522,-0.3698634,True,-0.18613899,train,tensor([False]),-0.63027716
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.2417115,-1.19092,0.15654148,-1.4977413,-0.88409865,True,-0.050791502,train,tensor([False]),-0.32446033
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-1.5885156,-1.4242425,0.15346283,-1.7250297,-1.1234553,True,-0.16427314,train,tensor([False]),-1.0704426
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-2.0997453,-2.209785,0.40154657,-2.9968162,-1.4227537,True,0.11003971,train,tensor([True]),0.27403972
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,relaxed,-2.6867654,-2.3125477,0.3686118,-3.0350268,-1.5900686,True,-0.37421775,train,tensor([True]),-1.0152082
