formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH5Ir40NO80,IrO2,110,amines,Methanamine,relaxed,-1.385776,-1.3544463,0.3029353,-1.9481995,-0.7606931,True,-0.03132975,train,tensor([False]),-0.1034206
CH2Ag48O3,Ag,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.31383047,-0.14580405,0.06540267,-0.27399328,-0.017614812,False,-0.16802642,train,tensor([False]),-2.5691063
CH3NORh48,Rh,110,amides,Formamide,relaxed,-0.5159689,-0.5789814,0.060670123,-0.6978948,-0.46006796,True,0.06301248,train,tensor([False]),1.0386081
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,relaxed,-2.2155643,-2.1407492,0.15836614,-2.4511468,-1.8303516,True,-0.074815035,train,tensor([False]),-0.4724181
CH2OPt48,Pt,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-0.703104,-0.66217417,0.081146814,-0.82122195,-0.5031264,True,-0.040929854,train,tensor([False]),-0.5043926
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,relaxed,-0.02868662,-0.35550314,0.20723692,-0.7616875,0.050681233,True,0.32681653,train,tensor([False]),1.5770189
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,relaxed,-2.7820573,-2.8506103,0.17091642,-3.1856065,-2.515614,True,0.06855297,train,tensor([False]),0.4010906
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-0.528532,-0.3655705,0.14879204,-0.6572029,-0.07393807,True,-0.16296154,train,tensor([False]),-1.0952302
CH2Ag48O,Ag,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-0.1706804,-0.18355274,0.04399664,-0.26978615,-0.09731933,True,0.012872338,train,tensor([False]),0.29257548
C3H4Pt48,Pt,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-2.6130204,-2.559608,0.11242182,-2.7799547,-2.3392613,True,-0.053412437,train,tensor([False]),-0.4751074
CH2Cd48O3,Cd,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.237774,-0.0607028,0.07086248,-0.19959326,0.07818766,False,-0.1770712,train,tensor([False]),-2.4988005
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,relaxed,-4.369982,-4.60429,0.21685939,-5.0293345,-4.1792455,True,0.23430824,train,tensor([True]),1.0804616
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,relaxed,-0.14012963,-0.17267752,0.11763809,-0.4032482,0.057893142,True,0.03254789,train,tensor([False]),0.27667817
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,relaxed,-1.93214,-1.9775326,0.15666647,-2.2845988,-1.6704663,True,0.045392632,train,tensor([False]),0.28974056
CH3NNi48O,Ni,110,oximes,Formaldoxime,relaxed,-1.0404863,-1.0108052,0.08446071,-1.1763482,-0.8452622,True,-0.029681087,train,tensor([False]),-0.35141885
C2H2Cu48,Cu,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-1.6406885,-1.5509167,0.1614952,-1.8674473,-1.2343861,True,-0.08977187,train,tensor([False]),-0.5558795
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,relaxed,-2.0831358,-1.8998246,0.12580542,-2.1464033,-1.6532459,True,-0.18331122,train,tensor([False]),-1.4571011
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,relaxed,-0.44448346,-0.4077474,0.1600876,-0.7215191,-0.09397569,True,-0.03673607,train,tensor([False]),-0.22947481
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-0.22368254,-0.19083726,0.13311642,-0.45174545,0.07007092,True,-0.032845274,train,tensor([False]),-0.24674095
CH3Fe48N,Fe,110,imines,Methanimine,relaxed,-1.9551347,-1.5116466,0.33632705,-2.1708477,-0.8524456,True,-0.44348812,train,tensor([False]),-1.3186216
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,-1.6991528,-1.7210938,0.08176131,-1.881346,-1.5608416,True,0.021940947,train,tensor([False]),0.26835367
C2H5NPd48,Pd,110,imines,N-methylmethanimine,relaxed,-1.1982799,-1.22262,0.044808276,-1.3104442,-1.1347958,True,0.024340153,train,tensor([False]),0.54320663
CH3Co48N,Co,110,imines,Methanimine,relaxed,-1.439127,-1.2867764,0.20584537,-1.6902333,-0.8833195,True,-0.15235054,train,tensor([False]),-0.7401213
C2H5Ir48NO,Ir,110,amides,Acetamide,relaxed,-0.859727,-0.8363868,0.05632118,-0.94677633,-0.72599727,True,-0.023340225,train,tensor([False]),-0.41441292
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-2.0807958,-1.9558113,0.3361574,-2.6146798,-1.2969427,True,-0.1249845,train,tensor([True]),-0.3718035
CH3Ir40NO80,IrO2,110,imines,Methanimine,relaxed,-2.752871,-2.5629878,0.2246233,-3.0032494,-2.1227262,True,-0.18988323,train,tensor([False]),-0.8453408
C2H4O2Zn48,Zn,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-0.05846521,-0.11458671,0.058290597,-0.22883628,-0.00033713877,True,0.056121502,train,tensor([False]),0.9627882
CH2O3Zn48,Zn,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.2891346,-0.07105458,0.10920833,-0.2851029,0.14299375,False,-0.21808001,train,tensor([False]),-1.9969174
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,relaxed,-0.26538977,-0.6900668,0.28799522,-1.2545375,-0.12559617,True,0.42467704,train,tensor([False]),1.4745976
C2H6Os48S,Os,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.5906365,-1.6085739,0.07406484,-1.753741,-1.4634068,True,0.017937422,train,tensor([False]),0.24218537
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-2.4302998,-2.2568138,0.34921953,-2.9412842,-1.5723435,True,-0.173486,train,tensor([True]),-0.49678206
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.2945501,-0.42223465,0.114345625,-0.64635205,-0.19811723,True,0.12768456,train,tensor([False]),1.1166545
CH3Co48NO,Co,110,amides,Formamide,relaxed,-0.6394932,-0.695346,0.10861932,-0.90823984,-0.48245212,True,0.05585277,train,tensor([False]),0.5142066
CH5NO80Ru40,RuO2,110,amines,Methanamine,relaxed,-2.015036,-1.8091029,0.15771198,-2.1182184,-1.4999874,True,-0.20593321,train,tensor([False]),-1.305755
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,relaxed,-0.27665544,-0.25219923,0.09410302,-0.43664116,-0.06775731,True,-0.024456203,train,tensor([False]),-0.25988755
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-1.7461878,-1.8862834,0.31848574,-2.5105155,-1.2620513,True,0.14009559,train,tensor([False]),0.43988028
CH3NRu48,Ru,110,imines,Methanimine,relaxed,-1.7770376,-1.4409817,0.12816359,-1.6921824,-1.1897811,False,-0.33605587,train,tensor([False]),-2.6220853
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-2.5225194,-2.4270282,0.28718928,-2.9899192,-1.8641372,True,-0.09549117,train,tensor([False]),-0.33250257
CH5NZn48,Zn,110,amines,Methanamine,relaxed,-0.6035359,-0.60508686,0.068438694,-0.7392267,-0.47094703,True,0.0015509725,train,tensor([False]),0.022662217
C3H6Ag48S,Ag,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-0.8877468,-0.9610671,0.07687294,-1.1117381,-0.81039613,True,0.07332027,train,tensor([False]),0.9537852
CH2Ir48S,Ir,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-3.3062916,-3.351925,0.131447,-3.609561,-3.0942888,True,0.045633316,train,tensor([False]),0.34716132
C2H4Pd48S,Pd,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-2.9028864,-2.9245934,0.09771603,-3.116117,-2.73307,True,0.021707058,train,tensor([False]),0.22214428
C2H4Au48O2,Au,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-0.09449484,-0.14606655,0.03921952,-0.22293681,-0.069196284,True,0.051571704,train,tensor([False]),1.3149499
CH4Cd48S,Cd,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-0.28665364,-0.2950278,0.04457328,-0.38239142,-0.20766416,True,0.008374155,train,tensor([False]),0.18787387
