formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C2H7NO80Ti40,TiO2,110,amines,Ethanamine,relaxed,-0.31200215,-0.3640954,0.066238694,-0.49392325,-0.23426755,True,0.052093238,train,tensor([False]),0.7864472
C3H8O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.48458,-0.49585402,0.08622031,-0.6648458,-0.32686222,True,0.01127401,train,tensor([False]),0.13075817
CH2Rh48S,Rh,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-3.236334,-3.2260132,0.07492637,-3.3728688,-3.0791576,True,-0.010320902,train,tensor([False]),-0.13774726
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.73472905,-0.5606407,0.1330243,-0.82136834,-0.29991305,True,-0.17408836,train,tensor([False]),-1.3086959
C3H4Ir48,Ir,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-2.8505545,-2.6411092,0.18377498,-3.0013082,-2.2809103,True,-0.20944524,train,tensor([False]),-1.1396831
C2H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.22123086,-0.19739896,0.068630904,-0.33191553,-0.06288239,True,-0.023831904,train,tensor([False]),-0.34724742
CH4Ni48S,Ni,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.0724826,-1.0836432,0.032996077,-1.1483155,-1.0189708,True,0.011160612,train,tensor([False]),0.33824056
C3H9NZn48,Zn,110,amines,Trimethylamine,relaxed,-0.7479316,-0.7048862,0.049951784,-0.8027917,-0.6069807,True,-0.0430454,train,tensor([False]),-0.86173904
C2H5NPd48,Pd,110,imines,N-methylmethanimine,relaxed,-1.1982799,-1.212932,0.029677097,-1.2710991,-1.1547649,True,0.014652133,train,tensor([False]),0.49371853
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-0.2600112,-0.21953994,0.11314814,-0.4413103,0.0022304207,True,-0.040471256,train,tensor([False]),-0.3576838
C2H4O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-0.41067168,-0.3018461,0.049371794,-0.3986148,-0.20507738,False,-0.108825594,train,tensor([False]),-2.2042058
C2H6N2Os48,Os,110,amidines,Acetimidamide,relaxed,-1.8480488,-1.855285,0.04346833,-1.940483,-1.7700871,True,0.0072362423,train,tensor([False]),0.1664716
C2H5NO81Ti40,TiO2,110,amides,Acetamide,relaxed,-0.5311122,-0.38260376,0.06501526,-0.51003367,-0.25517386,False,-0.14850843,train,tensor([False]),-2.284209
CH2O83Ti40,TiO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-1.4053832,-1.4390941,0.15599515,-1.7448446,-1.1333436,True,0.033710837,train,tensor([False]),0.21610184
C3H8Pt48,Pt,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.3970214,-0.36302125,0.030427624,-0.4226594,-0.3033831,True,-0.03400016,train,tensor([False]),-1.1174109
C3H6O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-1.2279189,-1.1640269,0.082133204,-1.3250079,-1.0030458,True,-0.06389201,train,tensor([False]),-0.77790713
C2H5NO80Ti40,TiO2,110,imines,N-methylmethanimine,relaxed,-1.4316818,-1.368434,0.06750824,-1.5007501,-1.2361178,True,-0.0632478,train,tensor([False]),-0.93689
C2H5NO80Ti40,TiO2,110,imines,Ethanimine,relaxed,-1.4557021,-1.4621806,0.08420577,-1.627224,-1.2971373,True,0.006478548,train,tensor([False]),0.0769371
C2H6Pt48S,Pt,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.4289074,-1.4074223,0.04306171,-1.4918232,-1.3230214,True,-0.02148509,train,tensor([False]),-0.49893722
C2H4Co48O2,Co,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-0.17580688,-0.21427947,0.0506571,-0.3135674,-0.11499155,True,0.038472593,train,tensor([False]),0.7594709
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,relaxed,-3.1487274,-2.52386,1.4231498,-5.3132334,0.26551366,True,-0.62486744,train,tensor([True]),-0.43907353
CH3NO81Ti40,TiO2,110,oximes,Formaldoxime,relaxed,-1.3262672,-1.3818431,0.09665333,-1.5712836,-1.1924026,True,0.055575848,train,tensor([False]),0.5750019
CH5NZn48,Zn,110,amines,Methanamine,relaxed,-0.6035359,-0.5369869,0.052693557,-0.64026624,-0.4337075,True,-0.066549,train,tensor([False]),-1.2629439
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-0.83044094,-0.7030524,0.14720671,-0.99157757,-0.41452724,True,-0.12738854,train,tensor([False]),-0.8653718
C2H6Cu48,Cu,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.20580599,-0.19965029,0.029657917,-0.2577798,-0.14152077,True,-0.0061556995,train,tensor([False]),-0.20755671
C2H4O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Ethanethial,relaxed,-0.3647829,-0.33675778,0.051522017,-0.43774092,-0.23577462,True,-0.02802512,train,tensor([False]),-0.54394454
C2H6SZn48,Zn,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-0.40065175,-0.45893186,0.06277133,-0.58196366,-0.33590007,True,0.05828011,train,tensor([False]),0.9284511
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-2.961699,-2.6008937,0.52672577,-3.6332762,-1.5685112,True,-0.36080527,train,tensor([False]),-0.6849964
CH2Cu48S,Cu,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-1.9923275,-2.0032206,0.054397304,-2.1098392,-1.8966018,True,0.010893106,train,tensor([False]),0.20025085
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-2.45996,-1.9576939,0.6874022,-3.3050022,-0.61038566,True,-0.50226605,train,tensor([True]),-0.7306728
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,-1.2037108,-1.2329491,0.13817222,-1.5037668,-0.96213156,True,0.029238343,train,tensor([False]),0.21160796
C2H6Pd48S,Pd,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.463365,-1.4653122,0.035218462,-1.5343404,-1.3962841,True,0.0019472837,train,tensor([False]),0.05529156
