System,Material,Surface,Molecule Group,Molecule,State,Dissociation,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,tensor([False]),-0.48554784059524536,-0.42714837579882925,0.05839946479641611,0.05839946479641611
CH4Au48N2,Au,110,amidines,Formimidamide,relaxed,tensor([False]),-0.7992030382156372,-0.7960970149179296,0.003106023297707594,0.003106023297707594
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,relaxed,tensor([False]),-0.7939477562904358,-0.8692247827282582,-0.07527702643782241,0.07527702643782241
C3H8O81Ti40,TiO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,tensor([False]),-1.361841082572937,-1.4470473158567252,-0.08520623328378818,0.08520623328378818
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,tensor([False]),-0.48126813769340515,-0.47533346442961033,0.005934673263794821,0.005934673263794821
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,tensor([False]),-0.23268577456474304,-0.3374382359920638,-0.10475246142732075,0.10475246142732075
CH3NO,None,None,oximes,Formaldoxime,relaxed,tensor([False]),0.0,0.01604399789199107,0.01604399789199107,0.01604399789199107
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,tensor([False]),-0.8304409384727478,-0.5730413886726957,0.2573995498000521,0.2573995498000521
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,tensor([True]),-2.389826774597168,-2.56843121062888,-0.17860443603171205,0.17860443603171205
CH5NO80Ti40,TiO2,110,amines,Methanamine,relaxed,tensor([False]),-0.32528775930404663,-0.3160310775647446,0.009256681739302053,0.009256681739302053
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,tensor([True]),-1.851710557937622,-1.7161356674200476,0.13557489051757443,0.13557489051757443
