formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
CH4Co48N2,Co,110,amidines,Formimidamide,relaxed,-1.3066547,-1.2546256,0.1339082,-1.5170857,-0.99216545,True,-0.052029133,train,tensor([False]),-0.3885433
C3H7NO80Ti40,TiO2,110,imines,Propan-2-imine,relaxed,-1.5889276,-1.5810564,0.058280375,-1.6952859,-1.4668268,True,-0.00787127,train,tensor([False]),-0.13505867
CH3NO82Ti40,TiO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.2103527,-1.2930522,0.18437132,-1.65442,-0.9316844,True,0.08269954,train,tensor([False]),0.44854882
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,relaxed,-2.2025943,-2.084695,0.1327074,-2.3448017,-1.8245885,True,-0.11789918,train,tensor([False]),-0.8884145
C2H2Pt48,Pt,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-1.0258509,-1.5021132,0.1173612,-1.7321411,-1.2720853,False,0.47626233,train,tensor([False]),4.05809
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,-0.9988272,-1.0877452,0.104818046,-1.2931886,-0.8823018,True,0.08891797,train,tensor([False]),0.84830785
C3H7NO80Ti40,TiO2,110,imines,Propan-2-imine,relaxed,-0.43074855,-0.46639365,0.12967043,-0.7205477,-0.21223962,True,0.035645097,train,tensor([False]),0.27488995
C3H7N,None,None,imines,Propan-2-imine,relaxed,0.0,0.023603678,0.021288533,-0.018121846,0.0653292,True,-0.023603678,train,tensor([False]),-1.1087508
C2H6Ag48O,Ag,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.2509804,-0.24938804,0.009254019,-0.2675259,-0.23125017,True,-0.0015923679,train,tensor([False]),-0.17207313
CH2ORh48,Rh,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,-0.8884345,-0.9597946,0.09167047,-1.1394687,-0.7801205,True,0.07136005,train,tensor([False]),0.778441
CH3NO81Ru40,RuO2,110,amides,Formamide,relaxed,-1.6173105,-1.6257936,0.15210068,-1.9239109,-1.3276763,True,0.008483052,train,tensor([False]),0.05577261
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.1924462,-0.24751347,0.04303164,-0.33185548,-0.16317146,True,0.05506727,train,tensor([False]),1.2796925
C3H9NO80Ti40,TiO2,110,amines,Trimethylamine,relaxed,-0.4139097,-0.38243628,0.19243535,-0.7596096,-0.005262971,True,-0.031473428,train,tensor([False]),-0.16355325
C3H8Rh48,Rh,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.36439773,-0.36400658,0.012640854,-0.38878265,-0.3392305,True,-0.00039115548,train,tensor([False]),-0.030943753
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,relaxed,-0.549138,-0.40075696,0.1527,-0.700049,-0.10146493,True,-0.14838105,train,tensor([False]),-0.9717161
C3H6Rh48S,Rh,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-2.9773607,-2.8396115,0.09659316,-3.028934,-2.650289,True,-0.1377492,train,tensor([False]),-1.4260762
C3H6Ag48,Ag,110,alkanes_alkenes_alkynes,Propylene,relaxed,-0.3905603,-0.39787513,0.015185852,-0.4276394,-0.36811087,True,0.007314831,train,tensor([False]),0.48168725
CH2Ir48O3,Ir,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.58314246,-0.569589,0.037745778,-0.6435707,-0.4956073,True,-0.013553441,train,tensor([False]),-0.3590717
CH3NO80Ti40,TiO2,110,imines,Methanimine,relaxed,-1.4693649,-1.4587578,0.05694598,-1.5703719,-1.3471437,True,-0.010607123,train,tensor([False]),-0.1862664
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.9644679,-2.1075625,0.07586059,-2.2562492,-1.9588758,True,0.14309466,train,tensor([False]),1.8862846
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-0.166147,-0.31295055,0.2579006,-0.8184357,0.19253463,True,0.14680356,train,tensor([False]),0.5692254
C3H6ORu48,Ru,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,relaxed,-0.20011741,-0.1962508,0.007525521,-0.21100082,-0.18150078,True,-0.003866613,train,tensor([False]),-0.5138
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-0.7372099,-0.6541159,0.101811305,-0.85366607,-0.45456576,True,-0.083094,train,tensor([False]),-0.8161569
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.722174,-1.7085854,0.07785407,-1.8611794,-1.5559914,True,-0.013588667,train,tensor([False]),-0.17454024
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-1.4896246,-1.2832856,0.21933281,-1.7131779,-0.8533933,True,-0.206339,train,tensor([False]),-0.9407576
C3H8O80Ti40,TiO2,110,alkanes_alkenes_alkynes,Propane,relaxed,-0.65638244,-0.55625397,0.044937633,-0.64433175,-0.46817622,False,-0.10012847,train,tensor([False]),-2.2281651
CH3NO82Ti40,TiO2,110,carbamate-esters,Carbamic-acid,relaxed,-1.2314285,-1.2284826,0.150218,-1.5229099,-0.9340553,True,-0.0029459,train,tensor([False]),-0.019610833
CH4Co48S,Co,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,-1.0308428,-1.0631665,0.048789456,-1.1587938,-0.9675392,True,0.032323718,train,tensor([False]),0.6625144
C3H9NPd48,Pd,110,amines,Propan-2-amine,relaxed,-1.3185027,-1.3082522,0.022787876,-1.3529165,-1.263588,True,-0.010250449,train,tensor([False]),-0.44982028
C2H6Ni48,Ni,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.23430036,-0.23271096,0.008588469,-0.24954435,-0.21587756,True,-0.0015894026,train,tensor([False]),-0.1850624
C2H6Fe48S,Fe,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.4361509,-1.4274837,0.031566955,-1.489355,-1.3656124,True,-0.008667231,train,tensor([False]),-0.27456656
CH3NOPt48,Pt,110,amides,Formamide,relaxed,-0.46895194,-0.48217833,0.04239284,-0.5652683,-0.39908838,True,0.01322639,train,tensor([False]),0.31199586
CH3NO80Ru40,RuO2,110,imines,Methanimine,relaxed,-1.9954523,-1.8990024,0.09005936,-2.0755188,-1.722486,True,-0.09644985,train,tensor([False]),-1.0709586
C2H6N2O80Ti40,TiO2,110,amidines,Acetimidamide,relaxed,-1.7291092,-1.8423954,0.115772195,-2.069309,-1.6154819,True,0.11328626,train,tensor([False]),0.9785273
C2H6OOs48,Os,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.21330172,-0.23565668,0.013874779,-0.26285124,-0.2084621,True,0.02235496,train,tensor([False]),1.6111939
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,-0.30626827,-0.30642128,0.026023027,-0.3574264,-0.25541615,True,0.00015300512,train,tensor([False]),0.005879605
CH3Ir48NO2,Ir,110,carbamate-esters,Carbamic-acid,relaxed,-0.3807109,-0.36722666,0.047503125,-0.46033278,-0.27412054,True,-0.01348424,train,tensor([False]),-0.28386006
C2H5NO81Ti40,TiO2,110,amides,Acetamide,relaxed,-1.3843341,-1.5307395,0.12945716,-1.7844756,-1.2770035,True,0.14640546,train,tensor([False]),1.1309181
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,relaxed,-0.02868662,-0.42309815,0.17505042,-0.76619697,-0.0799993,False,0.39441153,train,tensor([False]),2.253131
C2H6Zn48,Zn,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.1700237,-0.16259956,0.0113574965,-0.18486026,-0.14033887,True,-0.007424131,train,tensor([False]),-0.6536767
C2H6O80STi40,TiO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-1.0831364,-1.2061039,0.10236204,-1.4067335,-1.0054743,True,0.12296748,train,tensor([False]),1.2012997
CH4N2O80Ti40,TiO2,110,amidines,Formimidamide,relaxed,-0.3610716,-0.4813015,0.08546939,-0.6488215,-0.3137815,True,0.1202299,train,tensor([False]),1.4067013
C3H8Co48S,Co,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-1.1175289,-1.0780714,0.038884923,-1.1542858,-1.0018569,True,-0.03945756,train,tensor([False]),-1.0147264
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,-0.5323403,-0.52709585,0.08230801,-0.6884196,-0.36577216,True,-0.005244434,train,tensor([False]),-0.06371718
C2H6OZn48,Zn,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,-0.34247446,-0.31880742,0.020668095,-0.3593169,-0.27829796,True,-0.023667037,train,tensor([False]),-1.1451001
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-1.5352437,-0.94374084,0.40533692,-1.7382011,-0.14928049,True,-0.5915029,train,tensor([False]),-1.459287
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-2.390627,-2.074195,0.21922426,-2.5038745,-1.6445154,True,-0.316432,train,tensor([False]),-1.4434168
C2H5NO80Ti40,TiO2,110,imines,Ethanimine,relaxed,-0.31294417,-0.3099951,0.033782393,-0.3762086,-0.24378163,True,-0.002949059,train,tensor([False]),-0.08729574
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-2.4917662,-2.203456,0.30515015,-2.8015501,-1.6053617,True,-0.2883103,train,tensor([False]),-0.9448145
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,-0.8572229,-2.148415,0.37990344,-2.8930259,-1.4038043,False,1.2911922,train,tensor([False]),3.398738
CH3Au48NO2,Au,110,carbamate-esters,Carbamic-acid,relaxed,-0.07248307,-0.2314452,0.047523625,-0.32459152,-0.13829888,False,0.15896213,train,tensor([False]),3.3449075
