"System,Material,Surface,Molecule Group,Molecule,State,Dissociation,True_eV,Prediction_eV,Error_eV,Abs_error_eV",run
"CH4Co48N2,Co,110,amidines,Formimidamide,relaxed,tensor([False]),-1.306654691696167,-1.1346482440089103,0.1720064476872567,0.1720064476872567",1_4
"C3H7NO80Ti40,TiO2,110,imines,Propan-2-imine,relaxed,tensor([False]),-1.5889276266098022,-1.6049635831396714,-0.01603595652986911,0.01603595652986911",1_4
"CH3NO82Ti40,TiO2,110,carbamate-esters,Carbamic-acid,relaxed,tensor([False]),-1.2103526592254639,-1.3552370850388753,-0.14488442581341143,0.14488442581341143",1_4
"CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,relaxed,tensor([False]),-2.20259428024292,-2.0316999242830676,0.17089435595985236,0.17089435595985236",1_4
"C2H2Pt48,Pt,110,alkanes_alkenes_alkynes,Acetylene,relaxed,tensor([False]),-1.0258508920669556,-1.5540654438414911,-0.5282145517745356,0.5282145517745356",1_4
"C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,tensor([False]),-0.9988272190093994,-1.0366501521024922,-0.037822933093092814,0.037822933093092814",1_4
"C3H7NO80Ti40,TiO2,110,imines,Propan-2-imine,relaxed,tensor([False]),-0.4307485520839691,-0.40190255259825847,0.02884599948571065,0.02884599948571065",1_4
"C3H7N,None,None,imines,Propan-2-imine,relaxed,tensor([False]),0.0,0.0035127768275131643,0.0035127768275131643,0.0035127768275131643",1_4
"C2H6Ag48O,Ag,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,relaxed,tensor([False]),-0.250980406999588,-0.23433247305710836,0.016647933942479654,0.016647933942479654",1_4
"CH2ORh48,Rh,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,relaxed,tensor([False]),-0.8884345293045044,-0.8115065144084639,0.07692801489604051,0.07692801489604051",1_4
"CH3NO81Ru40,RuO2,110,amides,Formamide,relaxed,tensor([False]),-1.6173105239868164,-1.6118614072537198,0.0054491167330965595,0.0054491167330965595",1_4
"C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,relaxed,tensor([False]),-0.19244620203971863,-0.2514872994509325,-0.05904109741121388,0.05904109741121388",1_4
"C3H9NO80Ti40,TiO2,110,amines,Trimethylamine,relaxed,tensor([False]),-0.4139097034931183,-0.3770437102008586,0.0368659932922597,0.0368659932922597",1_4
"C3H8Rh48,Rh,110,alkanes_alkenes_alkynes,Propane,relaxed,tensor([False]),-0.36439773440361023,-0.3657143036756665,-0.001316569272056256,0.001316569272056256",1_4
"C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,relaxed,tensor([False]),-0.5491380095481873,-0.4508131758837486,0.09832483366443867,0.09832483366443867",1_4
"C3H6Rh48S,Rh,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,tensor([False]),-2.977360725402832,-2.880900055876424,0.09646066952640808,0.09646066952640808",1_4
