"System,Material,Surface,Molecule Group,Molecule,State,Dissociation,True_eV,Prediction_eV,Error_eV,Abs_error_eV",run
"CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,tensor([False]),-3.2335870265960693,-2.987695813271017,0.24589121332505215,0.24589121332505215",1_4
"C3H8Ir48,Ir,110,alkanes_alkenes_alkynes,Propane,relaxed,tensor([False]),-0.37916886806488037,-0.34653440143986813,0.03263446662501224,0.03263446662501224",1_4
"C3H7Ir48N,Ir,110,imines,Propan-2-imine,relaxed,tensor([False]),-1.531341314315796,-1.495435988532952,0.03590532578284389,0.03590532578284389",1_4
"CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,tensor([True]),-2.0679545402526855,-0.4893154493001717,1.5786390909525139,1.5786390909525139",1_4
"CH3NPt48,Pt,110,imines,Methanimine,relaxed,tensor([False]),-1.210572600364685,-1.318538232053453,-0.10796563168876805,0.10796563168876805",1_4
"CH3NNi48O2,Ni,110,carbamate-esters,Carbamic-acid,relaxed,tensor([False]),-0.3852441608905792,-0.4093260783833692,-0.024081917492789984,0.024081917492789984",1_4
"CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,tensor([False]),-1.278113603591919,-1.2280377780904153,0.05007582550150369,0.05007582550150369",1_4
"C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,relaxed,tensor([False]),-1.134846806526184,-1.1241200860747202,0.010726720451463834,0.010726720451463834",1_4
"C2H7Ir40NO80,IrO2,110,amines,Ethanamine,relaxed,tensor([False]),-2.7892000675201416,-2.7598603076759503,0.02933975984419135,0.02933975984419135",1_4
"C2H4O2Zn48,Zn,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,tensor([False]),-0.05846520885825157,-0.13891542926043599,-0.08045022040218441,0.08045022040218441",1_4
"C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,tensor([False]),-2.1888020038604736,-1.9617259514581065,0.22707605240236717,0.22707605240236717",1_4
"C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,relaxed,tensor([False]),-0.23073086142539978,-0.23107140084170652,-0.0003405394163067399,0.0003405394163067399",1_4
"C2H6,None,None,alkanes_alkenes_alkynes,Ethane,relaxed,tensor([False]),0.0,0.0026909540066810678,0.0026909540066810678,0.0026909540066810678",1_4
"C3H9N,None,None,amines,Propan-2-amine,relaxed,tensor([False]),0.0,-0.021713040153962027,-0.021713040153962027,0.021713040153962027",1_4
"C3H8Co48O,Co,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,tensor([False]),-0.6084596514701843,-0.5205462573788004,0.08791339409138388,0.08791339409138388",1_4
"C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,tensor([False]),-0.2445947229862213,-1.8094568295787354,-1.5648621065925141,1.5648621065925141",1_4
"CH5NPd48,Pd,110,amines,Methanamine,relaxed,tensor([False]),-1.2064014673233032,-1.2025241521570238,0.003877315166279427,0.003877315166279427",1_4
"CH4Co48S,Co,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,tensor([False]),-1.0308427810668945,-1.01010852737938,0.02073425368751458,0.02073425368751458",1_4
"CH5NZn48,Zn,110,amines,Methanamine,relaxed,tensor([False]),-0.6035358905792236,-0.6448113106070643,-0.04127542002784068,0.04127542002784068",1_4
"C2H4Co48O2,Co,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,tensor([False]),-0.17580687999725342,-0.4017630082240409,-0.22595612822678746,0.22595612822678746",1_4
"CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,relaxed,tensor([False]),-2.564100503921509,-2.3537565810935206,0.2103439228279882,0.2103439228279882",1_4
"C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,relaxed,tensor([False]),-0.4818277060985565,-0.45445213800253015,0.02737556809602637,0.02737556809602637",1_4
"C2H5NOs48,Os,110,imines,N-methylmethanimine,relaxed,tensor([False]),-1.428696870803833,-1.4380129658397163,-0.009316095035883265,0.009316095035883265",1_4
"C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,relaxed,tensor([False]),-2.854844093322754,-2.752889372070854,0.10195472125190008,0.10195472125190008",1_4
"C2H5NRh48,Rh,110,imines,N-methylmethanimine,relaxed,tensor([False]),-1.245141625404358,-1.2642571673572363,-0.019115541952878345,0.019115541952878345",1_4
"C3H4Ni48,Ni,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,tensor([False]),-2.771951198577881,-2.6347093728082314,0.1372418257696495,0.1372418257696495",1_4
"CH3Co48NO,Co,110,oximes,Formaldoxime,relaxed,tensor([False]),-0.9100916981697083,-0.7344518974077712,0.17563980076193708,0.17563980076193708",1_4
"C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,relaxed,tensor([False]),-0.4686322510242462,-1.8838797903548716,-1.4152475393306254,1.4152475393306254",1_4
"CH3Au48NO,Au,110,oximes,Formaldoxime,relaxed,tensor([False]),-0.5019625425338745,-0.5254110522826636,-0.023448509748789093,0.023448509748789093",1_4
"C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,tensor([True]),-2.313030242919922,-2.518907624193716,-0.20587738127379396,0.20587738127379396",1_4
"C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,tensor([False]),-0.40725353360176086,-0.5119475722660027,-0.10469403866424187,0.10469403866424187",1_4
"CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,relaxed,tensor([False]),-1.6977403163909912,-1.6760350041505205,0.021705312240470676,0.021705312240470676",1_4
"CH2Ag48O2,Ag,110,carbonates_carboxylic-acids_esters,Formic-acid,relaxed,tensor([False]),-0.07689838111400604,-0.07184753074253791,0.00505085037146813,0.00505085037146813",1_4
"C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,tensor([False]),-2.8161914348602295,-2.5319823911314003,0.28420904372882916,0.28420904372882916",1_4
"CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,tensor([True]),-1.8413459062576294,-1.5532150797448114,0.28813082651281796,0.28813082651281796",1_4
"C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,relaxed,tensor([False]),-0.41814878582954407,-0.7391137294789623,-0.3209649436494182,0.3209649436494182",1_4
"CH3NO2Zn48,Zn,110,carbamate-esters,Carbamic-acid,relaxed,tensor([False]),-0.09423062205314636,-0.18117540439653368,-0.08694478234338732,0.08694478234338732",1_4
"C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,tensor([False]),-1.7734941244125366,-1.738061395475043,0.03543272893749361,0.03543272893749361",1_4
"CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,tensor([True]),-1.9233978986740112,-2.2482312321621265,-0.3248333334881153,0.3248333334881153",1_4
"C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,relaxed,tensor([False]),-1.3388409614562988,-2.124975624281099,-0.7861346628248,0.7861346628248",1_4
"C2H6OPt48,Pt,110,alcohols_aldehydes_ketones_ethers,Ethanol,relaxed,tensor([False]),-0.5714598894119263,-0.6401210157167228,-0.06866112630479648,0.06866112630479648",1_4
"CH4N2Ru48,Ru,110,amidines,Formimidamide,relaxed,tensor([False]),-1.5427113771438599,-2.082044412234609,-0.539333035090749,0.539333035090749",1_4
