System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-3.286905288696289,-1.1294088087443157,2.1574964799519734,2.1574964799519734
CH4S,None,None,thiols_thials_thioketones_thioethers,Methanethiol,0.0,0.011816692183373334,0.011816692183373334,0.011816692183373334
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.8786487579345703,-2.8540934159153295,0.02455534201924081,0.02455534201924081
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.671963691711426,-2.815858696183845,-0.14389500447241943,0.14389500447241943
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.42302876710891724,-1.7981907974693119,-1.3751620303603946,1.3751620303603946
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7892000675201416,-2.7393086747122055,0.049891392807936086,0.049891392807936086
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.08462805300951004,-0.506782639856489,-0.42215458684697893,0.42215458684697893
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0090974569320679,-0.6501200528546747,0.3589774040773932,0.3589774040773932
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.4599599838256836,-1.177009805460127,1.2829501783655566,1.2829501783655566
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.5394166707992554,-0.635072744259034,-0.09565607345977867,0.09565607345977867
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-0.3889712393283844,-0.3846907517995177,0.004280487528866672,0.004280487528866672
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.9778366088867188,-1.0120176478318612,-0.03418103894514246,0.03418103894514246
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-2.056319199456862,-0.18815430249183507,0.18815430249183507
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254009246826,-2.7406982813468943,0.5970271195777883,0.5970271195777883
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.8651270866394043,-2.6658741335000684,0.1992529531393359,0.1992529531393359
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7441809773445129,-0.6240988273340591,0.12008215001045386,0.12008215001045386
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.5168205499649048,-1.5177863363467488,-0.0009657863818439694,0.0009657863818439694
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-1.9095062017440796,-1.9519790660275902,-0.0424728642835106,0.0424728642835106
CH2S,None,None,thiols_thials_thioketones_thioethers,Methanethial,0.0,-0.04372831318767112,-0.04372831318767112,0.04372831318767112
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-3.238874673843384,-2.9457756169006473,0.2930990569427365,0.2930990569427365
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881102800369263,-1.8224615087560139,0.0656487712809124,0.0656487712809124
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.430299758911133,-1.698994406654439,0.7313053522566939,0.7313053522566939
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.8827897310256958,-1.3351043864592729,-0.4523146554335771,0.4523146554335771
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.5226708054542542,-0.9835766113988633,-0.46090580594460917,0.46090580594460917
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.8827897310256958,-1.3319388620505777,-0.44914913102488185,0.44914913102488185
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-1.5110210180282593,-1.686775757504428,-0.1757547394761687,0.1757547394761687
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.278113603591919,-1.4521670746495854,-0.17405347105766644,0.17405347105766644
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-7.515892028808594,-3.7561561339326204,3.7597358948759734,3.7597358948759734
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.5412219762802124,-1.6298194535147843,-0.0885974772345719,0.0885974772345719
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.34245041012763977,-0.38992445841182644,-0.047474048284186665,0.047474048284186665
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-3.265855312347412,-1.1018206879220322,2.16403462442538,2.16403462442538
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.16172492504119873,-1.3912819750322152,-1.2295570499910164,1.2295570499910164
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,-2.7349469661712646,-3.012438300139465,-0.27749133396820014,0.27749133396820014
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.0679545402526855,-2.116640359041952,-0.04868581878926648,0.04868581878926648
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-8.705933570861816,-4.668573103950479,4.037360466911338,4.037360466911338
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-0.32173091173171997,-0.9201166299898347,-0.5983857182581147,0.5983857182581147
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-0.4806871832122255,0.25652273290258165,0.25652273290258165
C2H5N,None,None,imines,Ethanimine,0.0,0.007310862977945476,0.007310862977945476,0.007310862977945476
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.067409873008728,-2.2392790005641032,-1.1718691275553752,1.1718691275553752
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.2579692304134369,-0.8423337945124558,-0.5843645640990189,0.5843645640990189
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.2121331691741943,-1.865317033455554,0.34681613571864034,0.34681613571864034
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.9579216837882996,-0.5440315702659291,0.4138901135223705,0.4138901135223705
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8572229146957397,-2.497339460453759,-1.6401165457580191,1.6401165457580191
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-2.018087387084961,-1.5805810831693528,0.4375063039156082,0.4375063039156082
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6213157176971436,-2.5033355207059316,1.117980196991212,1.117980196991212
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.9470081834693076,-0.4763355760474326,0.4763355760474326
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8221453428268433,-1.3363605007899348,-0.5142151579630916,0.5142151579630916
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.521611452102661,-3.185338588046534,0.3362728640561272,0.3362728640561272
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.392246961593628,-1.4632547404616725,0.9289922211319555,0.9289922211319555
C2H4O2,None,None,carbonates_carboxylic-acids_esters,Acetic-acid,0.0,0.005301508939822952,0.005301508939822952,0.005301508939822952
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.1552523821592331,-0.6935397340939389,-0.5382873519347058,0.5382873519347058
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4562015533447266,-0.7656838084609703,0.6905177448837563,0.6905177448837563
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.5634293556213379,-0.8197027044088401,-0.2562733487875022,0.2562733487875022
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.18160241842269897,-0.35136320421531764,-0.16976078579261866,0.16976078579261866
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-0.22368253767490387,-0.9365003462482164,-0.7128178085733126,0.7128178085733126
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.6010286808013916,-0.40395348094907035,0.19707519985232125,0.19707519985232125
CH3Ir40NO81,IrO2,110,amides,Formamide,-0.48171451687812805,-0.9979785628534117,-0.5162640459752836,0.5162640459752836
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.42302876710891724,-0.9835766113988633,-0.5605478442899461,0.5605478442899461
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.6709398031234741,-0.6599660690953328,0.01097373402814128,0.01097373402814128
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-0.2056795358657837,-0.41869545218943927,-0.21301591632365557,0.21301591632365557
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.808601140975952,-2.80706338025891,0.001537760717042147,0.001537760717042147
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.9269722700119019,-0.9936854058172351,-0.06671313580533322,0.06671313580533322
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.17663083970546722,-0.5953708051291358,-0.41873996542366854,0.41873996542366854
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.6591384410858154,-1.4990799849337546,0.16005845615206082,0.16005845615206082
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.7076367139816284,-0.801168347540326,0.9064683664413025,0.9064683664413025
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-8.705933570861816,-4.858986493422719,3.846947077439097,3.846947077439097
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-0.2054898589849472,-0.9508782550666055,-0.7453883960816583,0.7453883960816583
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Ethanol,0.0,0.0005434588720447664,0.0005434588720447664,0.0005434588720447664
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.193857431411743,-3.205626449013664,-0.01176901760192095,0.01176901760192095
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.9115331202043748,-0.03509897284643415,0.03509897284643415
