formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
CH3NO81Ru40,RuO2,110,amides,Formamide,-0.37608618,-0.42101872,0.044932544,0.40177712,-1.2085018,0.36646444,True,0.1118345
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-0.71771044,0.45232067,0.5361134,-1.7684927,0.33307177,True,0.8437034
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.4488478,-1.1294088,-1.3194389,1.3731946,-3.8208702,1.5620525,True,-0.9608536
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-1.0674193,-1.2248111,0.15739179,0.4221406,-2.0522068,-0.39741546,True,0.3728421
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.4718838,-3.9666772,0.49479342,0.92459285,-5.778879,-2.1544752,True,0.53514737
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-1.498257,-1.7104311,0.21217406,0.38951018,-2.473871,-0.94699115,True,0.5447202
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0534009,-0.76361555,-0.28978533,0.27179676,-1.2963371,-0.23089391,True,-1.0661839
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.17663084,-0.5953708,0.41873997,0.43008524,-1.4383379,0.24759626,True,0.9736209
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-1.079941,-1.1752074,0.09526634,0.68915427,-2.5259497,0.17553496,True,0.1382366
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.486884,-2.9470081,0.46012402,0.4399247,-3.8092606,-2.0847557,True,1.0459154
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.17648304,-0.7910009,0.61451787,0.6100102,-1.9866209,0.40461916,True,1.0073894
C2H2Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Acetylene,-2.5642412,-1.9243674,-0.63987374,0.40378398,-2.715784,-1.1329508,True,-1.5846932
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.63318497,-0.35852242,-0.27466255,0.12253764,-0.59869623,-0.11834863,False,-2.2414546
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.8287824,-0.4148543,-1.4139282,0.29091913,-0.9850558,0.15534723,False,-4.8602104
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.711072,-2.6654491,-0.045622826,0.85425335,-4.3397856,-0.9911126,True,-0.053406667
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-1.3393352,-0.40726054,-0.93207467,0.20990545,-0.8186752,0.0041541457,False,-4.44045
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,-0.79863036,-0.980646,0.18201566,0.9021282,-2.7488174,0.7875253,True,0.20176251
CH3NO80Ru40,RuO2,110,imines,Methanimine,-1.9954523,-1.9700289,-0.025423408,0.1602103,-2.2840412,-1.6560167,True,-0.15868773
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.671883,-1.3176018,-0.3542812,0.38029194,-2.062974,-0.57222956,True,-0.9316032
CH3Ir40NO80,IrO2,110,imines,Methanimine,-0.5223362,-1.7450861,1.22275,1.325375,-4.342821,0.85264885,True,0.9225691
CH5Ir40NO80,IrO2,110,amines,Methanamine,-2.7661104,-2.68215,-0.08396053,0.16802555,-3.0114799,-2.35282,True,-0.49968907
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.142078,-0.9201166,-2.2219613,0.8091376,-2.5060263,0.6657931,False,-2.746086
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.50492525,-1.6032645,1.0983392,0.28610963,-2.1640394,-1.0424895,False,3.8388753
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.2458549,-1.3529575,0.10710263,0.5753212,-2.480587,-0.22532797,True,0.18616146
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.45258737,0.31723154,0.22950485,-0.9024169,-0.0027578473,True,1.3822433
CH5Ir40NO80,IrO2,110,amines,Methanamine,-2.769804,-2.6773608,-0.09244323,0.19360611,-3.0568287,-2.2978928,True,-0.47748095
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.854844,-2.8507407,-0.004103422,0.053741775,-2.9560745,-2.7454069,True,-0.07635442
C2H2Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Acetylene,-2.518974,-2.5932398,0.07426572,0.45208067,-3.479318,-1.7071617,True,0.16427536
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.30412295,-2.368188,2.064065,0.59054536,-3.5256567,-1.210719,False,3.4951844
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.6417942,-0.52320147,-0.11859274,0.18272229,-0.88133717,-0.16506577,True,-0.6490327
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.23073086,-0.63359094,0.40286008,0.17520209,-0.976987,-0.29019484,False,2.2994022
C2H4O2,None,None,carbonates_carboxylic-acids_esters,Acetic-acid,0.0,0.0053014755,-0.0053014755,0.0287276,-0.051004622,0.061607573,True,-0.18454292
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-4.4579487,-4.0573936,-0.40055513,0.017559677,-4.0918107,-4.0229764,False,-22.811075
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.0904624,-2.5250306,0.43456817,1.2838689,-5.041414,-0.008647442,True,0.33848327
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.1927516,-1.7956467,0.602895,1.1837444,-4.1157856,0.5244925,True,0.5093118
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.08325,-2.6474438,0.5641937,0.32356378,-3.2816288,-2.0132587,True,1.7436863
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.32324103,-1.837736,1.514495,0.25055444,-2.3288226,-1.3466493,False,6.0445747
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.1283832,-1.8687487,-0.2596345,0.104110494,-2.0728052,-1.664692,False,-2.493836
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7806883,-0.9054326,-1.8752557,0.94775826,-2.7630386,0.9521736,False,-1.9786224
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.9988272,-1.2274926,0.22866535,0.32046998,-1.8556137,-0.59937143,True,0.71353126
