formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-3.1734622,-1.8222978,-1.3511643,1.0448945,-3.870291,0.22569537,True,-1.2931108
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.135341,-1.3811593,0.24581826,0.24019292,-1.8519374,-0.9103812,True,1.0234201
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742,-1.1047037,0.08112943,0.50238264,-2.0893736,-0.12003368,True,0.16148932
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.42198026,-0.4275748,0.0055945516,0.44135258,-1.2926259,0.43747628,True,0.012675923
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.2523933,-0.44015867,0.18776536,0.23071747,-0.8923649,0.012047589,True,0.81383246
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.528532,-0.47604364,-0.052488387,0.2551845,-0.9762053,0.024118006,True,-0.20568798
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.46923956,-0.3029101,-0.16632947,0.079541355,-0.45881116,-0.14700903,False,-2.091107
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-2.4760804,-2.375111,-0.100969315,0.07808513,-2.528158,-2.2220643,True,-1.2930671
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.6417942,-0.5241238,-0.11767042,0.16985044,-0.85703063,-0.19121692,True,-0.6927884
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.7572684,-0.7469735,-0.010294914,0.18047342,-1.1007015,-0.3932456,True,-0.057043936
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718316,-0.21384466,-0.25798693,0.06299844,-0.33732158,-0.09036772,False,-4.0951324
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-4.4579487,-3.7567363,-0.7012124,0.19151403,-4.132104,-3.3813689,False,-3.6614153
