System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.5226708054542542,-1.9080909082079671,-1.385420102753713,1.385420102753713
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.4686322510242462,-1.1853641765778598,-0.7167319255536135,0.7167319255536135
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-1.2166869640350342,-0.9985346470376584,0.2181523169973758,0.2181523169973758
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-2.564100503921509,-2.8280337650198604,-0.2639332610983516,0.2639332610983516
C2H6,None,None,alkanes_alkenes_alkynes,Ethane,0.0,-0.1863881405389165,-0.1863881405389165,0.1863881405389165
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7326229214668274,-1.026937006638505,-0.2943140851716777,0.2943140851716777
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.5049252510070801,-0.783288780859209,-0.278363529852129,0.278363529852129
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.3388409614562988,-1.820844031612772,-0.48200307015647326,0.48200307015647326
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8519328832626343,-1.2180181470358633,0.633914736226771,0.633914736226771
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-8.665311813354492,-0.18778762858168818,8.477524184772804,8.477524184772804
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.9778366088867188,-1.2015028116691155,-0.2236662027823968,0.2236662027823968
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.20970675349235535,-0.8195600850667688,-0.6098533315744135,0.6098533315744135
CH5Ir40NO80,IrO2,110,amines,Methanamine,-2.766110420227051,-2.234096001728254,0.5320144184987967,0.5320144184987967
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.153579867925913,0.4718228210541895,0.4718228210541895
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.650934934616089,-2.035040303000841,0.615894631615248,0.615894631615248
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-0.25802111625671387,-1.548068254656826,-1.2900471384001122,1.2900471384001122
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.21411243081092834,-1.3115792246230153,-1.097466793812087,1.097466793812087
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-1.1907885074615479,-0.9985346470376584,0.19225386042388948,0.19225386042388948
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.8651270866394043,-2.92656491142165,-0.0614378247822458,0.0614378247822458
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.171462893486023,-0.7581151593814468,0.41334773410457615,0.41334773410457615
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.42654359340667725,-1.0396380977135848,-0.6130945043069076,0.6130945043069076
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.9985452890396118,-1.5092713550192762,0.4892739340203356,0.4892739340203356
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-1.9118462067871906,-0.059079335334859095,0.059079335334859095
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-7.9879350662231445,-0.6283781740532532,7.359556892169891,7.359556892169891
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.7939477562904358,-0.7165516984897735,0.07739605780066228,0.07739605780066228
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.260150671005249,-0.7068441574555493,-0.44669348645030027,0.44669348645030027
CH3Ir40NO81,IrO2,110,amides,Formamide,-0.48171451687812805,-1.9725225865907277,-1.4908080697125996,1.4908080697125996
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.12101110816001892,-0.5111588364946726,-0.3901477283346537,0.3901477283346537
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.0748886689543724,-1.4411635883497986,-1.3662749193954262,1.3662749193954262
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-2.42152738571167,-1.8107444962803676,0.6107828894313023,0.6107828894313023
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-1.1560683061848458,1.1850078294505302,1.1850078294505302
