formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.5394167,-0.8259221,0.2865054,0.36903286,-1.5492265,-0.10261768,True,0.77636826
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-0.61964065,-1.4788572,0.8592165,0.76236886,-2.9731002,0.015385866,True,1.1270351
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-2.0180874,-1.1633458,-0.8547416,0.59881026,-2.337014,0.010322332,True,-1.4273996
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.436062,-2.3521862,-1.0838759,0.978278,-4.2696114,-0.4347613,True,-1.1079427
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.31471437,-2.384405,2.0696905,3.565252,-9.372299,4.603489,True,0.5805173
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.17997466,-0.89317614,0.71320146,1.1412964,-3.130117,1.3437648,True,0.6249047
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-0.31749567,-1.175751,0.85825527,0.63408816,-2.4185638,0.0670619,True,1.3535267
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6278195,-2.2056055,-1.422214,0.96141636,-4.0899816,-0.32122934,True,-1.4792905
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-3.0061305,-2.462461,-0.54366946,1.1385485,-4.694016,-0.23090601,True,-0.47751102
C2H4,None,None,alkanes_alkenes_alkynes,Ethene,0.0,-0.04851854,0.04851854,0.11952814,-0.2827937,0.18575661,True,0.4059173
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.6903308,-0.6803185,-0.010012329,0.4920653,-1.6447666,0.28412956,True,-0.02034756
CH3NO80Ru40,RuO2,110,imines,Methanimine,-0.18569592,-1.2176851,1.0319892,0.5808688,-2.3561878,-0.07918227,True,1.7766305
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.83044094,-1.1706634,0.34022242,0.6253541,-2.3963575,0.055030704,True,0.54404765
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.1939761,-0.622993,0.4290169,0.39322552,-1.393715,0.14772904,True,1.09102
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-1.9220315,-1.1678271,-0.7542044,0.6093457,-2.3621447,0.02649045,True,-1.2377284
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.72903347,-0.69310147,-0.035932004,0.40098497,-1.479032,0.09282911,True,-0.089609355
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-4.367753,-3.1417453,-1.2260077,0.9577718,-5.018978,-1.2645127,True,-1.2800624
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.671883,-1.1634157,-0.5084673,0.64895606,-2.4353695,0.10853827,True,-0.7835158
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.4112225,-2.2908003,-0.120422125,1.1383218,-4.5219107,-0.05968976,True,-0.10578918
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.2088504,-1.8842831,-1.3245673,1.0026231,-3.8494244,0.08085823,True,-1.3211019
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0534009,-0.7892301,-0.26417077,0.59598416,-1.9573591,0.37889886,True,-0.4432513
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-0.49409798,-0.7868058,0.29270783,0.5085379,-1.78354,0.20992845,True,0.5755871
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.5593495,-1.2182314,-0.3411181,0.65626806,-2.5045168,0.06805396,True,-0.5197847
