System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-3.286905288696289,-1.0044609606840176,2.2824443280122715,2.2824443280122715
CH4S,None,None,thiols_thials_thioketones_thioethers,Methanethiol,0.0,-0.2290707271664445,-0.2290707271664445,0.2290707271664445
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.8786487579345703,-2.8764036626067337,0.002245095327836566,0.002245095327836566
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.671963691711426,-2.795579165598369,-0.12361547388694305,0.12361547388694305
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.42302876710891724,-1.6138047690397155,-1.1907760019307982,1.1907760019307982
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7892000675201416,-2.5769904458762767,0.21220962164386492,0.21220962164386492
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.08462805300951004,-0.8444487217042109,-0.7598206686947009,0.7598206686947009
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0090974569320679,-1.122467703809079,-0.11337024687701103,0.11337024687701103
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.4599599838256836,-1.5050337643750828,0.9549262194506007,0.9549262194506007
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.5394166707992554,-0.5611649383941284,-0.021748267594873028,0.021748267594873028
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-0.3889712393283844,-0.22907064468741822,0.15990059464096618,0.15990059464096618
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.9778366088867188,-0.7701342942397673,0.20770231464695144,0.20770231464695144
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-2.1162616978323214,-0.24809680086729458,0.24809680086729458
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254009246826,-2.4624703798684706,0.875255021056212,0.875255021056212
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.8651270866394043,-2.7794243286379015,0.08570275800150284,0.08570275800150284
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7441809773445129,-0.5918125774565866,0.1523683998879264,0.1523683998879264
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.5168205499649048,-1.2988489777805903,0.2179715721843145,0.2179715721843145
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-1.9095062017440796,-1.9463026120022349,-0.03679641025815528,0.03679641025815528
CH2S,None,None,thiols_thials_thioketones_thioethers,Methanethial,0.0,-0.1526148142637851,-0.1526148142637851,0.1526148142637851
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-3.238874673843384,-2.8925810988204006,0.3462935750229832,0.3462935750229832
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881102800369263,-1.7743738445456643,0.113736435491262,0.113736435491262
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.430299758911133,-1.6754546451183465,0.7548451137927863,0.7548451137927863
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.8827897310256958,-1.3383430079050047,-0.4555532768793089,0.4555532768793089
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.5226708054542542,-1.4285031924888267,-0.9058323870345726,0.9058323870345726
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.8827897310256958,-1.3383430079050047,-0.4555532768793089,0.4555532768793089
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-1.5110210180282593,-1.7609278662451615,-0.24990684821690223,0.24990684821690223
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.278113603591919,-0.9032995689274017,0.37481403466451724,0.37481403466451724
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-7.515892028808594,-5.222087539872291,2.2938044889363027,2.2938044889363027
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.5412219762802124,-1.31430831035199,0.22691366592822249,0.22691366592822249
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.34245041012763977,-0.34776464429891973,-0.0053142341712799634,0.0053142341712799634
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-3.265855312347412,-1.4502686549018033,1.8155866574456088,1.8155866574456088
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.16172492504119873,-1.6114108771613402,-1.4496859521201415,1.4496859521201415
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,-2.7349469661712646,-2.978774320607087,-0.24382735443582249,0.24382735443582249
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.0679545402526855,-1.8408862303788514,0.2270683098738342,0.2270683098738342
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-8.705933570861816,-5.7767629505679565,2.92917062029386,2.92917062029386
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-0.32173091173171997,-0.4512715333652437,-0.12954062163352376,0.12954062163352376
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.7372099161148071,-0.6911122938716261,0.046097622243181036,0.046097622243181036
C2H5N,None,None,imines,Ethanimine,0.0,0.009829442524292631,0.009829442524292631,0.009829442524292631
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.067409873008728,-2.2756962124725817,-1.2082863394638537,1.2082863394638537
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.2579692304134369,-1.3053341798980895,-1.0473649494846526,1.0473649494846526
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.2121331691741943,-1.9968312429952064,0.2153019261789879,0.2153019261789879
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.9579216837882996,-0.579423073003646,0.3784986107846535,0.3784986107846535
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8572229146957397,-2.138211181262797,-1.280988266567057,1.280988266567057
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-2.018087387084961,-1.772269783965621,0.24581760311933998,0.24581760311933998
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6213157176971436,-1.8719284697227678,1.7493872479743757,1.7493872479743757
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-3.018255710820725,-0.5475831033988499,0.5475831033988499
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8221453428268433,-1.0465014276459037,-0.22435608481906044,0.22435608481906044
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.521611452102661,-3.122731068613575,0.39888038348908594,0.39888038348908594
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.392246961593628,-1.8281979250334714,0.5640490365601565,0.5640490365601565
C2H4O2,None,None,carbonates_carboxylic-acids_esters,Acetic-acid,0.0,-0.6933428566582194,-0.6933428566582194,0.6933428566582194
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.1552523821592331,-0.1499989094664329,0.005253472692800187,0.005253472692800187
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4562015533447266,-0.9945376203562262,0.4616639329885004,0.4616639329885004
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.5634293556213379,-1.097417421385778,-0.53398806576444,0.53398806576444
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.18160241842269897,-0.10907908503455133,0.07252333338814765,0.07252333338814765
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-0.22368253767490387,-1.2465635847674648,-1.022881047092561,1.022881047092561
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.6010286808013916,-0.3029450465466823,0.2980836342547093,0.2980836342547093
CH3Ir40NO81,IrO2,110,amides,Formamide,-0.48171451687812805,-1.5735786756978367,-1.0918641588197087,1.0918641588197087
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.42302876710891724,-1.4285031924888267,-1.0054744253799095,1.0054744253799095
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.6709398031234741,-0.7537441446173361,-0.08280434149386195,0.08280434149386195
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-0.2056795358657837,-0.11101585752955145,0.09466367833623224,0.09466367833623224
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.808601140975952,-2.8114336964241673,-0.002832555448215146,0.002832555448215146
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.9269722700119019,-1.4373543467145504,-0.5103820767026486,0.5103820767026486
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.17663083970546722,-0.1526148142637851,0.02401602544168213,0.02401602544168213
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.6591384410858154,-1.347933988686541,0.3112044523992745,0.3112044523992745
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.7076367139816284,-0.5742198836310592,1.1334168303505692,1.1334168303505692
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-8.705933570861816,-4.685980467403965,4.019953103457851,4.019953103457851
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-0.2054898589849472,-0.9072408291979741,-0.7017509702130269,0.7017509702130269
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Ethanol,0.0,-0.34776456181989346,-0.34776456181989346,0.34776456181989346
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.193857431411743,-3.1842320494300225,0.009625381981720693,0.009625381981720693
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.7903521305135897,0.08608201684435102,0.08608201684435102
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.862529993057251,-1.8553882907515415,0.00714170230570943,0.00714170230570943
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.0807957649230957,-1.3383430079050047,0.742452757018091,0.742452757018091
