System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.2822464406490326,-0.35851944004640046,-0.07627299939736787,0.07627299939736787
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.264438271522522,-0.4119351040749635,-0.1474968325524415,0.1474968325524415
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-0.3873414728579476,0.03437831664705726,0.03437831664705726
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.367225408554077,-2.6437694562550007,0.7234559522990764,0.7234559522990764
C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,-2.0499541759490967,-2.2401769899949073,-0.19022281404581065,0.19022281404581065
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-2.3273215293884277,-1.745021531028005,0.5822999983604227,0.5822999983604227
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.2445947229862213,-1.8119448314538271,-1.5673501084676058,1.5673501084676058
C3H4,None,None,alkanes_alkenes_alkynes,Prop-1-yne,0.0,0.011723510937173387,0.011723510937173387,0.011723510937173387
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.5394166707992554,-0.5416986026423274,-0.002281931843072016,0.002281931843072016
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.770695686340332,-1.8331429323822093,-0.062447246041877236,0.062447246041877236
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.079479694366455,-2.487453823895791,-0.407974129529336,0.407974129529336
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.0700387954711914,-2.6869825232489077,0.38305627222228367,0.38305627222228367
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-1.2053968906402588,-1.5415564254174958,-0.33615953477723703,0.33615953477723703
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.8786487579345703,-2.53262425162319,0.34602450631138026,0.34602450631138026
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-1.3939512968063354,-1.0815383911670544,0.31241290563928104,0.31241290563928104
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.6126781105995178,-0.790743496294894,-0.17806538569537622,0.17806538569537622
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,-1.9168095588684082,-1.8593266592223827,0.05748289964602549,0.05748289964602549
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-1.1366097927093506,-1.230137989905181,-0.09352819719583039,0.09352819719583039
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,-2.256564140319824,-2.202208155585808,0.05435598473401626,0.05435598473401626
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.2945500910282135,-0.321781021239012,-0.027230930210798476,0.027230930210798476
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.5249937772750854,-1.1556116981507305,0.36938207912435495,0.36938207912435495
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.5034236907958984,-1.8331429323822093,-0.32971924158631083,0.32971924158631083
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.35462096333503723,-0.3795828240869312,-0.024961860751893994,0.024961860751893994
O80Ru40,RuO2,110,None,None,0.0,-1.7342947472591455,-1.7342947472591455,1.7342947472591455
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.6905152797698975,-3.1407759623708245,-0.450260682600927,0.450260682600927
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-2.636058807373047,-2.5323869117450926,0.10367189562795431,0.10367189562795431
C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,-2.370339870452881,-2.176662718053535,0.1936771523993457,0.1936771523993457
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-0.3210182785987854,-0.29807990214777647,0.022938376451008935,0.022938376451008935
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,-2.7143750190734863,-2.7017011027750613,0.01267391629842507,0.01267391629842507
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-0.37686827778816223,-0.34407408684039353,0.0327941909477687,0.0327941909477687
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.5120214223861694,-1.4311128007277452,0.08090862165842427,0.08090862165842427
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-1.2317934036254883,-1.1047662578037674,0.12702714582172092,0.12702714582172092
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.6890608072280884,-0.951923495093812,-0.26286268786572364,0.26286268786572364
