formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.2221738,-1.4291764,0.20700264,0.19399793,-1.8094125,-1.0489404,True,1.0670353
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-3.1734622,-2.635766,-0.5376961,0.54232645,-3.698726,-1.5728061,True,-0.9914621
CH3NO81Ru40,RuO2,110,oximes,Formaldoxime,-2.2565641,-1.4331219,-0.8234422,0.12200434,-1.6722504,-1.1939934,False,-6.7492867
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-3.0061305,-3.3171268,0.3109963,0.32569933,-3.9554975,-2.678756,True,0.95485705
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-3.2289321,1.1494524,0.031901672,-3.2914593,-3.166405,False,36.0311
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-1.9546603,-2.4495888,0.49492848,0.96828824,-4.347434,-0.55174375,True,0.51113755
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.142078,-1.3080084,-1.8340695,0.5041082,-2.2960606,-0.31995636,False,-3.6382458
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-2.2025943,-2.0772796,-0.12531471,0.09912702,-2.2715685,-1.8829906,True,-1.2641833
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-1.2053969,-1.3171527,0.11175585,0.21624522,-1.7409934,-0.8933121,True,0.5168015
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-1.4912084,-2.1030452,0.6118368,0.26534218,-2.623116,-1.5829746,False,2.3058407
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0534009,-1.1250832,0.071682334,0.30596903,-1.7247825,-0.5253839,True,0.2342797
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-3.2869053,-3.1235685,-0.16333675,0.1310682,-3.3804622,-2.866675,True,-1.2461966
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0534009,-0.9157749,-0.13762599,0.1417818,-1.1936672,-0.63788253,True,-0.97068864
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.961699,-2.7270746,-0.23462439,0.22651497,-3.1710439,-2.2831054,True,-1.0358008
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-4.367753,-3.8888679,-0.47888517,0.0016829976,-3.8921666,-3.885569,False,-284.543
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.5323403,-0.4816991,-0.05064118,0.10862013,-0.69459456,-0.26880366,True,-0.4662228
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156,-1.5567431,-0.031772494,0.09590437,-1.7447157,-1.3687706,True,-0.3312935
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.6405176,-1.653923,0.013405442,0.6386077,-2.905594,-0.40225196,True,0.02099167
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254027,-3.4119852,-0.21341753,0.016985653,-3.445277,-3.3786933,False,-12.564576
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-1.0374961,-2.9456654,1.9081693,0.025152724,-2.9949646,-2.8963661,False,75.86333
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.1420687,-1.7223632,0.5802945,0.18661934,-2.0881371,-1.3565893,False,3.1095088
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.38032767,-0.69587773,0.31555006,0.15971312,-1.0089154,-0.38284,False,1.9757304
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.92352736,-0.8216117,-0.10191566,0.1929397,-1.1997736,-0.44344988,True,-0.5282254
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-0.302354,-1.077661,0.77530706,0.54340863,-2.142742,-0.012580156,True,1.4267478
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.4958014,-2.6121418,0.1163404,0.017004594,-2.6454709,-2.5788128,False,6.841704
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.11526,-2.188744,0.07348418,0.7951924,-3.7473211,-0.6301669,True,0.092410564
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.6451003,-0.64777476,0.0026744604,0.29747352,-1.2308228,-0.06472665,True,0.008990583
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.9667833,-1.005357,0.038573742,0.23378569,-1.463577,-0.5471371,True,0.16499616
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.32315344,-0.6183325,0.29517907,0.11595817,-0.8456105,-0.3910545,False,2.5455651
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.4055743,-1.372709,0.9671347,0.57984525,-2.5092058,-0.23621237,True,1.6679187
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.8086011,-2.701844,-0.106757164,0.02255065,-2.7460432,-2.6576447,False,-4.734106
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.4488478,-1.7213843,-0.7274635,1.6023061,-4.861904,1.4191358,True,-0.4540103
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.3093157,-0.5612204,0.2519047,0.15583697,-0.86666083,-0.25577995,True,1.616463
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8637414,-0.6314148,-1.2323266,0.51750255,-1.6457198,0.38289022,False,-2.3812957
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-0.3217309,-0.98737264,0.6656417,0.4228448,-1.8161485,-0.15859681,True,1.5741987
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-0.3217309,-1.3080084,0.9862775,0.5041082,-2.2960606,-0.31995636,True,1.9564799
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.83044094,-0.59155345,-0.23888749,0.090382524,-0.7687032,-0.4144037,False,-2.6430717
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.9488541,-2.0368834,0.088029265,0.08452697,-2.2025561,-1.8712105,True,1.041434
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.3526405,-0.5205473,0.16790676,0.15022665,-0.8149915,-0.22610304,True,1.1176896
CH3NO80Ru40,RuO2,110,imines,Methanimine,-1.9711624,-1.9896636,0.018501163,0.024136065,-2.0369704,-1.942357,True,0.766536
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-0.36213627,-0.7150612,0.3529249,0.38120046,-1.4622141,0.032091737,True,0.925825
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.6729064,-0.60640514,-1.0665013,0.3072041,-1.2085252,-0.004285097,False,-3.4716375
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.2960935,-1.0229049,-0.2731886,0.16039607,-1.3372812,-0.7085286,True,-1.7032125
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-3.2388747,-2.5907903,-0.6480844,0.27260897,-3.125104,-2.0564766,False,-2.3773408
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.7190896,-0.06406212,0.3264726,-2.358976,-1.0792034,True,-0.19622509
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-0.37686828,-1.6229,1.2460318,0.98882127,-3.5609899,0.31518972,True,1.2601182
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.80440325,-0.7659026,-0.038500667,0.20832947,-1.1742283,-0.35757682,True,-0.18480663
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.31471437,-0.4347564,0.120042026,0.1527575,-0.73416114,-0.13535169,True,0.78583395
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-1.9818201,-1.9844952,0.0026750565,0.025340969,-2.0341635,-1.9348269,True,0.105562516
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6278195,-0.6314148,-2.9964046,0.51750255,-1.6457198,0.38289022,False,-5.7901254
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.681627,-2.5370765,-0.14455056,0.592132,-3.6976552,-1.3764977,True,-0.24411882
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.87643415,-1.1188986,0.24246448,0.28254935,-1.6726954,-0.56510186,True,0.85813147
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.9043457,-1.1054655,0.20111984,0.27925235,-1.6528001,-0.5581309,True,0.7202082
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.4718838,-2.743961,-0.7279227,0.097482495,-2.935027,-2.5528953,False,-7.467214
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.834536,-1.7870125,0.95247644,0.1786325,-2.1371322,-1.4368927,False,5.3320446
