System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.5400000214576721,-0.7276802829678672,-0.18768026151019512,0.18768026151019512
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-3.3299999237060547,-2.7429477691121633,0.5870521545938914,0.5870521545938914
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.7000000476837158,-1.6565871957558116,0.04341285192790423,0.04341285192790423
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.9700000286102295,-0.7374150475784802,0.2325849810317493,0.2325849810317493
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-0.05999999865889549,-0.2957502708751747,-0.2357502722162792,0.2357502722162792
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.690000057220459,-1.723589021008877,-0.033588963788417914,0.033588963788417914
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-1.100000023841858,-1.2260636043312871,-0.12606358048942923,0.12606358048942923
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.6299999952316284,-0.7307261753350502,-0.10072618010342183,0.10072618010342183
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.7900000214576721,-0.4838752161372497,0.3061248053204224,0.3061248053204224
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.2200000286102295,-1.1878266217335778,0.03217340687665171,0.03217340687665171
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.6399999856948853,-0.6094684933529493,0.030531492341935973,0.030531492341935973
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.690000057220459,-2.9330075763319883,-0.2430075191115293,0.2430075191115293
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-1.090000033378601,-1.0875413981494368,0.00245863522916423,0.00245863522916423
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.41999998688697815,-0.3380823369660675,0.08191764992091066,0.08191764992091066
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.5699999928474426,-0.41402851464542323,0.1559714782020194,0.1559714782020194
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.3199999928474426,-0.29990104048926014,0.020098952358182487,0.020098952358182487
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.1899999976158142,-0.30050866528915776,-0.11050866767334355,0.11050866767334355
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-3.069999933242798,-2.967231773985361,0.10276815925743676,0.10276815925743676
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8600000143051147,-1.9811086026031077,-0.12110858829799298,0.12110858829799298
