formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-1.09,-1.1352451,0.04524505,0.18683778,-1.5014472,-0.769043,True,0.24216223
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-1.34,-1.3205564,-0.019443631,0.1052885,-1.5269219,-1.1141909,True,-0.18467005
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.33,-1.3276528,-0.002347231,0.10033244,-1.5243044,-1.1310012,True,-0.023394536
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.82,-2.4758368,1.6558368,3.814986,-9.953209,5.001536,True,0.43403482
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.28,-0.46755767,0.18755767,0.18402044,-0.8282378,-0.106877595,True,1.0192219
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.24,-0.3982134,0.15821339,0.11068203,-0.61515015,-0.1812766,True,1.4294406
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-3.24,-3.3130307,0.07303071,0.2050975,-3.7150218,-2.9110396,True,0.35607803
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-2.21,-1.9228091,-0.2871909,0.101266645,-2.1212916,-1.7243265,False,-2.8359873
C2H4O2,None,None,carbonates_carboxylic-acids_esters,Acetic-acid,0.0,0.0046128035,-0.0046128035,0.060963154,-0.11487498,0.12410059,True,-0.07566544
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.84,-1.662662,-0.177338,0.123318925,-1.9043671,-1.420957,True,-1.4380437
CH3NO,None,None,amides,Formamide,0.0,-0.058187723,0.058187723,0.05943014,-0.1746708,0.058295354,True,0.9790945
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-0.25,-0.3418826,0.09188259,0.19144025,-0.7171055,0.033340305,True,0.47995436
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.68,-1.7875444,0.10754442,0.10809367,-1.999408,-1.5756807,True,0.99491876
C3H6S,None,None,thiols_thials_thioketones_thioethers,Propane-2-thione,0.0,0.068054676,-0.068054676,0.08571348,-0.09994376,0.23605311,True,-0.79397863
CH5NO80Ru40,RuO2,110,amines,Methanamine,-0.76,-0.59875494,-0.16124505,0.10787424,-0.8101885,-0.3873214,True,-1.4947503
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-2.41,-3.264606,0.8546059,0.25795078,-3.7701895,-2.7590225,False,3.3130581
C2H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethane,-0.67,-0.86670387,0.19670385,0.09024708,-1.0435882,-0.6898196,False,2.1796145
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.05,-1.8147199,-0.23528004,0.203026,-2.2126508,-1.4167889,True,-1.1588665
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.76,-0.6313797,-0.12862027,0.1100869,-0.8471501,-0.4156094,True,-1.1683521
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.16,-1.8147199,-0.34528017,0.203026,-2.2126508,-1.4167889,True,-1.7006698
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.74,-1.704571,-0.035429,0.19628187,-2.0892835,-1.3198586,True,-0.18050063
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.39,-2.1347487,-0.2552514,0.19244048,-2.5119321,-1.7575654,True,-1.3263915
C3H4,None,None,alkanes_alkenes_alkynes,Prop-1-yne,0.0,0.003447771,-0.003447771,0.08618436,-0.16547358,0.17236912,True,-0.040004604
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.24,-0.32094395,0.08094396,0.10441482,-0.525597,-0.1162909,True,0.7752152
CH2S,None,None,thiols_thials_thioketones_thioethers,Methanethial,0.0,0.082799196,-0.082799196,0.05973865,-0.034288563,0.19988695,True,-1.3860239
C2H4O,None,None,alcohols_aldehydes_ketones_ethers,Acetaldehyde,0.0,0.06802583,-0.06802583,0.062641084,-0.054750703,0.19080237,True,-1.0859618
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-1.22,-1.76307,0.54306996,0.10437618,-1.9676473,-1.5584927,False,5.2030067
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-8.0,-2.4758368,-5.5241632,3.814986,-9.953209,5.001536,True,-1.4480166
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-2.99,-2.6638162,-0.3261838,0.3020267,-3.2557886,-2.0718439,True,-1.0799834
CH2O2,None,None,carbonates_carboxylic-acids_esters,Formic-acid,0.0,0.034389257,-0.034389257,0.050006803,-0.06362408,0.1324026,True,-0.68769157
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-2.05,-1.9906576,-0.059342384,0.12204948,-2.2298746,-1.7514405,True,-0.4862158
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.13,-2.0245657,-0.10543442,0.10187755,-2.2242458,-1.8248857,True,-1.0349132
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-1.83,-2.0110083,0.18100822,0.10366229,-2.2141864,-1.8078302,True,1.7461337
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.44,-1.5178552,0.07785511,0.23375115,-1.9760075,-1.0597029,True,0.33306834
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.8,-3.1367774,0.33677745,0.14319883,-3.417447,-2.8561077,False,2.351817
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.17,-2.8485422,-0.32145786,0.37118268,-3.5760603,-2.1210241,True,-0.86603683
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.43,-2.4593477,0.029347658,0.120076306,-2.6946974,-2.223998,True,0.2444084
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-1.21,-1.1431011,-0.06689894,0.15072185,-1.4385159,-0.8476863,True,-0.44385695
