formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C3H9N,None,None,amines,Trimethylamine,initial,0.0,0.0017877817,0.012064489,-0.021858616,0.02543418,True,-0.0017877817,train,tensor([False]),-0.14818545
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.0674193,-1.1716734,0.22324938,-1.6092422,-0.73410463,True,0.10425413,train,tensor([False]),0.46698508
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-2.5745344,-2.5762234,0.074076355,-2.7214131,-2.4310336,True,0.0016889572,train,tensor([False]),0.02280022
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,initial,-0.24069108,-0.23477113,0.033297744,-0.3000347,-0.16950756,True,-0.005919948,train,tensor([False]),-0.17778827
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,initial,-0.8205998,-0.39989775,0.23931569,-0.8689565,0.069161,True,-0.42070204,train,tensor([False]),-1.7579376
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,initial,-2.5044348,-1.5010042,0.4166524,-2.317643,-0.68436545,False,-1.0034306,train,tensor([False]),-2.408316
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.39471167,-0.34807086,0.048243493,-0.44262812,-0.2535136,True,-0.046640813,train,tensor([False]),-0.96677935
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,initial,-1.8343639,-1.7932823,0.096854284,-1.9831166,-1.6034479,True,-0.041081667,train,tensor([False]),-0.42415953
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Methoxymethane,initial,0.0,-0.0004941225,0.010374612,-0.020828363,0.019840118,True,0.0004941225,train,tensor([False]),0.047628045
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-2.45996,-2.3561053,0.09810219,-2.5483856,-2.163825,True,-0.103854656,train,tensor([True]),-1.0586375
CH3Ir40NO81,IrO2,110,amides,Formamide,relaxed,-0.48171452,-0.43949956,0.06256016,-0.56211746,-0.31688163,True,-0.04221496,train,tensor([False]),-0.6747898
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-0.8117674,-0.85583776,0.084102035,-1.0206778,-0.6909978,True,0.044070363,train,tensor([False]),0.52401066
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-1.8486065,-1.6605409,0.2353136,-2.1217556,-1.1993263,True,-0.18806553,train,tensor([False]),-0.79921234
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,initial,-0.44448346,-1.4478488,1.7335005,-4.8455095,1.9498122,True,1.0033653,train,tensor([False]),0.5788088
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.3093157,-0.2950362,0.08001904,-0.45187354,-0.13819887,True,-0.014279515,train,tensor([False]),-0.17845146
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.7155645,-1.6013339,0.2825761,-2.155183,-1.0474846,True,-0.11423063,train,tensor([False]),-0.4042473
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-1.2030253,-1.1907357,0.0476561,-1.2841417,-1.0973297,True,-0.012289643,train,tensor([False]),-0.25788185
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,initial,-1.8287824,-1.7492259,0.39100268,-2.5155911,-0.98286057,True,-0.079556584,train,tensor([False]),-0.20346813
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,initial,-3.1938574,-3.3818688,0.18890831,-3.752129,-3.0116086,True,0.18801141,train,tensor([False]),0.9952522
CH3Ir40NO81,IrO2,110,amides,Formamide,initial,-3.6213157,-2.3570895,1.1992955,-4.707709,-0.0064702034,True,-1.2642262,train,tensor([False]),-1.0541407
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,initial,-1.1420687,-1.2070149,0.17352079,-1.5471157,-0.86691415,True,0.064946175,train,tensor([False]),0.37428468
C2H5NO81Ru40,RuO2,110,amides,Acetamide,initial,-1.9644679,-0.8749,0.9426295,-2.7224538,0.97265387,True,-1.0895679,train,tensor([False]),-1.1558814
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,initial,-1.2960935,-1.3068379,0.10116833,-1.5051279,-1.1085479,True,0.0107444525,train,tensor([False]),0.10620372
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,initial,-1.2037108,-1.2225112,0.09401513,-1.4067808,-1.0382415,True,0.018800378,train,tensor([False]),0.19997184
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-2.681627,-2.7770653,0.13731477,-3.0462022,-2.5079284,True,0.09543824,train,tensor([False]),0.6950326
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,initial,-1.863451,-1.8567171,0.09723723,-2.047302,-1.6661321,True,-0.0067338943,train,tensor([False]),-0.06925222
CH3NO,None,None,oximes,Formaldoxime,relaxed,0.0,-0.001565814,0.0060009533,-0.013327682,0.010196054,True,0.001565814,train,tensor([False]),0.26092756
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,initial,-1.9465513,-1.9256644,0.07430022,-2.0712929,-1.780036,True,-0.020886898,train,tensor([False]),-0.28111488
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,initial,-2.8311126,-2.7994332,0.07148771,-2.9395492,-2.6593173,True,-0.03167939,train,tensor([False]),-0.4431446
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,initial,-0.45167613,-0.350721,0.07252746,-0.49287483,-0.20856717,True,-0.10095513,train,tensor([False]),-1.3919573
C2H4O2,None,None,carbonates_carboxylic-acids_esters,Acetic-acid,initial,0.0,0.0004826784,0.005831926,-0.010947897,0.011913254,True,-0.0004826784,train,tensor([False]),-0.082764834
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-0.15899904,-0.24455225,0.04419865,-0.33118162,-0.1579229,True,0.085553214,train,tensor([False]),1.9356521
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,initial,-2.4488478,-2.566338,0.4983179,-3.5430412,-1.5896349,True,0.11749029,train,tensor([False]),0.23577377
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-0.36347976,-0.30424726,0.075847864,-0.45290908,-0.15558544,True,-0.059232503,train,tensor([False]),-0.7809383
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.07488867,-0.90286386,0.6460555,-2.1691327,0.363405,True,0.8279752,train,tensor([False]),1.2815852
