formula,material,surface,molecule_group,molecule,state,y_true,y_mean,y_std,y_min,y_max,in_interval,error,split,dissociation,norm_res
C3H9N,None,None,amines,Trimethylamine,initial,0.0,0.007956624,0.009289201,-0.010250211,0.026163459,True,-0.007956624,train,tensor([False]),-0.85654557
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,relaxed,-1.0674193,-1.1380647,0.22172885,-1.5726533,-0.7034762,True,0.07064545,train,tensor([False]),0.31861192
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-2.5745344,-2.5929499,0.02757995,-2.6470065,-2.5388932,True,0.018415451,train,tensor([False]),0.66771156
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,initial,-0.24069108,-0.24086022,0.006337496,-0.2532817,-0.22843874,True,0.00016914308,train,tensor([False]),0.026689261
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,initial,-0.8205998,-0.4116335,0.30641627,-1.0122094,0.18894243,True,-0.4089663,train,tensor([False]),-1.3346756
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,initial,-2.5044348,-2.4021292,0.09484194,-2.5880194,-2.216239,True,-0.10230565,train,tensor([False]),-1.0786963
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-0.39471167,-0.31844854,0.053083394,-0.422492,-0.21440509,True,-0.07626313,train,tensor([False]),-1.4366665
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,initial,-1.8343639,-1.8147397,0.05753873,-1.9275156,-1.7019638,True,-0.019624233,train,tensor([False]),-0.3410613
C2H6O,None,None,alcohols_aldehydes_ketones_ethers,Methoxymethane,initial,0.0,-0.0003386736,0.0041773827,-0.008526344,0.007848997,True,0.0003386736,train,tensor([False]),0.08107316
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,relaxed,-2.45996,-2.4505117,0.031219706,-2.5117023,-2.389321,True,-0.00944829,train,tensor([True]),-0.30263865
CH3Ir40NO81,IrO2,110,amides,Formamide,relaxed,-0.48171452,-0.47660458,0.03990921,-0.5548266,-0.39838254,True,-0.005109936,train,tensor([False]),-0.12803902
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,relaxed,-0.8117674,-0.80681896,0.116329186,-1.0348241,-0.57881373,True,-0.004948437,train,tensor([False]),-0.042538226
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,relaxed,-1.8486065,-1.8409868,0.15165475,-2.13823,-1.5437435,True,-0.0076196194,train,tensor([False]),-0.050243195
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,initial,-0.44448346,-0.5599172,0.33786914,-1.2221408,0.10230631,True,0.11543375,train,tensor([False]),0.34165224
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-0.3093157,-0.3164034,0.013779104,-0.34341043,-0.28939635,True,0.0070876777,train,tensor([False]),0.5143787
C2H5NO81Ru40,RuO2,110,amides,Acetamide,relaxed,-1.7155645,-1.6576402,0.02453072,-1.7057204,-1.60956,False,-0.05792427,train,tensor([False]),-2.3612952
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,relaxed,-1.2030253,-1.1905265,0.013232362,-1.2164619,-1.1645911,True,-0.012498856,train,tensor([False]),-0.9445672
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,initial,-1.8287824,-1.7958771,0.10272108,-1.9972104,-1.5945438,True,-0.03290534,train,tensor([False]),-0.3203368
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,initial,-3.1938574,-3.2402186,0.079320095,-3.3956861,-3.0847511,True,0.046361208,train,tensor([False]),0.5844825
CH3Ir40NO81,IrO2,110,amides,Formamide,initial,-3.6213157,-2.958007,1.2134529,-5.336375,-0.5796392,True,-0.6633086,train,tensor([False]),-0.5466291
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,initial,-1.1420687,-1.1413519,0.017071137,-1.1748114,-1.1078925,True,-0.00071680546,train,tensor([False]),-0.041989323
C2H5NO81Ru40,RuO2,110,amides,Acetamide,initial,-1.9644679,-1.2976484,0.56938237,-2.4136379,-0.18165898,True,-0.66681945,train,tensor([False]),-1.1711277
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,initial,-1.2960935,-1.2969247,0.013607989,-1.3235964,-1.2702531,True,0.0008312464,train,tensor([False]),0.061085172
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,initial,-1.2037108,-1.1811002,0.018275755,-1.2169207,-1.1452798,True,-0.022610545,train,tensor([False]),-1.2371881
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,relaxed,-2.681627,-2.8195515,0.066707514,-2.9502983,-2.6888046,False,0.13792443,train,tensor([False]),2.0675995
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,initial,-1.863451,-1.8388178,0.024090447,-1.8860351,-1.7916006,True,-0.02463317,train,tensor([False]),-1.0225285
CH3NO,None,None,oximes,Formaldoxime,relaxed,0.0,-2.670288e-05,0.002323648,-0.004581053,0.004527647,True,2.670288e-05,train,tensor([False]),0.011491793
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,initial,-1.9465513,-1.944361,0.023598798,-1.9906147,-1.8981073,True,-0.0021903515,train,tensor([False]),-0.09281623
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,initial,-2.8311126,-2.8050747,0.049448486,-2.9019938,-2.7081556,True,-0.026037931,train,tensor([False]),-0.5265668
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,initial,-0.45167613,-0.41529214,0.084581725,-0.58107233,-0.24951196,True,-0.036383986,train,tensor([False]),-0.43016368
C2H4O2,None,None,carbonates_carboxylic-acids_esters,Acetic-acid,initial,0.0,-1.2397766e-05,0.006133112,-0.012033298,0.012008502,True,1.2397766e-05,train,tensor([False]),0.0020214478
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,relaxed,-0.15899904,-0.16906679,0.011562969,-0.1917302,-0.14640337,True,0.010067746,train,tensor([False]),0.8706887
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,initial,-2.4488478,-2.4444442,0.052253652,-2.5468614,-2.342027,True,-0.004403591,train,tensor([False]),-0.08427337
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-0.36347976,-0.3634361,0.007217735,-0.37758288,-0.34928933,True,-4.3660402e-05,train,tensor([False]),-0.006049045
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,relaxed,-0.07488867,-0.15288818,0.06613461,-0.282512,-0.023264349,True,0.07799951,train,tensor([False]),1.1794053
C2H5NO80Ru40,RuO2,110,imines,Ethanimine,relaxed,-1.9186039,-1.8782939,0.016135423,-1.9099193,-1.8466685,False,-0.040310025,train,tensor([False]),-2.498232
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,relaxed,-1.5249938,-1.5216665,0.016919542,-1.5548289,-1.4885042,True,-0.0033272505,train,tensor([True]),-0.19665132
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,initial,-1.3747121,-1.3772563,0.015108238,-1.4068685,-1.3476441,True,0.0025441647,train,tensor([False]),0.16839586
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-1.8988724,-1.9345143,0.082720615,-2.0966468,-1.7723819,True,0.03564191,train,tensor([False]),0.43087092
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,initial,-1.9818201,-1.9746416,0.01999733,-2.0138364,-1.9354467,True,-0.007178545,train,tensor([False]),-0.35897517
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,initial,-2.3588436,-1.180516,0.8815816,-2.908416,0.547384,True,-1.1783276,train,tensor([False]),-1.3366064
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,initial,-2.681627,-2.664991,0.24614958,-3.147444,-2.1825378,True,-0.016636133,train,tensor([False]),-0.06758546
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,initial,-2.6325107,-2.640615,0.04030482,-2.7196124,-2.5616176,True,0.008104324,train,tensor([False]),0.2010758
C2H5Ir40NO81,IrO2,110,amides,Acetamide,initial,-2.6719637,-1.2113757,0.96855384,-3.1097412,0.6869899,True,-1.460588,train,tensor([False]),-1.5080091
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,initial,-0.63318497,-0.6334404,0.02162867,-0.67583257,-0.5910482,True,0.0002554059,train,tensor([False]),0.011808673
CH3NO81Ru40,RuO2,110,amides,Formamide,initial,-2.5132828,-2.0011158,0.38896397,-2.7634852,-1.2387464,True,-0.512167,train,tensor([False]),-1.3167466
C2H4O,None,None,alcohols_aldehydes_ketones_ethers,Acetaldehyde,initial,0.0,-0.00015091896,0.0026320764,-0.005309789,0.005007951,True,0.00015091896,train,tensor([False]),0.05733837
CH2O3,None,None,carbonates_carboxylic-acids_esters,Carbonic-acid,initial,0.0,-8.428097e-05,0.003195631,-0.006347718,0.0061791562,True,8.428097e-05,train,tensor([False]),0.026373811
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,initial,-1.6591384,-1.6499128,0.018743293,-1.6866497,-1.613176,True,-0.009225607,train,tensor([False]),-0.49220842
CH3NO80Ru40,RuO2,110,imines,Methanimine,initial,-1.9711624,-1.5800898,0.2936639,-2.1556711,-1.0045085,True,-0.39107263,train,tensor([False]),-1.3317015
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,initial,-0.2685277,-0.26827967,0.004223515,-0.27655777,-0.26000157,True,-0.00024801493,train,tensor([False]),-0.0587224
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,initial,-0.13535583,-0.28696024,0.06259495,-0.40964633,-0.16427414,False,0.15160441,train,tensor([False]),2.421991
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,relaxed,-3.477344,-3.4281573,0.071917504,-3.5691156,-3.287199,True,-0.049186707,train,tensor([True]),-0.68393236
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,relaxed,-0.8205998,-0.8446482,1.0224191,-2.8485897,1.1592934,True,0.024048388,train,tensor([False]),0.023521068
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,relaxed,-1.309339,-1.3105023,0.0121252965,-1.3342679,-1.2867367,True,0.0011632442,train,tensor([False]),0.09593532
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,relaxed,-3.1990073,-3.1761396,0.03793109,-3.2504845,-3.1017947,True,-0.02286768,train,tensor([True]),-0.60287434
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,initial,-1.3393352,-1.2825257,0.112382375,-1.5027951,-1.0622562,True,-0.056809545,train,tensor([False]),-0.5055023
