System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.7550243715859324,0.07951164440146385,0.07951164440146385
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.6472492737984794,-0.23602681591273722,0.23602681591273722
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.530931863150272,-0.40846291478601415,0.40846291478601415
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.8734968695721363,0.0029372777858043264,0.0029372777858043264
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.7892265889558985,-0.10428970789052983,0.10428970789052983
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.45063757463640286,-0.26768129631227566,0.26768129631227566
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-1.8993892614348624,-0.046622389982530876,0.046622389982530876
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.513161539917462,0.26710248004866344,0.26710248004866344
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.408439465923948,0.1147035871308617,0.1147035871308617
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.2449789184664724,-0.6114090222453115,0.6114090222453115
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-1.9213060435827174,0.20707711605473378,0.20707711605473378
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.46579974632140875,0.01602795977714777,0.01602795977714777
