System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.6407973515688354,0.1937386644185608,0.1937386644185608
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.7497957310133643,-0.3385732731276221,0.3385732731276221
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.6340851615395877,-0.5116162131753299,0.5116162131753299
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.9167445317568763,-0.04031038439893564,0.04031038439893564
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.7934647457848314,-0.10852786471946274,0.10852786471946274
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.41495114384406406,-0.23199486551993687,0.23199486551993687
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-1.96269085219501,-0.1099239807426784,0.1099239807426784
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.478222339941226,0.3020416800248995,0.3020416800248995
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.3804354720668925,0.14270758098791703,0.14270758098791703
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.2374464895843857,-0.6038765933632249,0.6038765933632249
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-1.916178774952641,0.21220438468481007,0.21220438468481007
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.36759481561421126,0.11423289048434526,0.11423289048434526
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.6067414457681934,-0.018225806463078698,0.018225806463078698
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.7783967442683206,0.28136811779222626,0.28136811779222626
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.9861551365811465,-0.11799023961611965,0.11799023961611965
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.0625613874840383,0.06414783530954082,0.06414783530954082
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.7332241251178857,-0.14789179107629025,0.14789179107629025
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.2995206839023012,-0.2435433393893618,0.2435433393893618
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.6426950020068034,-0.017292313026700867,0.017292313026700867
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.6493458314216696,-0.17867322399979457,0.17867322399979457
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-1.0184857539370569,-0.5306175045207056,0.5306175045207056
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.219198055225206,0.4918739128534071,0.4918739128534071
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.46715460917585006,0.004676980761360028,0.004676980761360028
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.235146099970052,0.18122548396854654,0.18122548396854654
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.4679088164048153,0.309482617311005,0.309482617311005
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-1.1693218190491734,-0.6802334923565923,0.6802334923565923
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-0.9404350785409861,1.40064105709439,1.40064105709439
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.3875401322129619,-0.06429910700353503,0.06429910700353503
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-2.721163504996184,0.10994911821853748,0.10994911821853748
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-0.743570854513564,0.5356974102569438,0.5356974102569438
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.9233978986740112,-2.3721654759724515,-0.4487675772984403,0.4487675772984403
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.1561923027038574,-2.6719820737644113,-0.5157897710605539,0.5157897710605539
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-0.8559290857128872,-0.4342092962078823,0.4342092962078823
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-1.7547149450722372,-1.3726136178913748,1.3726136178913748
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742330551147,-1.0026611847711138,0.02091304828400098,0.02091304828400098
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-2.0178627967834473,-0.8708492681062125,1.1470135286772347,1.1470135286772347
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.5634293556213379,-0.7921130869390254,-0.2286837313176875,0.2286837313176875
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.25239330530166626,-0.4297647931030042,-0.17737148780133793,0.17737148780133793
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.9194198250770569,-0.8054500351095157,0.11396978996754115,0.11396978996754115
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-0.30235400795936584,-0.7031796119945284,-0.40082560403516254,0.40082560403516254
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.34245041012763977,-0.41495114384406406,-0.07250073371642429,0.07250073371642429
CH3NO81Ru40,RuO2,110,amides,Formamide,-1.3570019006729126,-1.478414934132843,-0.12141303345993038,0.12141303345993038
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.2037107944488525,-1.286386067101148,-0.08267527265229546,0.08267527265229546
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.807983068503745,-0.09691110042513174,0.09691110042513174
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-1.6991528272628784,-1.71237658054838,-0.013223753285501516,0.013223753285501516
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.409914255142212,-2.3721654759724515,0.03774877916976038,0.03774877916976038
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-2.357088088989258,-2.541396312502002,-0.184308223512744,0.184308223512744
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-0.6447801723361408,-0.2626788451552784,0.2626788451552784
