System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.9233509117273115,-0.0888148957399153,0.0888148957399153
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.606584106149967,-0.19536164826422464,0.19536164826422464
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.6069651878265176,-0.48449623946225984,0.48449623946225984
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.8937801637448501,-0.01734601638690947,0.01734601638690947
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.7903979713837543,-0.10546109031838569,0.10546109031838569
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.3854411643378626,-0.20248488601373538,0.20248488601373538
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-2.0805092680693633,-0.22774239661703177,0.22774239661703177
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.521792682132343,0.2584713378337824,0.2584713378337824
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.520795286871362,0.002347766183447675,0.002347766183447675
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.0840368328040313,-0.4504669365828704,0.4504669365828704
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-2.047882652075714,0.08050050756173732,0.08050050756173732
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.4195832864756994,0.062244419622857095,0.062244419622857095
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.6101210708670806,-0.021605431561965815,0.021605431561965815
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.857375155752379,0.20238970630816766,0.20238970630816766
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-2.089510715361939,-0.22134581839691236,0.22134581839691236
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.1017365976586007,0.024972625134978443,0.024972625134978443
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.701089562051493,-0.11575722800989752,0.11575722800989752
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.245830153398856,-0.1898528088859166,0.1898528088859166
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.519144042991684,0.10625864598841872,0.10625864598841872
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.8770343754495116,-0.40636176802763657,0.40636176802763657
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.9225744792029218,-0.4347062297865705,0.4347062297865705
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.219462218834451,0.49160974924416223,0.49160974924416223
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.3522588647665543,0.11957272517065576,0.11957272517065576
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.4063101694277975,0.010061414510801114,0.010061414510801114
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.762531743126601,0.014859690589219099,0.014859690589219099
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-0.7506322900444502,-0.261543963351869,0.261543963351869
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-1.0822467989673896,1.2588293366679864,1.2588293366679864
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.3719966586759256,-0.04875563346649869,0.04875563346649869
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-2.7846789453569727,0.04643367785774899,0.04643367785774899
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-0.653832957994382,0.6254353067761258,0.6254353067761258
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.9233978986740112,-2.4149376255836614,-0.4915397269096502,0.4915397269096502
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.1561923027038574,-2.504355440649306,-0.3481631379454484,0.3481631379454484
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-1.0619975797310417,-0.6402777902260368,0.6402777902260368
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-1.7623587275925274,-1.380257400411665,1.380257400411665
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742330551147,-0.9869041629149251,0.03667007014018964,0.03667007014018964
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-2.0178627967834473,-0.9076038924165459,1.1102589043669013,1.1102589043669013
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.5634293556213379,-0.9180401927987987,-0.3546108371774608,0.3546108371774608
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.25239330530166626,-0.4663613952725427,-0.21396808997087646,0.21396808997087646
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.9194198250770569,-0.8821252701254707,0.03729455495158618,0.03729455495158618
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-0.30235400795936584,-0.4714682370176888,-0.16911422905832296,0.16911422905832296
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.34245041012763977,-0.3854411643378626,-0.042990754210222804,0.042990754210222804
CH3NO81Ru40,RuO2,110,amides,Formamide,-1.3570019006729126,-1.6265712209160483,-0.26956932024313573,0.26956932024313573
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.2037107944488525,-1.2636907434584828,-0.05997994900963022,0.05997994900963022
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.7393797068752974,-0.028307738796684134,0.028307738796684134
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-1.6991528272628784,-1.699933203145065,-0.0007803758821864903,0.0007803758821864903
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.409914255142212,-2.4149376255836614,-0.005023370441449515,0.005023370441449515
CH4N2O80Ru40,RuO2,110,amidines,Formimidamide,-2.357088088989258,-2.4923333451515646,-0.13524525616230676,0.13524525616230676
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-0.46336918803990557,-0.08126786085904314,0.08126786085904314
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.8651270866394043,-2.470237119749072,0.3948899668903323,0.3948899668903323
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-0.4940979778766632,-0.7640802905716555,-0.2699823126949923,0.2699823126949923
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.42198026180267334,-0.579860699981964,-0.15788043817929065,0.15788043817929065
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-0.2054898589849472,-0.8525934175831935,-0.6471035585982463,0.6471035585982463
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.9988272190093994,-1.095870567115071,-0.09704334810567161,0.09704334810567161
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-0.6878052353858948,-1.202660483713089,-0.5148552483271942,0.5148552483271942
C3H4,None,None,alkanes_alkenes_alkynes,Prop-1-yne,0.0,0.00046692011619597906,0.00046692011619597906,0.00046692011619597906
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.312835156917572,-0.3400555183252436,-0.02722036140767159,0.02722036140767159
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.102449893951416,-1.9857839577871346,0.11666593616428145,0.11666593616428145
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.6320947408676147,-1.6244694059308813,0.007625334936733452,0.007625334936733452
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-0.6961441040039062,-0.9918346344766178,-0.29569053047271154,0.29569053047271154
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.521611452102661,-2.9384289146428273,0.5831825374598338,0.5831825374598338
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881102800369263,-1.932937738527471,-0.044827458490544814,0.044827458490544814
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9952746629714966,-2.01868028096942,-0.0234056179979234,0.0234056179979234
CH3NO80Ru40,RuO2,110,imines,Methanimine,-0.18569591641426086,-0.32105019997106865,-0.1353542835568078,0.1353542835568078
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.133575439453125,-2.183093807264413,-0.049518367811288044,0.049518367811288044
CH3Ir40NO80,IrO2,110,imines,Methanimine,-0.5223361849784851,-1.185105323548214,-0.662769138569729,0.662769138569729
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-0.5261513590812683,-0.5120710393980517,0.014080319683216658,0.014080319683216658
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.4582784175872803,-2.751258874434825,-0.2929804568475447,0.2929804568475447
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.6591384410858154,-1.6244694059308813,0.034669035154934136,0.034669035154934136
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.38032767176628113,-0.4706094642624521,-0.09028179249617097,0.09028179249617097
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-0.36213627457618713,-0.7323841523275405,-0.37024787775135337,0.37024787775135337
CH5Ir40NO80,IrO2,110,amines,Methanamine,-1.3857760429382324,-1.352776538791602,0.03299950414663044,0.03299950414663044
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-2.2366387844085693,-2.2542050360043504,-0.01756625159578107,0.01756625159578107
CH5Ir40NO80,IrO2,110,amines,Methanamine,-0.4044719338417053,-0.7208312726202166,-0.3163593387785113,0.3163593387785113
C2H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethene,-1.916296362876892,-1.8551873503911338,0.061109012485758285,0.061109012485758285
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-3.367225408554077,-3.307669263556818,0.05955614499725925,0.05955614499725925
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.908511161804199,-2.857375155752379,0.051136006051820004,0.051136006051820004
C2H6N2O80Ru40,RuO2,110,amidines,Acetimidamide,-1.548731803894043,-1.7687891591735934,-0.2200573552795504,0.2200573552795504
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-2.162959575653076,-2.1712876703377333,-0.008328094684657117,0.008328094684657117
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.36347976326942444,-0.6018541883968282,-0.2383744251274038,0.2383744251274038
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.33643868565559387,-0.6441771875647646,-0.30773850190917074,0.30773850190917074
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-1.1907885074615479,-1.2016863050836264,-0.010897797622078542,0.010897797622078542
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-1.3276252746582031,-1.1571582116362151,0.170467063021988,0.170467063021988
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-2.0159335136413574,-1.121386427798143,0.8945470858432145,0.8945470858432145
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.65096378326416,-2.696114359467174,-0.04515057620301377,0.04515057620301377
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7734941244125366,-1.4590665955057887,0.31442752890674797,0.31442752890674797
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7412270903587341,-0.5646339335457924,0.17659315681294174,0.17659315681294174
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.480530261993408,-2.416718319694155,0.06381194229925313,0.06381194229925313
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.2258380651474,-1.5200199041929636,-0.2941818390455637,0.2941818390455637
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-3.4744653701782227,-2.4887401416053763,0.9857252285728464,0.9857252285728464
C2H5Ir40NO80,IrO2,110,imines,Ethanimine,-0.10763505846261978,-0.6734674726094454,-0.5658324141468256,0.5658324141468256
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.3388409614562988,-1.8023840336154535,-0.4635430721591547,0.4635430721591547
C3H8O,None,None,alcohols_aldehydes_ketones_ethers,Propan-2-ol,0.0,-0.001217122892740008,-0.001217122892740008,0.001217122892740008
C2H2Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Acetylene,-2.0215625762939453,-0.7794992745975833,1.242063301696362,1.242063301696362
CH3NO81Ru40,RuO2,110,amides,Formamide,-1.6291782855987549,-1.6265712209160483,0.0026070646827065502,0.0026070646827065502
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-0.2945500910282135,-0.3506288114003837,-0.05607872037217021,0.05607872037217021
CH3NO80Ru40,RuO2,110,imines,Methanimine,-1.9711624383926392,-1.9878776833643315,-0.0167152449716923,0.0167152449716923
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.6252017617225647,-0.8901643038307157,-0.26496254210815096,0.26496254210815096
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7734941244125366,-1.4605943901686942,0.31289973424384243,0.31289973424384243
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.9463276863098145,-2.2902155854221746,-0.3438878991123602,0.3438878991123602
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-0.37686827778816223,-0.8584451476808681,-0.48157686989270587,0.48157686989270587
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.814609169960022,-1.6417488634054962,0.17286030655452578,0.17286030655452578
CH3NO81Ru40,RuO2,110,amides,Formamide,-0.37608617544174194,-0.35225042888487224,0.023835746556869708,0.023835746556869708
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.19244620203971863,-0.3187927580329415,-0.12634655599322286,0.12634655599322286
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.48616594076156616,-0.448195145864247,0.03797079489731914,0.03797079489731914
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-0.9269722700119019,-1.3502333426595499,-0.423261072647648,0.423261072647648
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.6625016927719116,-1.7977753306836348,-0.1352736379117232,0.1352736379117232
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.278113603591919,-1.2618192129791623,0.016294390612756615,0.016294390612756615
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.2579692304134369,-0.9180353120386826,-0.6600660816252457,0.6600660816252457
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.40236806869506836,-0.3197848177187552,0.08258325097631314,0.08258325097631314
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.6405175924301147,-1.4590665955057887,0.1814509969243261,0.1814509969243261
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.8045260906219482,-0.6018541883968282,1.20267190222512,1.20267190222512
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.1545283943414688,-0.6539693179961432,-0.4994409236546744,0.4994409236546744
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.717263102531433,-1.6874993161086422,0.029763786422790872,0.029763786422790872
C2H5N,None,None,imines,Ethanimine,0.0,-0.0005782856242149137,-0.0005782856242149137,0.0005782856242149137
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-3.193857431411743,-2.807534279598258,0.3863231518134853,0.3863231518134853
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-2.414055347442627,-1.8822208864451113,0.5318344609975156,0.5318344609975156
CH3NO81Ru40,RuO2,110,amides,Formamide,-1.6173105239868164,-1.6250915823330843,-0.007781058346267855,0.007781058346267855
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.69297194480896,-1.6545933971109434,0.03837854769801652,0.03837854769801652
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-2.42152738571167,-1.826543073114408,0.594984312597262,0.594984312597262
C2H4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.8227038383483887,-0.9918346344766178,0.8308692038717709,0.8308692038717709
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.25239330530166626,-0.4663613952725427,-0.21396808997087646,0.21396808997087646
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.3427651822566986,-1.4586725117866024,-1.1159073295299038,1.1159073295299038
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-2.4551968574523926,-2.1684151321123863,0.28678172534000623,0.28678172534000623
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.5412219762802124,-1.656599404582721,-0.11537742830250863,0.11537742830250863
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.0015599727630615,-2.098074521164108,-0.09651454840104634,0.09651454840104634
CH4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-1.6977403163909912,-1.853718000571007,-0.15597768418001579,0.15597768418001579
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.5034236907958984,-1.7009486422743976,-0.19752495147849913,0.19752495147849913
CH4,None,None,alkanes_alkenes_alkynes,Methane,0.0,0.0005791173425677698,0.0005791173425677698,0.0005791173425677698
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.41814878582954407,-1.444381664996854,-1.0262328791673099,1.0262328791673099
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-3.0411778330180823,0.018587029042464565,0.018587029042464565
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.7256453633308411,-0.6241761338906144,0.10146922944022663,0.10146922944022663
