System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.7599127239955124,0.07462329199188389,0.07462329199188389
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.513981263698952,-0.10275880581320962,0.10275880581320962
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.5970236820330683,-0.4745547336688105,0.4745547336688105
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.899126946067554,-0.02269279870961327,0.02269279870961327
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.7894376968949928,-0.10450081582962412,0.10450081582962412
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.43602548269336694,-0.25306920436923974,0.25306920436923974
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-1.90323298053886,-0.05046610908652838,0.05046610908652838
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.4837367477521752,0.29652727221395025,0.29652727221395025
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.4592830068722833,0.06386004618252628,0.06386004618252628
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.0519316748109304,-0.41836177858976953,0.41836177858976953
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-1.8598679993424412,0.26851516029501,0.26851516029501
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.4732113311983994,0.008616374900157098,0.008616374900157098
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.6196326630403064,-0.03111702373519165,0.03111702373519165
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.839451558455039,0.22031330360550783,0.22031330360550783
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.908335815240207,-0.040170918275180156,0.040170918275180156
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.0577212401126417,0.06898798268093742,0.06898798268093742
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.7107985387920053,-0.12546620475040982,0.12546620475040982
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.3613966709144734,-0.3054193264015339,0.3054193264015339
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.7110786691737303,-0.08567598019362777,0.08567598019362777
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.8126378675033266,-0.34196526008145156,0.34196526008145156
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.8987707710916766,-0.41090252167532526,0.41090252167532526
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.519933621813834,0.1911383462647791,0.1911383462647791
