formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-3.1314373,0.3405397,0.13395464,-3.3939884,-2.8688862,False,2.5422015
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.7460817,-0.38749373,0.89766186,-3.505499,0.013335586,True,-0.43167004
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-2.297442,-0.4438374,0.6311399,-3.5344763,-1.0604078,True,-0.70323145
C2H5N,None,None,imines,Ethanimine,0.0,0.0010973215,-0.0010973215,0.0032574038,-0.00528719,0.007481833,True,-0.33686996
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.5917785,-0.48770118,0.4117776,-2.3988626,-0.78469443,True,-1.18438
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.4709981,0.2835014,0.1585153,-0.7816881,-0.1603081,True,1.7884796
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.2950063,0.46629095,0.47153795,-3.2192206,-1.3707919,True,0.9888726
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.4514972,0.14215815,0.896055,-3.207765,0.3047706,True,0.15864891
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.89877075,-1.2869432,0.9646958,-2.7895746,0.99203306,True,-1.3340404
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.3729777,-1.9647477,0.9774075,-3.2886965,0.54274106,False,-2.010162
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.80855066,0.2838518,0.6910317,-2.1629727,0.54587144,True,0.41076523
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.546664,0.15806794,0.298835,-1.1323806,0.039052606,True,0.5289472
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.84177536,0.7668867,0.70207727,-2.2178469,0.5342961,True,1.092311
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-1.1141362,0.27465445,0.38721773,-1.873083,-0.35518944,True,0.70930237
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.79030454,0.5323353,1.1903011,-3.1232948,1.5426856,True,0.44722742
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.861588,-0.24595666,0.41984373,-2.6844816,-1.0386943,True,-0.5858291
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.337606,0.14977634,0.1130876,-1.5592576,-1.1159543,True,1.3244276
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-1.0593506,0.039559722,0.1465813,-1.34665,-0.7720512,True,0.26988244
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.5521855,-0.02234888,0.04078486,-2.632124,-2.4722471,True,-0.54797006
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.4922449,0.3025378,0.43175817,-1.338491,0.3540011,True,0.70071125
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.3685458,-0.0078219175,0.10399328,-1.5723726,-1.164719,True,-0.07521561
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.894936,-0.32092977,0.1554495,-3.1996171,-2.590255,False,-2.0645275
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.1711082,-0.5260742,0.43438524,-2.0225034,-0.31971318,True,-1.2110775
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.5996004,0.48532802,0.5000582,-1.5797144,0.38051367,True,0.9705431
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.41784906,0.28249323,0.20650025,-0.8225895,-0.013108581,True,1.3680043
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.8001316,0.016979814,0.33744198,-2.4615178,-1.1387453,True,0.05031921
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.4181488,-0.633217,0.21506819,0.40899613,-1.4348495,0.16841549,True,0.5258441
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9872928,-1.861852,-0.12544072,0.4199168,-2.684889,-1.038815,True,-0.29872754
C2H2,None,None,alkanes_alkenes_alkynes,Acetylene,0.0,-0.002985835,0.002985835,0.0049371375,-0.012662625,0.006690955,True,0.6047705
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-0.82158,0.55619025,0.8896646,-2.5653226,0.9221626,True,0.62516844
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.79394776,-0.7597157,-0.03423208,0.20802185,-1.1674385,-0.35199285,True,-0.16456002
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.166147,-1.7832031,1.6170561,0.04377648,-1.869005,-1.6974013,False,36.938927
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.9669564,-2.8949358,-0.07202053,0.1554495,-3.199617,-2.5902548,True,-0.46330503
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-3.4020224,-3.0606303,-0.34139204,0.07138158,-3.2005382,-2.9207225,False,-4.782635
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.32321647,-0.3155613,-0.0076551735,0.10256672,-0.5165921,-0.11453052,True,-0.074636035
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881103,-1.8385415,-0.049568772,0.3656797,-2.5552738,-1.1218092,True,-0.13555242
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.5272654,-2.9011059,2.3738403,0.090921804,-3.0793126,-2.7228992,False,26.108593
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.6867654,-2.178394,-0.50837135,0.3865034,-2.9359407,-1.4208474,True,-1.3153089
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246895,-0.59702367,0.47455472,0.44445792,-1.4681612,0.2741139,True,1.0677158
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-0.19747382,-0.60965985,0.41218603,0.50518143,-1.5998155,0.3804958,True,0.81591684
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-2.4104888,-0.80855066,-1.6019382,0.6910317,-2.1629727,0.54587144,False,-2.3181834
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2023008,-1.2207952,0.018494368,0.023944676,-1.2677267,-1.1738636,True,0.7723791
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.47293362,-0.41481644,-0.05811718,0.1493793,-0.7075999,-0.122033,True,-0.3890578
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-0.7562848,0.023340344,0.5213769,-1.7781835,0.26561397,True,0.04476674
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.45996,-2.257371,-0.20258904,0.20985943,-2.6686954,-1.8460464,True,-0.9653559
