System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.8048030029844995,0.02973301300289677,0.02973301300289677
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.8044448187010858,-0.39322236081534356,0.39322236081534356
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.6428401605744511,-0.5203712122101933,0.5203712122101933
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.8784177603824901,-0.0019836130245494132,0.0019836130245494132
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.8033967009550906,-0.11845981988972198,0.11845981988972198
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.44293567491695285,-0.25997939659282565,0.25997939659282565
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-2.0149865699186194,-0.1622196984662878,0.1622196984662878
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.521466379216065,0.2587976407500605,0.2587976407500605
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.168978829777643,0.35416422327716646,0.35416422327716646
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.2289343686215943,-0.5953644724004334,0.5953644724004334
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-1.7295470042522538,0.39883615538519734,0.39883615538519734
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.4057106598183964,0.07611704628016014,0.07611704628016014
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.5297851000592573,0.05873053924585747,0.05873053924585747
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.7055061470564397,0.3542587150041072,0.3542587150041072
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.9322700987486314,-0.06410520178360457,0.06410520178360457
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.047398854261246,0.07931036853233309,0.07931036853233309
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.6674460005210676,-0.08211366647947216,0.08211366647947216
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.377252513098938,-0.32127516858599847,0.32127516858599847
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.636757105403376,-0.011354416423273506,0.011354416423273506
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.572746579597151,-0.10207397217527614,0.10207397217527614
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-1.0044962300621592,-0.5166279806458078,0.5166279806458078
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.327362749384065,0.3837092186945483,0.3837092186945483
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.38801808516655,0.08381350477066007,0.08381350477066007
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.1914299450704675,0.22494163886813112,0.22494163886813112
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.5558778290478585,0.22151360466796177,0.22151360466796177
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-1.1691083460503933,-0.6800200193578121,0.6800200193578121
