formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.9274998,0.13660216,0.29444584,-3.5046136,-2.350386,True,0.46392968
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.7388041,-0.39477134,1.087755,-3.8708038,0.39319563,True,-0.36292303
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-1.9610233,-0.78025603,0.8576716,-3.6420598,-0.27998698,True,-0.9097375
C2H5N,None,None,imines,Ethanimine,0.0,-0.0003809929,0.0003809929,0.005334904,-0.010837405,0.010075419,True,0.071415134
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.1185876,-0.9608921,0.621058,-2.3358612,0.0986861,True,-1.5471858
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.7765968,0.58910006,0.25785115,-1.281985,-0.27120852,False,2.2846518
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.9837837,1.1550684,0.4240444,-3.814911,-2.1526566,False,2.7239327
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.6564856,0.3471465,0.8296191,-3.282539,-0.030432105,True,0.41844082
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.8872274,-1.2984866,0.8412419,-2.5360615,0.7616067,True,-1.5435354
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.9253109,-1.4124146,0.8248878,-3.542091,-0.3085307,True,-1.7122505
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.7797993,0.25510043,0.5684649,-1.8939905,0.3343919,True,0.4487532
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.589663,0.20106697,0.34013155,-1.256321,0.07699484,True,0.59114474
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.88216543,0.8072768,0.6352514,-2.1272583,0.36292732,True,1.2707989
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-0.96547186,0.1259901,0.5349449,-2.0139637,0.08302009,True,0.23551977
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.85927814,0.60130894,0.6555875,-2.1442297,0.42567343,True,0.9172062
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.7371984,-0.3703463,0.33362344,-2.3911004,-1.0832964,True,-1.1100729
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.1867001,-0.001129508,0.2858381,-1.7469428,-0.62645745,True,-0.003951566
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-0.49615282,-0.52363807,0.26275662,-1.0111558,0.018850148,False,-1.9928635
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.581019,0.0064845085,0.5206273,-3.6014485,-1.5605893,True,0.012455183
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.5893056,0.39959848,0.3454003,-1.2662902,0.08767903,True,1.1569141
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.1736519,-0.20271575,0.3126896,-1.7865236,-0.5607803,True,-0.6482971
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.5750027,-0.6408632,0.7935922,-4.1304436,-1.0195619,True,-0.8075472
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.0640901,-0.6330923,0.5348604,-2.1124165,-0.01576376,True,-1.183659
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.8136965,0.69942415,0.596537,-1.9829091,0.35551608,True,1.172474
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.9125333,0.77717745,0.29766062,-1.4959481,-0.32911843,False,2.6109517
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.3981272,-0.38502455,0.56253034,-2.5006866,-0.29556775,True,-0.68445116
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.4181488,-0.56760913,0.14946035,0.47279456,-1.4942865,0.3590682,True,0.31612113
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9872928,-1.7299125,-0.25738025,0.33082467,-2.3783288,-1.0814961,True,-0.77799594
C2H2,None,None,alkanes_alkenes_alkynes,Acetylene,0.0,-0.0001348257,0.0001348257,0.0056550084,-0.011218642,0.0109489905,True,0.023841823
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-0.83874786,0.57335806,0.9260842,-2.653873,0.97637725,True,0.61912084
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.79394776,-0.7262504,-0.067697346,0.4287459,-1.5665925,0.114091575,True,-0.15789619
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.166147,-1.6319443,1.4657973,0.39075482,-2.3978238,-0.86606485,False,3.7511945
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.9669564,-2.5750027,-0.3919537,0.7935922,-4.1304436,-1.0195619,True,-0.49389812
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-3.4020224,-2.8083148,-0.59370756,0.3634941,-3.5207632,-2.0958664,True,-1.6333348
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.32321647,-0.35874093,0.035524458,0.19001062,-0.7311617,0.013679892,True,0.18696038
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881103,-1.5329933,-0.35511696,1.1129061,-3.7142894,0.6483028,True,-0.31908977
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.5272654,-2.700708,2.1734424,0.4189887,-3.521926,-1.87949,False,5.187353
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.6867654,-2.319952,-0.36681342,0.48687345,-3.274224,-1.36568,True,-0.7534061
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246895,-0.8643769,0.74190795,0.48774,-1.8203473,0.09159356,True,1.5211136
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-0.19747382,-0.6909646,0.49349076,0.4487434,-1.5705017,0.18857253,True,1.099717
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-2.4104888,-0.7797993,-1.6306896,0.5684649,-1.8939905,0.3343919,False,-2.8685846
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2023008,-1.3969103,0.19460952,0.26547095,-1.9172335,-0.8765872,True,0.73307276
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.47293362,-0.6097189,0.1367853,0.30600506,-1.2094889,-0.009948969,True,0.4470034
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-1.1898664,0.456922,0.6147021,-2.3946824,0.014949679,True,0.7433227
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.45996,-2.3570838,-0.10287619,0.20103456,-2.7511115,-1.9630561,True,-0.51173383
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-1.4912084,-2.2862158,0.79500735,0.69889456,-3.6560493,-0.91638243,True,1.1375211
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.1002958,-2.0508018,-0.049494028,0.7926471,-3.6043901,-0.49721336,True,-0.062441442
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.3046093,-0.48243105,0.17782176,0.27012223,-1.0118706,0.047008514,True,0.65830106
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.2685277,-0.45249498,0.18396729,0.24999289,-0.94248104,0.037491113,True,0.7358901
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.30412295,-1.2764814,0.97235847,0.9066947,-3.0536032,0.5006403,True,1.0724211
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-1.5501872,-2.324207,0.77401984,0.53429216,-3.3714197,-1.2769945,True,1.4486828
C2H4,None,None,alkanes_alkenes_alkynes,Ethene,0.0,-0.0019948483,0.0019948483,0.0048660086,-0.011532226,0.007542529,True,0.40995577
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.0831358,-1.5954196,-0.4877162,0.40270153,-2.3847146,-0.8061246,True,-1.2111108
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.64916146,-0.96437454,0.31521308,0.32704055,-1.6053741,-0.32337505,True,0.9638349
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.1033635,-1.6027056,-0.5006579,0.40599573,-2.3984573,-0.80695397,True,-1.2331606
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7750492,-0.50601584,-0.26903337,0.23536827,-0.9673376,-0.044694036,True,-1.1430316
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-2.5933847,-2.1769927,-0.4163921,0.4590283,-3.0766883,-1.2772971,True,-0.90711635
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.5593495,-1.3316998,-0.22764969,0.5897638,-2.487637,-0.17576277,True,-0.38600144
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.1714629,-0.6477131,-0.52374977,0.2634765,-1.1641271,-0.1312992,False,-1.9878426
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-1.0374961,-0.7797993,-0.2576968,0.5684649,-1.8939905,0.3343919,True,-0.45332053
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.135341,-2.197916,1.062575,0.7070773,-3.5837874,-0.8120445,True,1.5027705
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.0904624,-2.5501256,0.45966315,0.82538354,-4.167877,-0.93237376,True,0.55690855
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.338841,-1.9741349,0.63529396,0.7071853,-3.360218,-0.5880517,True,0.89834154
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.6719637,-1.0611559,-1.6108078,1.0862095,-3.1901264,1.0678147,True,-1.4829623
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.24033412,-0.5504323,0.3100982,0.31102479,-1.1600409,0.059176266,True,0.99702084
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7806883,-0.8428189,-1.9378693,0.7162142,-2.2465987,0.56096095,False,-2.705712
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-2.5898318,0.40411782,0.6186747,-3.8024342,-1.3772295,True,0.6531992
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-1.3939513,-0.8879177,-0.5060336,0.5078114,-1.8832281,0.10739273,True,-0.99649906
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8780565,-2.6647024,-0.21335411,0.46463498,-3.575387,-1.7540178,True,-0.4591865
C2H4,None,None,alkanes_alkenes_alkynes,Ethene,0.0,-0.0019948483,0.0019948483,0.0048660086,-0.011532226,0.007542529,True,0.40995577
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.1939761,-0.3555349,0.1615588,0.19158894,-0.73104924,0.019979417,True,0.8432575
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-1.0898432,-1.6499128,0.5600697,0.22732595,-2.0954716,-1.2043539,False,2.4637296
CH4O,None,None,alcohols_aldehydes_ketones_ethers,Methanol,0.0,0.0010876656,-0.0010876656,0.005385504,-0.009467923,0.011643254,True,-0.2019617
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.21161768,-2.2952843,2.0836666,1.1097922,-4.470477,-0.12009144,True,1.8775285
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.18160242,-0.674295,0.4926926,0.26553333,-1.1947403,-0.15384966,True,1.855483
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.46923956,-0.68023175,0.21099219,0.32399347,-1.315259,-0.04520452,True,0.6512236
