System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.7823911550945013,0.05214486089289494,0.05214486089289494
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.661463613920205,-0.2502411560344626,0.2502411560344626
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.5721965207048925,-0.44972757234063465,0.44972757234063465
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.8172514117886749,0.05918273556926579,0.05918273556926579
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.7895267255748877,-0.10458984450951903,0.10458984450951903
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.4006389474948264,-0.21768266917069923,0.21768266917069923
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-2.0043603115577753,-0.15159344010544373,0.15159344010544373
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.446232934296063,0.33403108567006257,0.33403108567006257
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.523868960618529,-0.0007259075637193746,0.0007259075637193746
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.0815040195852816,-0.44793412336412075,0.44793412336412075
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-2.0551523333715522,0.07323082626589894,0.07323082626589894
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.4196698747755363,0.06215783132302022,0.06215783132302022
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.5936769012556624,-0.005161261950547669,0.005161261950547669
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.778934953519638,0.28082990854090895,0.28082990854090895
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.9612726599716552,-0.09310776300662837,0.09310776300662837
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.059664927508493,0.06704429528508626,0.06704429528508626
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.6452378791736919,-0.05990554513209645,0.05990554513209645
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.3035255584745755,-0.24754821396163607,0.24754821396163607
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.591900148147033,0.03350254083306936,0.03350254083306936
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.6864445493201856,-0.21577194189831062,0.21577194189831062
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.9003067041207942,-0.41243845470444285,0.41243845470444285
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.033681990133573,0.6773899779450403,0.6773899779450403
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.30051605883090815,0.17131553110630193,0.17131553110630193
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.2369702840634318,0.17940129987516684,0.17940129987516684
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.6951460407626655,0.0822453929531548,0.0822453929531548
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-0.996406731707566,-0.5073184050149848,0.5073184050149848
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-1.0206541069389914,1.3204220286963846,1.3204220286963846
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.38743335805338575,-0.06419233284395887,0.06419233284395887
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-2.7321508793493194,0.09896174386540224,0.09896174386540224
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-0.7129682475606387,0.5663000172098691,0.5663000172098691
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.9233978986740112,-2.4736873953570466,-0.5502894966830354,0.5502894966830354
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.1561923027038574,-2.572734166799819,-0.4165418640959615,0.4165418640959615
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-0.8979932840820766,-0.4762734945770717,0.4762734945770717
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-1.7601962495796215,-1.378094922398759,1.378094922398759
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742330551147,-0.9221637421494506,0.10141049090566412,0.10141049090566412
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-2.0178627967834473,-0.8508477323816805,1.1670150644017667,1.1670150644017667
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.5634293556213379,-0.849500943871135,-0.28607158824979706,0.28607158824979706
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.25239330530166626,-0.46368125540584515,-0.2112879501041789,0.2112879501041789
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.9194198250770569,-0.824818879707891,0.09460094536916586,0.09460094536916586
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-0.30235400795936584,-0.4184699911188545,-0.11611598315948868,0.11611598315948868
