System,Material,Surface,Molecule Group,Molecule,True_eV,Prediction_eV,Error_eV,Abs_error_eV
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.8345360159873962,-0.8760915057523562,-0.04155548976495993,0.04155548976495993
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-2.411222457885742,-2.63215061225128,-0.22092815436553792,0.22092815436553792
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246894836425781,-0.653919968088303,-0.5314510197240452,0.5314510197240452
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.8764341473579407,-0.8293904045040108,0.04704374285392987,0.04704374285392987
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.6849368810653687,-1.798770403184335,-0.11383352211896636,0.11383352211896636
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.1829562783241272,-0.42387455923108064,-0.24091828090695344,0.24091828090695344
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-1.8527668714523315,-2.0224347303683317,-0.1696678589160001,0.1696678589160001
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.7802640199661255,-1.4190529340123987,0.36121108595372675,0.36121108595372675
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-2.5231430530548096,-2.4632391943559924,0.0599038586988172,0.0599038586988172
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.6335698962211609,-1.0973379284773728,-0.4637680322562119,0.4637680322562119
C3H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.128383159637451,-2.0402050959005464,0.08817806373690473,0.08817806373690473
C3H9NO80Ru40,RuO2,110,amines,Trimethylamine,-0.4818277060985565,-0.4714987267043398,0.01032897939421673,0.01032897939421673
CH4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.5885156393051147,-1.5847196670215453,0.0037959722835694265,0.0037959722835694265
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-3.059764862060547,-2.8299079249954957,0.22985693706505117,0.22985693706505117
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-1.8681648969650269,-1.9758837275576298,-0.1077188305926029,0.1077188305926029
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-2.126709222793579,-2.0954359581428434,0.031273264650735655,0.031273264650735655
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.5853323340415955,-0.6472900881617534,-0.061957754120157915,0.061957754120157915
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-3.0559773445129395,-3.130338353692423,-0.07436100917948352,0.07436100917948352
CH3Ir40NO81,IrO2,110,amides,Formamide,-3.6254026889801025,-3.7241239166069136,-0.09872122762681101,0.09872122762681101
CH4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethiol,-2.470672607421875,-2.8853604701571385,-0.4146878627352635,0.4146878627352635
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.4878682494163513,-0.892868968010589,-0.4050007185942377,0.4050007185942377
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.7110719680786133,-2.01843642373251,0.6926355443461034,0.6926355443461034
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.4718315899372101,-0.290751646296485,0.1810799436407251,0.1810799436407251
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.4163715839385986,-1.3048427819926474,0.11152880194595127,0.11152880194595127
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-2.7773914337158203,-2.7775398997146112,-0.00014846599879092537,0.00014846599879092537
CH3Ir40NO82,IrO2,110,carbamate-esters,Carbamic-acid,-0.4890883266925812,-0.8715636065157923,-0.38247527982321117,0.38247527982321117
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-2.341076135635376,-0.949540437818996,1.39153569781638,1.39153569781638
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethiol,-0.3232410252094269,-0.3311716913258351,-0.007930666116408247,0.007930666116408247
C2H7Ir40NO80,IrO2,110,amines,Ethanamine,-2.8311126232147217,-2.7815385076319217,0.049574115582800005,0.049574115582800005
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-1.2792682647705078,-0.6637923599082569,0.6154759048622509,0.6154759048622509
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.9233978986740112,-2.2380644828131153,-0.3146665841391041,0.3146665841391041
CH3Ir40NO80,IrO2,110,imines,Methanimine,-2.1561923027038574,-2.532986100002745,-0.3767937972988875,0.3767937972988875
CH2Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.4217197895050049,-1.0615005857873712,-0.6397807962823663,0.6397807962823663
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.3821013271808624,-1.7531352960991171,-1.3710339689182547,1.3710339689182547
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-1.0235742330551147,-0.9246551894198092,0.09891904363530557,0.09891904363530557
C3H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-2.0178627967834473,-1.1117575618054616,0.9061052349779857,0.9061052349779857
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.5634293556213379,-0.710374695993778,-0.14694534037244011,0.14694534037244011
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.25239330530166626,-0.507383099434719,-0.2549897941330528,0.2549897941330528
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.9194198250770569,-0.7414274174907405,0.1779924075863164,0.1779924075863164
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-0.30235400795936584,-0.5217979122589895,-0.21944390429962368,0.21944390429962368
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Ethanol,-0.34245041012763977,-0.42387455923108064,-0.08142414910344087,0.08142414910344087
CH3NO81Ru40,RuO2,110,amides,Formamide,-1.3570019006729126,-1.5416348324173441,-0.18463293174443152,0.18463293174443152
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.2037107944488525,-1.2373944432072221,-0.0336836487583696,0.0336836487583696
