formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-2.9403434,0.14944577,0.07277811,-3.0829885,-2.7976983,False,2.053444
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.5503507,-0.5832248,0.96359426,-3.4389954,0.33829415,True,-0.6052597
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-1.7518849,-0.9893944,1.1333125,-3.9731774,0.46940756,True,-0.8730112
C2H5N,None,None,imines,Ethanimine,0.0,9.596348e-05,-9.596348e-05,0.0060459347,-0.011754069,0.0119459955,True,-0.015872397
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.5811855,-0.49829423,0.22145227,-2.0152318,-1.1471391,False,-2.2501202
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.3701825,0.18268579,0.14946453,-0.663133,-0.07723203,True,1.2222685
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.5770478,0.7483325,0.66127616,-3.8731492,-1.2809465,True,1.131649
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.1824943,-0.12684476,1.1153617,-3.3686032,1.0036148,True,-0.11372523
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.9411496,-1.2445644,0.89507395,-2.6954947,0.81319535,True,-1.3904599
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-0.96435463,-2.3733706,1.6469302,-4.192338,2.2636285,True,-1.4410876
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.78623223,0.26153338,0.8210677,-2.395525,0.8230605,True,0.3185284
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.5065777,0.11798161,0.18242516,-0.864131,-0.14902437,True,0.64673984
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.5534467,0.47855803,0.96914554,-2.452972,1.3460786,True,0.4937938
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-1.1174302,0.27794844,0.52377063,-2.1440206,-0.09083974,True,0.53066826
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.8130425,0.55507326,1.3444042,-3.4480748,1.8219899,True,0.41287675
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.8676229,-0.23992181,0.4937154,-2.8353052,-0.8999406,True,-0.48595163
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-1.3326985,0.14486885,0.12917782,-1.585887,-1.07951,True,1.1214684
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-1.1005294,0.080738544,0.08739664,-1.2718269,-0.929232,True,0.9238175
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-2.6048012,0.030266762,0.029734185,-2.6630802,-2.5465221,True,1.0179113
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-0.35286987,0.16316278,0.18335855,-0.7122526,0.00651291,True,0.8898564
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.371144,-0.005223632,0.095502555,-1.5583291,-1.183959,True,-0.05469625
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.9135752,-0.30229068,0.1875482,-3.2811697,-2.5459807,True,-1.6118026
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-0.9920984,-0.705084,0.3183162,-1.6159981,-0.36819863,False,-2.2150428
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-0.5241727,0.40990037,0.44703695,-1.4003651,0.35201973,True,0.9169273
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-0.5112233,0.3758675,0.20240246,-0.90793216,-0.1145145,True,1.8570303
