formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-3.0746713,0.28377366,0.051406786,-3.1754286,-2.973914,False,5.5201597
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.3696178,-0.7639576,0.19686303,-1.7554693,-0.9837663,False,-3.8806558
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-2.3935895,-0.34768987,0.6156746,-3.6003118,-1.1868672,True,-0.5647299
C2H5N,None,None,imines,Ethanimine,0.0,0.0073047876,-0.0073047876,0.0044780998,-0.0014722878,0.016081862,True,-1.6312249
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-2.1369154,0.05743575,0.079053655,-2.2918606,-1.9819703,True,0.72654134
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.3309543,0.14345759,0.118361,-0.5629419,-0.09896675,True,1.2120342
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.3813949,0.55267954,0.7470103,-3.845535,-0.9172547,True,0.73985535
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-2.034863,0.72552395,0.022831647,-2.079613,-1.990113,False,31.777119
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-0.8766057,-1.3091083,0.97505647,-2.7877164,1.0345051,True,-1.3425974
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.0266474,-2.311078,1.9284248,-4.8063602,2.753065,True,-1.1984279
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-0.7241145,0.19941562,0.5280653,-1.7591226,0.3108936,True,0.37763438
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.601185,0.21258897,0.31987426,-1.2281386,0.025768518,True,0.6646017
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-0.7176533,0.6427646,0.8981484,-2.4780242,1.0427177,True,0.71565527
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-0.96541756,0.1259358,0.09392947,-1.1495193,-0.7813158,True,1.3407484
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-0.8439774,0.5860082,1.5763569,-3.933637,2.245682,True,0.37174842
