formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-1.7242053,-1.0666924,0.9977151,-3.679727,0.23131645,True,-1.0691352
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.1335754,-1.9623525,-0.17122293,1.068587,-4.0567827,0.13207793,True,-0.16023304
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.7412794,-1.4959708,-1.2453085,0.96219665,-3.3818765,0.38993466,True,-1.294235
C2H5N,None,None,imines,Ethanimine,0.0,-0.30627966,0.30627966,0.5883896,-1.4595232,0.8469639,True,0.52053887
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-2.0794797,-1.6718507,-0.407629,0.960308,-3.5540543,0.21035302,True,-0.42447737
C3H6O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propylene,-0.18749672,-0.94502795,0.7575312,0.59539557,-2.1120033,0.22194743,True,1.2723159
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8287153,-2.2582977,0.42958236,1.1329473,-4.478874,-0.03772092,True,0.3791724
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-1.309339,-1.8044481,0.49510908,0.98192805,-3.7290273,0.1201309,True,0.5042213
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-1.4382683,-0.7474457,0.97884786,-3.35681,0.4802735,True,-0.7635974
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-3.3377254,-1.97629,-1.3614354,1.0169288,-3.9694705,0.016890526,True,-1.3387716
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.52469885,-1.1750276,0.65032876,0.874707,-2.8894534,0.5393981,True,0.7434818
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-0.89340806,0.504812,0.62797177,-2.1242328,0.33741665,True,0.8038769
CH2O83Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-0.07488867,-1.1913803,1.1164916,0.6571128,-2.4793215,0.096560836,True,1.6990867
C2H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Ethane,-0.8394818,-1.659579,0.82009727,0.9545024,-3.5304036,0.21124566,True,0.85918826
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.25796923,-1.761006,1.5030367,0.9731412,-3.6683626,0.14635074,True,1.5445207
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-2.1075447,-1.0022079,-1.1053368,0.6454542,-2.2672982,0.26288247,True,-1.7124945
C3H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-one,-1.1878296,-0.87825876,-0.30957085,0.5840363,-2.02297,0.26645237,True,-0.53005415
C2H6O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.0197909,-0.8442884,-0.17550248,0.57896036,-1.9790506,0.29047388,True,-0.30313385
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-2.5745344,-1.7425959,-0.8319385,0.9745491,-3.6527123,0.1675204,True,-0.85366505
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.18970709,-1.0893571,0.89965004,0.6298421,-2.3238478,0.14513338,True,1.4283739
C2H4O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Acetaldehyde,-1.3763677,-1.0720701,-0.30429757,0.62064546,-2.288535,0.144395,True,-0.4902921
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-3.2158659,-2.2876635,-0.9282024,1.2028984,-4.6453443,0.07001734,True,-0.7716382
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.6971824,-1.540015,-0.15716743,0.9261072,-3.355185,0.2751552,True,-0.1697076
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.11427234,-1.668137,1.5538646,0.9623067,-3.554258,0.2179842,True,1.614729
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.13535583,-1.0630442,0.92768836,0.6198573,-2.2779646,0.15187621,True,1.496616
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.0945089,-0.68864286,0.62671125,-2.322863,0.13384521,True,-1.09882
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-0.4181488,-1.1867187,0.76856995,0.8596633,-2.8716588,0.4982214,True,0.894036
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-1.9872928,-1.0144255,-0.97286725,0.647599,-2.2837195,0.2548685,True,-1.5022681
C2H2,None,None,alkanes_alkenes_alkynes,Acetylene,0.0,-0.41797233,0.41797233,0.58530605,-1.5651722,0.72922754,True,0.714109
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-1.9245917,1.6592019,1.0385138,-3.9600787,0.110895276,True,1.5976696
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-0.79394776,-1.173628,0.37968022,0.68709517,-2.5203345,0.17307854,True,0.5525875
C2H6O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.166147,-1.0344601,0.8683131,0.61798,-2.2457008,0.17678082,True,1.4050828
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.9669564,-2.2876635,-0.6792929,1.2028984,-4.6453443,0.07001734,True,-0.5647135
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-3.4020224,-1.8257928,-1.5762296,0.9912949,-3.7687309,0.1171453,True,-1.5900713
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.32321647,-0.65978235,0.33656588,0.54141736,-1.7209604,0.40139574,True,0.62163854
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881103,-2.1183622,0.23025191,1.1171727,-4.3080206,0.07129645,True,0.20610234
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.5272654,-1.7519858,1.2247204,1.0468308,-3.803774,0.29980254,True,1.1699315
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.6867654,-1.9105848,-0.7761806,1.022632,-3.9149437,0.09377396,True,-0.75900286
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246895,-1.0016088,0.8791399,0.6175244,-2.2119565,0.20873892,True,1.4236522
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-0.19747382,-1.1433567,0.94588286,0.6416588,-2.401008,0.11429453,True,1.4741212
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-2.4104888,-1.1750276,-1.2354612,0.874707,-2.8894534,0.5393981,True,-1.4124287
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2023008,-1.1393913,-0.062909484,0.62775767,-2.3697963,0.09101379,True,-0.100213006
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.47293362,-1.1344194,0.6614858,0.6354782,-2.3799567,0.11111784,True,1.040926
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-1.9726167,1.2396722,1.0068262,-3.945996,0.00076270103,True,1.2312673
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.45996,-1.6197526,-0.84020734,0.76899177,-3.1269765,-0.1125288,True,-1.092609
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-1.4912084,-2.1175754,0.626367,1.0599505,-4.1950784,-0.04007244,True,0.5909399
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.1002958,-1.9337956,-0.16650021,1.0067549,-3.907035,0.03944397,True,-0.16538307
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.3046093,-1.058828,0.7542187,0.6252973,-2.2844107,0.16675472,True,1.2061762
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.2685277,-1.0255455,0.7570178,0.6186213,-2.2380433,0.18695223,True,1.2237177
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.30412295,-1.5023693,1.1982464,0.9342247,-3.3334498,0.32871115,True,1.2826104
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-1.5501872,-1.560409,0.01022172,0.9419329,-3.4065976,0.2857796,True,0.010851855
C2H4,None,None,alkanes_alkenes_alkynes,Ethene,0.0,-0.21460259,0.21460259,0.5464518,-1.2856481,0.8564429,True,0.39272007
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.0831358,-1.2044646,-0.8786713,0.68967175,-2.5562212,0.14729214,True,-1.2740427
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.64916146,-1.101136,0.4519745,0.6410501,-2.357594,0.1553222,True,0.7050533
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.1033635,-1.1929203,-0.9104432,0.6876975,-2.5408075,0.15496683,True,-1.3239006
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7750492,-0.7432767,-0.031772494,0.55696714,-1.8349323,0.3483789,True,-0.057045545
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-2.5933847,-1.7228196,-0.8705652,0.96060103,-3.6055975,0.15995848,True,-0.90627134
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.5593495,-1.2655997,-0.2937498,0.694838,-2.6274822,0.09628272,True,-0.42276016
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.1714629,-1.054651,-0.11681187,0.6185515,-2.2670121,0.15770996,True,-0.18884745
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-1.0374961,-1.1750276,0.13753152,0.874707,-2.8894534,0.5393981,True,0.15723152
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.135341,-2.025235,0.8898939,1.0232328,-4.0307713,-0.01969862,True,0.8696886
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.0904624,-2.28874,0.19827747,1.2019907,-4.644642,0.06716204,True,0.16495757
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.338841,-1.7132651,0.3744241,0.97283155,-3.620015,0.19348478,True,0.38488072
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.6719637,-1.8379526,-0.8340111,1.0672159,-3.9296958,0.25379062,True,-0.781483
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.24033412,-0.6619072,0.42157307,0.5447815,-1.729679,0.4058646,True,0.7738388
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7806883,-1.4958277,-1.2848606,0.96704394,-3.391234,0.39957845,True,-1.3286476
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-1.5690209,-0.61669314,0.9906591,-3.5107126,0.372671,True,-0.6225079
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-1.3939513,-1.5210611,0.12710977,0.9259059,-3.3358366,0.29371452,True,0.13728152
